solar.time,light
2020-07-13T13:08:25Z,2058.581919018883
2020-07-13T13:23:25Z,2029.214815763182
2020-07-13T13:38:25Z,1993.8654109033612
2020-07-13T13:53:25Z,1952.6850509654241
2020-07-13T14:08:25Z,1905.8500475709182
2020-07-13T14:23:25Z,1853.5609226605684
2020-07-13T14:38:25Z,1796.0415498344962
2020-07-13T14:53:25Z,1733.5381960004304
2020-07-13T15:08:25Z,1666.3184669005125
2020-07-13T15:23:25Z,1594.6701613590783
2020-07-13T15:38:25Z,1518.900039179647
2020-07-13T15:53:25Z,1439.3325077177662
2020-07-13T16:08:25Z,1356.308232877719
2020-07-13T16:23:25Z,1270.1826806924128
2020-07-13T16:38:25Z,1181.3245953242051
2020-07-13T16:53:25Z,1090.1144203219894
2020-07-13T17:08:25Z,996.942669739042
2020-07-13T17:23:25Z,902.2082562320015
2020-07-13T17:38:25Z,806.3167830307428
2020-07-13T17:53:25Z,709.6788074572687
2020-07-13T18:08:25Z,612.7080830343525
2020-07-13T18:23:25Z,515.8197881090384
2020-07-13T18:38:25Z,419.4287481476092
2020-07-13T18:53:25Z,323.9476598468767
2020-07-13T19:08:25Z,229.7853240002178
2020-07-13T19:23:25Z,137.3448953235976
2020-07-13T19:38:25Z,47.02215630497188
2020-07-13T19:53:25Z,0
2020-07-13T20:08:25Z,0
2020-07-13T20:23:25Z,0
2020-07-13T20:38:25Z,0
2020-07-13T20:53:25Z,0
2020-07-13T21:08:25Z,0
2020-07-13T21:23:25Z,0
2020-07-13T21:38:25Z,0
2020-07-13T21:53:25Z,0
2020-07-13T22:08:25Z,0
2020-07-13T22:23:25Z,0
2020-07-13T22:38:25Z,0
2020-07-13T22:53:25Z,0
2020-07-13T23:08:25Z,0
2020-07-13T23:23:25Z,0
2020-07-13T23:38:25Z,0
2020-07-13T23:53:25Z,0
2020-07-14T00:08:25Z,0
2020-07-14T00:23:25Z,0
2020-07-14T00:38:25Z,0
2020-07-14T00:53:25Z,0
2020-07-14T01:08:25Z,0
2020-07-14T01:23:25Z,0
2020-07-14T01:38:25Z,0
2020-07-14T01:53:25Z,0
2020-07-14T02:08:25Z,0
2020-07-14T02:23:25Z,0
2020-07-14T02:38:25Z,0
2020-07-14T02:53:25Z,0
2020-07-14T03:08:25Z,0
2020-07-14T03:23:25Z,0
2020-07-14T03:38:25Z,0
2020-07-14T03:53:25Z,0
2020-07-14T04:08:25Z,0
2020-07-14T04:23:25Z,0
2020-07-14T04:38:25Z,77.75756076069825
2020-07-14T04:53:25Z,169.05229492308592
