site,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper,GPP_Rhat,ER_Rhat,K600_Rhat,msgs.fit,warnings,errors,DO_fit
PL,2020-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,NA
PL,2020-08-08,12.474193885351394,11.564217792923452,13.490388259382648,-12.259161728819507,-13.402999172001177,-11.260011061478677,14.40444763006384,13.373095771417535,15.598412575052135,1.01884508674579,1.018172943583994,1.0186910012716848,w      ,,,NA
PL,2020-08-09,13.452292866393186,12.398440625298516,14.613472038330402,-13.463082955715546,-14.715714982142213,-12.29363470548461,15.381681713508845,14.184109968662709,16.700555325357417,1.0376435743306467,1.0387681416863452,1.0356680982892448,w      ,,,NA
PL,2020-08-10,12.82142329267799,11.642305014414463,13.970556151424853,-13.302583653325799,-14.603887275822798,-12.016596169794644,14.826720763519816,13.539488388520084,16.09758272440265,1.0723711629169035,1.0722300485829839,1.0698217339398501,w      ,,,NA
PL,2020-08-11,12.432830648720918,11.423685172597677,13.42364547109729,-13.13110220088441,-14.221312193144938,-11.977024089536863,14.703049081892201,13.516448860732327,15.813903002020787,1.0359112161675228,1.033939436277355,1.0362029840732712,w      ,,,NA
PL,2020-08-12,12.293604205784716,11.007113473386937,13.422697530553133,-13.517196941049793,-14.867574714293664,-12.002838433331258,17.268390846044028,15.443608646149402,18.91580308043612,1.051362045796735,1.0553178406973112,1.048663816992466,w      ,,,NA
PL,2020-08-13,12.233527956378843,11.281560081473092,13.211676191924173,-13.60913516743134,-14.810933951763367,-12.484683462521954,17.56730255290143,16.19057720722795,18.98022027283636,1.0539247467170925,1.0493896530634013,1.0470250022700218,w      ,,,NA
PL,2020-08-14,10.870926285065348,9.873620559941084,11.866754078104556,-11.775674220096493,-12.928089454576748,-10.60823798697839,14.744409761186759,13.435157194496652,16.164082537714343,1.0428497032628825,1.0407740533041951,1.036040368491351,w      ,,,NA
PL,2020-08-15,10.99960448659611,10.024726317732053,11.996192530618115,-12.016927217474903,-13.161975822320626,-10.859595188301213,14.489774531100693,13.237903403478738,15.77838072297567,1.0618815629923906,1.054637225692329,1.0607400510143419,w      ,,,NA
PL,2020-08-16,11.674134925137789,10.71453924036099,12.829676659177174,-12.745289663940731,-14.104553255189614,-11.593779110119101,15.408927130701127,14.101843512006608,16.932112541052955,1.0549060556247414,1.052804001775355,1.0513286873388532,w      ,,,NA
PL,2020-08-17,12.002063051769827,11.076084908003933,12.893025246372959,-12.588359407243733,-13.617526320964446,-11.584731495084025,14.353427179794178,13.212198222207464,15.42763324506956,1.0433437347207681,1.0446103314493413,1.041215722024291,w      ,,,NA
PL,2020-08-18,9.80304976860098,8.862300706409101,10.672815994128465,-10.989011035711613,-12.067973138946805,-9.79439525953488,12.891774915059464,11.716063524516645,14.113538625869804,1.0678753202096036,1.0632817798748369,1.058290801878536,w      ,,,NA
