site,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper,light,q.cms,epil_gm2_fit,fila_gm2_fit,epil_chla_mgm2_fit,fila_chla_mgm2_fit,epil_gm2_se,fila_gm2_se,epil_chla_mgm2_se,fila_chla_mgm2_se,log_q
PL,2020-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8080590832957142,4.559614839988671,4.570631477396908,30.779904102732225,13.032762574459948,35.791247395066804,2.3639910474838133,20.28307272093306,5.158708371614921,31.731641068088628,1.5172381550441678
PL,2020-08-08,12.455532880237012,11.486993701914225,13.528165923643758,-12.254941199561843,-13.404830206323693,-11.188798026151783,14.406620733058157,13.293332693314811,15.601652339235711,0.8247725552692974,4.389691305579156,4.535948782620014,30.30401310068798,12.948108599246424,34.875667317701534,2.3578538002356586,20.063843310875697,5.147295928733725,31.792555090968538,1.4792589069789515
PL,2020-08-09,13.386813807584408,12.418468098170694,14.770960853687695,-13.412026284051644,-14.923619717215308,-12.321119899386888,15.32694290902216,14.151105427103817,16.86002708021033,0.7220442036165073,4.21976777116964,4.526859130725534,29.829837440498263,12.888389080198266,34.32787881429762,2.353758754994114,19.85788153172555,5.14019480502131,31.891401434533776,1.439780096005164
PL,2020-08-10,12.769532467659646,11.718182891675848,13.89045472982495,-13.244907986160754,-14.527921631405766,-12.068460060867665,14.749180416374898,13.515970039146756,16.021564275233438,0.8065158996433143,4.134806003964882,4.542178657428426,29.357406805492634,12.853723769355788,34.10471129011804,2.3517554039354183,19.66530694840899,5.1373114584366695,32.02226911690455,1.4194404117680413
PL,2020-08-11,12.375652728964257,11.217500013476275,13.314093624068088,-13.080643665363462,-14.17104286193147,-11.685554231822982,14.64819272534898,13.297928186956836,15.779822750886446,0.8128075869666245,4.163126593033135,4.5805551338559045,28.88674763129285,12.844185161841576,34.16211480581475,2.3517345365546327,19.48618205130034,5.138335313822793,32.17762013608985,1.4262663768384412
PL,2020-08-12,12.140494947213652,10.987204340011186,13.273108278271309,-13.342336510114755,-14.639892731093806,-11.992255730632026,17.057982586706146,15.457143868013889,18.619746609912145,0.7319389513985809,3.936561880487114,4.639962872784354,28.417873362690084,12.8596567251074,34.452522043596765,2.3535964271191463,19.320574125932357,5.142996474425011,32.35521714774325,1.3703077231903966
PL,2020-08-13,12.019872474007194,10.905981588561511,13.440319097981115,-13.359993555852816,-14.974592407491995,-11.94981092722758,17.300043755385477,15.65594505930884,19.311724119099484,0.7506615667229907,3.851600113282356,4.718207822402437,27.95079419676798,12.899974669687374,34.9274863410623,2.35709517125082,19.168504521045392,5.150819716737709,32.554718029582084,1.3484886757957568
PL,2020-08-14,11.00487348209464,9.927761149178494,12.13721873693624,-11.922944559140394,-13.218744853942992,-10.692288048895094,14.934986832421991,13.547458344844271,16.373092064875394,0.8091382774809707,3.794958935145851,4.813095930898834,27.48552033061002,12.964975206115636,35.53856103580873,2.3618004782418054,19.029931689218188,5.161059447680909,32.77606464310506,1.3336735900106163
PL,2020-08-15,11.062503885362862,9.883737681722378,12.02686284052116,-12.10185765159137,-13.240705133710238,-10.743743315392392,14.53915985255303,13.086692506412287,15.79636818606132,0.8008839935208945,3.68167657887284,4.922433146462223,27.02206196129981,13.054494544926255,36.23729946543465,2.3671421995304387,18.904760122683314,5.172760412669401,33.01963855581092,1.303368240515287
PL,2020-08-16,11.604846531240906,10.663752600724369,12.511583040121875,-12.670448443621082,-13.735862712982426,-11.536911763516065,15.316851925877511,14.1421709188765,16.513565853924863,0.7434739167237419,3.5683942225998297,5.044025417281249,26.56042928592089,13.168368896653377,36.975254967537815,2.372484003487302,18.792858170238272,5.184861161361965,33.286804394858265,1.2721156970111829
PL,2020-08-17,11.880009386241776,10.876456989935598,12.856681589355276,-12.479647265367545,-13.564761709957088,-11.343583064217652,14.189956263807671,13.001652615731784,15.431251566026942,0.7684030068684726,3.398470688190314,5.17573001059022,26.100627918824983,13.306422021992086,37.70729080651777,2.377282921363983,18.69410336419646,5.196429168270703,33.58147289032584,1.223325532841751
PL,2020-08-18,9.775151186384573,8.754575405853487,10.715506115159693,-10.953703428730826,-12.101552743819116,-9.682285548116932,12.872249297234902,11.435554854912532,14.131050372624047,0.7439383987487062,3.3135089209855564,5.315688651832863,25.64264073029076,13.4684210453592,38.40466233393429,2.381421649448283,18.608482520707316,5.207172045151755,33.91217047345182,1.198007724857461
PL,2020-08-19,12.076176899360206,10.744606922861715,13.183100110230928,-15.0352349678416,-16.480796835815617,-13.287215954012254,17.39860742483264,15.431506730616414,18.967375724161,0.6775241187093901,3.3701500991220614,5.462512524383043,25.186424247861805,13.65409166352764,39.05726173336231,2.3852720627881605,18.53610746082402,5.217552575204066,34.28830489157695,1.2149572831712343
PL,2020-08-20,11.434809820020952,10.333176626544969,12.391749333209765,-12.58343453053982,-13.735177645386548,-11.259038997120845,15.83682628691776,14.330862595468323,17.22854155614073,0.6565453422870494,3.455111866326819,5.6152976367472025,24.73191415625285,13.863146215885862,39.669003109929,2.3895415011082015,18.477167677144923,5.228576572143211,34.71538244425222,1.2398548347929614
PL,2020-08-21,13.493869568643548,12.380436950975383,14.71428341776195,-14.465183977017109,-15.828460238482714,-13.180526059046514,16.69397351020599,15.335506662795584,18.10967946548109,0.7432655647655659,3.398470688190314,5.7732414082081736,24.279042032757772,14.095295411706829,40.24651795416249,2.3949271442980864,18.43182575179889,5.241272074022491,35.19072109610729,1.223325532841751
