site,intercept,slope,min_q,max_q,min_d,max_d,formula
PL,-0.962072663768051,0.35,0.12970078568468038,2.5713986811414435,-0.9166773887784129,-0.06208312536854588,log(d) = a + b * log(q)
DL,-1.081407662241886,0.35,0.016571085553938082,2.81595632695947,-1.0756077822980077,-0.09582294780607159,log(d) = a + b * log(q)
GR,-1.2242512098690264,0.35,0.3357842142535817,2.8023042377911427,-1.1067267348802727,-0.24344472664212646,log(d) = a + b * log(q)
GC,-1.4635781976333635,0.35,1.1720322384542003,3.5667326203560514,-1.0533669141743933,-0.21522178050874552,log(d) = a + b * log(q)
BM,-1.2611052265929579,0.35,1.4464690841559606,3.844364356954331,-0.7548410471383716,0.08442229834105786,log(d) = a + b * log(q)
BN,-1.3755050114626108,0.35,1.4464690841559606,3.844364356954331,-0.8692408320080246,-0.02997748652859511,log(d) = a + b * log(q)
