site,date,epil_gm2,fila_gm2,epil_chla_mgm2,fila_chla_mgm2,epil_gm2_se,fila_gm2_se,epil_chla_mgm2_se,fila_chla_mgm2_se,epilg,epilgse,filag,filagse,epilc,epilcse,filac,filacse,year,GPP,ER,ARf,NPP,GPP.se,ER.se,ARf.se,NPP.se,PAR_bc_Jm2,light,epilcl,epilcsel,filacl,filacsel,epil_chla_mgm2_l,epil_chla_mgm2_sel
GR,2020-07-14,16.819145362363553,82.4043091603259,46.37881036573482,198.48108658164537,4.336363314461955,33.82480145559133,12.785011504986668,77.71900405535887,2.8225178424550523,0.25782304754708274,4.423699976618965,0.4055522046297489,3.8368426817730015,0.2756649298282212,5.295719427733697,0.3896058788688688,2020,10.295039842854816,-8.157687950280662,0.44185634992750433,5.746111115532759,0.47331031192488526,0.542304025074057,0.02892031995388395,0.4741930369381938,35.27072464347829,0.5060109522776869,1.9414844191436305,0.13948947365193995,2.6796920306229755,0.19714484177942143,23.468185998671732,6.469355846519487
GR,2020-07-15,16.939167801064276,81.81462223921234,46.06774538565914,195.49286985891484,4.132143260535771,31.4334982580892,11.94769813452801,70.73977898782479,2.829628561751783,0.2439401574542612,4.41660464289172,0.37956459147145133,3.8301130388672564,0.2593506158052033,5.280626144945706,0.36001193854320074,2020,10.920262511203218,-8.382160162804867,0.44185634992750433,6.095075177752801,0.49889782759573365,0.5279413773700576,0.02892031995388395,0.49973535725019236,34.55247928579093,0.49570665541148656,1.8986125243448126,0.12856182633970675,2.6176415247894878,0.17846031396345569,22.836087987473032,5.922553482132938
GR,2020-07-16,17.022887587882543,81.18944375037917,45.73403310607617,192.4100689410983,3.9327882406640855,29.19452483359222,11.161180173809278,64.38410798033273,2.834558767267338,0.23102944317529153,4.40902687228715,0.3552101523190748,3.8228427276598826,0.24404539498893257,5.264812644441112,0.3328891217134123,2020,11.496894238901795,-8.561568368397182,0.44185634992750433,6.416918514998095,0.4894124773448208,0.5260390779346142,0.02892031995388395,0.4902662112434731,34.12305491855473,0.4895459248001122,1.8714570784776408,0.11947142858306567,2.5773675749222487,0.16296451294508954,22.388909531753008,5.463910270048141
GR,2020-07-17,17.0657945230382,80.5274260905823,45.37747292682755,189.2285782479002,3.739682776657453,27.113738012966504,10.42764162190218,58.662542317771546,2.8370761399058617,0.21913323587770953,4.400939480086719,0.3325719860558503,3.8150157908647513,0.22979775975442807,5.248226392493635,0.30837922912573246,2020,8.547219367996146,-7.529187069950227,0.44185634992750433,4.770576216023699,0.5313264711100641,0.6029494401512783,0.02892031995388395,0.5321129615114716,31.729018746206886,0.45519991871143506,1.736594877884476,0.10460392156028554,2.3889922272423108,0.1403742000303284,20.655821987622247,4.746661618641849
GR,2020-07-18,17.063604465337956,79.82734238174645,44.99791804757088,185.94508099287992,3.553520026980745,25.193199380808355,9.74784233797759,53.56658125843249,2.836947801419503,0.20825142977259964,4.392315304097793,0.31169154692506423,3.806616223090497,0.21662874108247343,5.2308148891907855,0.28653645751969614,2020,10.694872503655713,-7.869596852317817,0.44185634992750433,5.9692751762503695,0.49550560296418894,0.5459487084399157,0.02892031995388395,0.4963488566272108,33.81548632038321,0.4851333962562661,1.8467166565520932,0.10509383688805966,2.5376429923809702,0.13900840478776952,21.82999280687919,4.729003859593689
GR,2020-07-19,17.01235919149659,79.08809426116116,44.595277449087526,182.55707828238403,3.374229616412191,23.43074470412174,9.121012380670196,49.06609132469235,2.833940091176048,0.19833989974175698,4.383127207086337,0.29256214572562894,3.7976279666278567,0.20452866093463049,5.212525672437568,0.2673069967326955,2020,11.084527117007273,-8.220761387816129,0.44185634992750433,6.186758424413997,0.45849115405949814,0.5167384358304077,0.02892031995388395,0.4594023544313258,33.68890292933225,0.4833173694267726,1.8354595588921192,0.09885225437530591,2.5193041960720444,0.12919411449021728,21.553672185550056,4.4083437103345435
GR,2020-07-20,16.909156718366376,78.30907586802222,44.169911952304616,179.0646595592812,3.201251722797942,21.82051190471777,8.545170336596945,45.11208413043716,2.8278552928536556,0.18932060161940595,4.373352571877829,0.27513259568210274,3.7880438322241665,0.1934613396065665,5.1933160061600185,0.25053269331612116,2020,10.73008724626996,-8.132159447363938,0.44185634992750433,5.988930061229449,0.4717429004997822,0.517520342530715,0.02892031995388395,0.47262855296541534,33.4528644220459,0.4799310463201886,1.8179998399060813,0.09284810313988481,2.492433584707761,0.12023841764062096,21.19851205914016,4.10109254062721
GR,2020-07-21,16.754731653399183,77.49161664873792,43.72417585619729,175.47734588371043,3.0345655402870397,20.355702019285065,8.018412493395271,41.650840837448854,2.818680705149301,0.18111692882120198,4.3629918248018535,0.25933600158065245,3.777901172383918,0.1833862465416549,5.173192516201885,0.23601239370913157,2020,10.653157343359164,-8.204265612582406,0.44185634992750433,5.945992124419095,0.4523555400757295,0.49960330493504657,0.02892031995388395,0.4532790746807533,33.226467746042516,0.47668304960974517,1.8008614519761976,0.08741711525796064,2.4659731848414257,0.11250310757896467,20.842573488804916,3.8222413203805385
GR,2020-07-22,16.554048729529654,76.63944461485664,43.262677804271355,171.81559551700923,2.87520883674657,19.031235946374924,7.539846125275776,38.637246058425625,2.8066307081298665,0.17368614069727115,4.352075604937468,0.24512328805006953,3.767290318846605,0.17428061571656486,5.1522251041320475,0.22357499589568458,2020,9.268489570636216,-9.31840701286214,0.44185634992750433,5.173148599613756,0.5228231947417868,0.6028680247323123,0.02892031995388395,0.5236224573738634,32.65115260571764,0.46842929908552994,1.7647091635090177,0.08163814666430508,2.4134531942594464,0.10472907862046577,20.265505840417944,3.5318848356756805
GR,2020-07-23,16.31539561414477,75.7583099404493,42.79172035222884,168.1082647564981,2.725180000517331,17.844799957265035,7.1097954624515385,36.03965328578438,2.7921091782431584,0.16703119341799552,4.340661653445956,0.23248036559311175,3.7563446341596625,0.16614885786150027,5.130539129674699,0.21311586005378566,2020,6.330320194621262,-6.545031858813869,0.44185634992750433,3.533228019553542,0.427241883369756,0.5733385195637885,0.02892031995388395,0.4282195836385478,22.95680513634855,0.32934948021956634,1.237150152786042,0.05472103997575972,1.6897403956045085,0.07018959773526015,14.093430855707608,2.3416074400258453
