site,date,GPP,ER,NEP
GC,2020-08-07,NA,NA,NA
GC,2020-08-08,13.68353446990626,-12.742505776447477,0.941028693458783
GC,2020-08-09,15.40486990829742,-13.985451586256676,1.4194183220407428
GC,2020-08-10,16.039524787284144,-14.909509488141952,1.1300152991421921
GC,2020-08-11,17.002542496545352,-15.65333648740087,1.349206009144483
GC,2020-08-12,14.30246008411217,-13.33457952303097,0.9678805610812002
GC,2020-08-13,12.74005755459704,-12.553881892113996,0.18617566248304485
GC,2020-08-14,13.251569504987229,-13.341228283705805,-0.08965877871857586
GC,2020-08-15,13.882716760607163,-14.475378614143546,-0.5926618535363826
GC,2020-08-16,14.072179413734275,-15.436773399129638,-1.3645939853953628
GC,2020-08-17,13.768139634035617,-15.17277425410919,-1.4046346200735726
GC,2020-08-18,10.837393005540616,-14.233041041931916,-3.3956480363913
GC,2020-08-19,10.350785521259894,-14.724896547437355,-4.374111026177461
GC,2020-08-20,10.88000965942969,-12.35799217197359,-1.4779825125438997
GC,2020-08-21,10.430477711021346,-12.714405342047142,-2.2839276310257954
GC,2020-08-22,10.13192848104394,-11.989451703135924,-1.8575232220919844
GC,2020-08-23,10.02718191326709,-12.309865490153369,-2.2826835768862797
GC,2020-08-24,5.8038207843737615,-10.373266690129942,-4.56944590575618
GC,2020-08-25,4.970399548892282,-8.671963155283542,-3.70156360639126
GC,2020-08-26,9.046820868851803,-10.650285057186808,-1.6034641883350051
GC,2020-08-27,8.003211413500527,-10.139081100320077,-2.13586968681955
GC,2020-08-28,9.43530418004356,-9.90897567540912,-0.47367149536555964
GC,2020-08-29,9.308991420492015,-9.664836327104764,-0.3558449066127487
GC,2020-08-30,8.562052470290828,-8.889761882505137,-0.3277094122143094
GC,2020-08-31,5.993400379556771,-7.754337101213157,-1.7609367216563854
GC,2020-09-01,7.797162744789073,-8.758430791699583,-0.9612680469105097
GC,2020-09-02,8.826321152928122,-9.45783088664376,-0.6315097337156388
GC,2020-09-03,9.443428544371978,-9.587488602884507,-0.14406005851252957
GC,2020-09-04,9.644756048087912,-9.842640613868998,-0.19788456578108615
GC,2020-09-05,9.334164448720326,-9.583907138882669,-0.24974269016234274
GC,2020-09-06,9.669876472495128,-9.623192333402391,0.04668413909273639
GC,2020-09-07,4.052606675186347,-7.023613350283863,-2.9710066750975166
GC,2020-09-08,7.007990758681158,-7.10066719665167,-0.0926764379705114
GC,2020-09-09,8.012339117558637,-8.31152051754203,-0.299181399983393
GC,2020-09-10,8.78002285062785,-8.859573224001705,-0.07955037337385562
GC,2020-09-11,8.978951271150635,-9.043116456850894,-0.06416518570025964
GC,2020-09-12,9.308391938755864,-9.37441375121318,-0.06602181245731487
GC,2020-09-13,7.750077822273427,-8.69370586386228,-0.9436280415888536
GC,2020-09-14,5.897729394771578,-7.21154812218917,-1.3138187274175923
GC,2020-09-15,7.156007683986644,-7.738232661145845,-0.5822249771592007
GC,2020-09-16,7.607957239000267,-7.909738457160871,-0.30178121816060344
GC,2020-09-17,7.354194668456372,-8.067013326949292,-0.7128186584929201
GC,2020-09-18,7.277783844798048,-8.124829719026451,-0.847045874228403
GC,2020-09-19,4.403480872448086,-7.846620255192627,-3.4431393827445405
GC,2020-09-20,6.5096163404285186,-7.546971286729982,-1.0373549463014635
GC,2020-09-21,7.82669598271153,-8.179845426620634,-0.3531494439091043
GC,2020-09-22,6.683779102618195,-7.411896972927482,-0.728117870309287
