"","date","GPP.daily","GPP.daily.lower","GPP.daily.upper","ER.daily","ER.daily.lower","ER.daily.upper","K600.daily","K600.daily.lower","K600.daily.upper","warnings","errors"
"1",2020-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"overall warnings","data don't start when expected"
"2",2020-08-22,10.3101963271571,8.90002875960601,11.6871856190748,-7.82004812773878,-9.65414895212259,-5.99410168747821,11.1381869084449,10.0496497929165,12.3111399276196,"overall warnings",""
"3",2020-08-23,10.0217832356721,8.76429834562814,11.3160986237571,-8.04295367144206,-9.86811099053488,-6.34786549123481,11.0062679867213,10.0290112856293,12.0417952082357,"overall warnings",""
"4",2020-08-24,5.83504933717991,4.92923233409648,6.80843325231096,-7.2126760053781,-8.78396624701897,-5.58735650617738,11.1180341770388,10.0254821303005,12.2148064287233,"overall warnings",""
"5",2020-08-25,5.36928233037936,4.15854319748336,6.45620786882996,-6.02514374249893,-7.70571213266122,-4.27579305561872,11.1033092213322,9.91028198132696,12.2781695301763,"overall warnings",""
"6",2020-08-26,7.47766409701491,6.32273106754549,8.59138709091067,-6.040981605826,-7.64952949593283,-4.46417959396236,10.549956906554,9.16947097835467,11.4619293400058,"overall warnings",""
"7",2020-08-27,7.26579637386541,6.17825514742224,8.31828585153698,-6.8039857755637,-8.46883600788644,-5.15425299069893,11.0380276508948,10.0295623000503,12.0732964795216,"overall warnings",""
"8",2020-08-28,9.11778927846435,7.81260256383742,10.3930527910724,-7.04518843151947,-8.75239166946637,-5.33626033201403,11.0695089370004,10.0390358194739,12.0646437266736,"overall warnings",""
"9",2020-08-29,9.30270583904295,7.95689175005761,10.5024567232029,-6.82232930844144,-8.51169617095182,-5.00862104500764,11.1105614005803,10.0072912007232,12.1677490210879,"overall warnings",""
"10",2020-08-30,8.88195526008386,7.69098580826351,10.2525234647043,-6.11763141475252,-7.88619680957666,-4.40462024407959,11.1729082470599,10.0701929157232,12.3604236677405,"overall warnings",""
"11",2020-08-31,5.20907519734123,4.17641741399184,6.209317537924,-4.89350301911571,-6.54731771655738,-3.27982237977503,10.8734174263094,9.71724744896783,11.915852812533,"overall warnings",""
"12",2020-09-01,7.72455351901491,6.40712825530571,8.97724828845125,-4.87678319629681,-6.6281153535423,-3.26820307536943,10.9199179419138,9.65319912858633,12.0168999623974,"overall warnings",""
"13",2020-09-02,9.48162670417375,8.11879883171575,10.8659093447424,-6.99507040219652,-8.74257160483707,-5.28228034899483,11.1408616042571,9.93333544069815,12.2966147993293,"overall warnings",""
"14",2020-09-03,11.3304101273983,9.88887648606527,12.795576331232,-7.70050885438576,-9.5336663253717,-5.88309568427428,11.0654463402488,9.97393492312978,12.2930464416338,"overall warnings",""
"15",2020-09-04,12.1167698208336,10.6616810791721,13.5264636467616,-7.97256731325677,-9.66261228394288,-6.18830660925759,11.2426101268991,10.2335215023117,12.3062976625087,"overall warnings",""
"16",2020-09-05,13.0799685636934,11.7375723537422,14.4393209079361,-8.32744091505309,-10.04045969422,-6.6736479458465,11.0090600893432,10.0160274010472,11.9000987380267,"overall warnings",""
"17",2020-09-06,13.3666054858912,12.0184555013875,14.784400736697,-8.52494512215173,-10.2174425598157,-6.7961861080045,11.005477162444,9.88066837625004,11.9515732705756,"overall warnings",""
"18",2020-09-07,5.20990404085662,3.91817914258162,6.29360462268712,-5.02135772405771,-6.67463482711527,-3.12325489146071,11.1138706107879,9.91802756783912,12.2738562132115,"overall warnings",""
"19",2020-09-08,8.7080823353783,7.39150189239588,9.92098878297181,-5.56712535307234,-7.23354931197612,-3.78365038840631,11.0965260012056,10.0129074518433,12.1099853041462,"overall warnings",""
"20",2020-09-09,11.674192545103,10.2400370861302,13.016579896149,-7.22913181365683,-8.8671285919247,-5.45671046396311,11.2059138419256,10.190957521253,12.3024615402227,"overall warnings",""
"21",2020-09-10,12.8570603584984,11.4652566866493,14.2401035815844,-8.08873397335752,-9.87036395596818,-6.34246280529949,10.7833988307975,9.70769554151049,11.6143037018656,"overall warnings",""
"22",2020-09-11,15.9119221355371,14.3383883419917,17.2326234048309,-9.54070718412672,-11.2056500443996,-7.69287009433887,10.5945237087575,9.54468337168098,11.4037713490352,"overall warnings",""
"23",2020-09-12,12.4913547648913,11.2798599943096,13.8369600675699,-7.5802437133028,-9.27460711441696,-6.00899579338673,11.1650909267856,10.2824046720228,12.2517557467762,"overall warnings",""
"24",2020-09-13,12.6815943413919,11.3915408189727,14.1774233100074,-7.89613884293364,-9.65593847187822,-6.18004690625904,11.7355270146563,10.8041390368496,13.0872793531819,"overall warnings",""
"25",2020-09-14,8.88631036752285,7.72674936990897,10.1120715344779,-5.8368347187207,-7.5957529305131,-4.21365960645778,10.8280105548555,9.6670303309837,11.8241391906107,"overall warnings",""
"26",2020-09-15,14.8183068982936,13.4178641258613,16.4279377569406,-7.85539769614589,-9.54304580751825,-6.25709552815988,11.8667342575257,10.8249695256836,13.1982217268435,"overall warnings",""
"27",2020-09-16,12.8508922291084,11.580427395391,14.3712893662677,-5.96044422249166,-7.6163881909264,-4.38832429680162,11.364042277815,10.4850865919741,12.5220301541614,"overall warnings",""
"28",2020-09-17,14.7225896928444,13.2653549629556,16.1755527768977,-8.26757911860972,-9.92168282766129,-6.58513327517633,11.5852686190096,10.6778508692858,12.8782982862348,"overall warnings",""
"29",2020-09-18,10.9680537751217,9.8304923865806,12.15877524742,-6.51680511978718,-8.29901721775127,-5.00558331356981,11.1479005510112,10.3331233377251,12.2241514803674,"overall warnings",""
