"","date","GPP.daily","GPP.daily.lower","GPP.daily.upper","ER.daily","ER.daily.lower","ER.daily.upper","K600.daily","K600.daily.lower","K600.daily.upper","warnings","errors"
"1",2020-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,"overall warnings","data don't start when expected"
"2",2020-08-08,10.7607762594866,8.58495658670202,12.7717098161042,-9.95208815470082,-12.0891965635782,-7.83636611387243,14.2664231145517,11.5547254926969,16.7491080710123,"overall warnings",""
"3",2020-08-09,11.593586712318,9.80142878080479,13.5359857540635,-10.4200135082675,-12.4333368757743,-8.59968561062608,13.4415260704994,11.2411948400322,15.7399289385219,"overall warnings",""
"4",2020-08-10,14.7758565725986,12.2504730215794,16.9123598838415,-13.6920657007721,-15.8643620682882,-11.0020720107852,16.5873570411829,13.8862888467304,19.0468728982289,"overall warnings",""
"5",2020-08-11,15.9540545030389,13.130101992867,18.1660770812997,-14.5453171812246,-16.7664520388613,-11.8679453576646,16.9890173448549,14.0785498179827,19.4712817819152,"overall warnings",""
"6",2020-08-12,8.01605115083131,6.56852535023744,9.75958760829073,-7.26272043707662,-9.08688837340149,-5.54729889770521,10.3607707721655,8.46354732388894,12.5727582779672,"overall warnings",""
"7",2020-08-13,6.71331644227695,5.16509550833949,8.42780537975525,-6.54595069642547,-8.42888844628317,-4.76130909733184,11.2021032301849,8.70354450064647,13.9004663640899,"overall warnings",""
"8",2020-08-14,11.6519249358748,9.60265325854196,13.6230317119214,-11.7862898596313,-13.9379382138889,-9.44281703594245,16.0460094641692,13.3419376263543,18.7716762571898,"overall warnings",""
"9",2020-08-15,12.6747855367734,10.4089146645601,14.8650051396907,-13.2153718186178,-15.6431337129927,-10.6765235501622,16.6101368638815,13.7529590926113,19.3899254830278,"overall warnings",""
"10",2020-08-16,9.6317475837935,7.79033442887506,11.2208421779741,-10.7378256209627,-12.6307428367901,-8.51824214057524,12.9368232531307,10.5604407093861,15.1063074940964,"overall warnings",""
"11",2020-08-17,11.115608065702,9.14887641861921,13.176492963165,-12.2887713577272,-14.7519981029121,-10.0288797852913,14.7721660041174,12.3561851229985,17.5749615684892,"overall warnings",""
"12",2020-08-18,5.0999797224876,3.63786769490697,6.58148588703582,-6.83051500372726,-8.9789522711123,-4.74222869912191,9.12905179067288,6.75215137090366,11.5483104934622,"overall warnings",""
"13",2020-08-19,5.46567293231056,4.22366387587256,6.74657632689049,-8.26385958280066,-10.2522030568184,-6.23364163095472,11.4155759832869,8.91607077088256,13.9335557806551,"overall warnings",""
"14",2020-08-20,6.47448844005508,4.80548725579017,8.10445142418219,-7.40987610412369,-9.45760605007715,-5.31742131873718,11.4981107262014,8.63883527916517,14.1852403716546,"overall warnings",""
"15",2020-08-21,7.03205869829168,5.48127333348804,8.7311473440938,-8.76101578424452,-11.0435365558179,-6.6569876007877,12.9412820346664,10.2965305792624,15.8031108355057,"overall warnings",""
"16",2020-08-22,8.5929692916279,6.52479605907125,10.4785608742078,-10.2276981915371,-12.600052370728,-7.54248466272028,15.6402314045344,11.9956066987341,18.7530615259446,"overall warnings",""
"17",2020-08-23,7.91099959918604,6.26188769274715,9.62282411027348,-9.89111473243708,-12.1728082145722,-7.71150589727471,14.6363148699151,11.8390034944615,17.5277166212185,"overall warnings",""
"18",2020-08-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"overall warnings","NAs in DO.obs"
"19",2020-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"overall warnings","NAs in DO.obs"
"20",2020-08-26,4.26357485287867,3.20771548968727,5.32431192009442,-5.37391268171062,-6.90154557628917,-3.93713266325692,9.48810258142713,7.34972551645977,11.5858616331733,"overall warnings",""
"21",2020-08-27,5.15735750714439,3.89203666545603,6.5056261417766,-6.62152631570069,-8.46324110925603,-4.84718589545768,12.3251032853443,9.63105479591492,15.3086506264573,"overall warnings",""
"22",2020-08-28,8.2496774267058,6.45966259507853,9.93233220836048,-8.70145201722117,-10.5676090007328,-6.65660810273853,15.2542357048324,12.1220086493149,18.1406940549928,"overall warnings",""
"23",2020-08-29,7.96349008396312,6.1932615014203,9.67090114323405,-8.28171238722412,-10.1955909208705,-6.24609088113536,15.2854794031845,12.3496059609818,18.4594490548492,"overall warnings",""
"24",2020-08-30,6.31730332172094,4.79182989734532,7.81972539083961,-6.50682610296818,-8.36592364140791,-4.68956177123564,14.1415487131339,11.1773053917028,17.3055264887551,"overall warnings",""
"25",2020-08-31,3.5009169237811,2.33972071056837,4.61186911379231,-4.70952107567977,-6.42033507718988,-3.01251557654612,12.1732492643615,8.61621882266179,15.6973924869608,"overall warnings",""
"26",2020-09-01,5.27028529753692,3.9583888527327,6.87446937594278,-6.18387818700218,-8.05340559592343,-4.45545904791432,13.0866444848214,10.269303421733,16.4165826505445,"overall warnings",""
"27",2020-09-02,7.91720025430618,6.26396789435305,9.82067559141817,-8.47468333156609,-10.5732320343114,-6.46036065765192,15.7323749438948,12.4688540889769,19.2816297970711,"overall warnings",""
"28",2020-09-03,8.60379235419829,6.81346028163811,10.2256614521403,-8.68112826712978,-10.473760202387,-6.65372043927128,15.796768547169,12.6064326273343,18.6347211999267,"overall warnings",""
"29",2020-09-04,8.53145014986327,6.70254932264192,10.1083718928983,-8.68252541608024,-10.4670497190577,-6.63240300784414,15.7300683184958,12.7570738183634,18.5357874464053,"overall warnings",""
"30",2020-09-05,7.81622936715915,6.20790335253807,9.49683488962461,-8.01972151941905,-9.92259377565305,-6.10134941147986,14.816301378218,11.8321470323069,17.7584197409578,"overall warnings",""
"31",2020-09-06,8.78439747038312,7.09146637373151,10.4290742263926,-8.70605540137747,-10.491192487194,-6.8150454605174,16.1178599927356,12.9821515544188,19.0754099100629,"overall warnings",""
"32",2020-09-07,3.65719608004607,2.49388307085926,4.69687990772853,-5.88830388712893,-7.76892472522741,-3.78144468357113,13.2778984425107,9.44254561885471,16.7279419199565,"overall warnings",""
"33",2020-09-08,6.19218376071628,4.64226509511628,7.58829594349014,-6.30445485445101,-7.93323829247646,-4.52164413400218,15.369075268028,11.9184365707921,18.5736297676369,"overall warnings",""
"34",2020-09-09,7.12635227698417,5.59610544240435,8.74606588315243,-7.46549629260949,-9.37405218986307,-5.65240805615566,15.7819037129242,12.6635251055045,19.0489467210352,"overall warnings",""
"35",2020-09-10,8.17668304076678,6.57292571417092,9.77729563706582,-8.19193678107739,-10.1226470883448,-6.46763931439201,16.0080087389779,13.0362896089246,19.0537637565406,"overall warnings",""
"36",2020-09-11,8.40031860700894,6.57737398056409,10.0739839333401,-8.42627400640518,-10.3263518881236,-6.40064212557056,16.0833651266141,12.9820300751847,19.0957934651387,"overall warnings",""
