site,date,DO.obs,DO.sat,depth,discharge,temp.water,light
BM,2020-08-07,8.461887218045113,7.769659737553699,0.7454363511895661,15.859529878221466,19.388654135338346,671.1163873468327
BM,2020-08-08,8.349298611111111,8.070899749455707,0.736008065887783,15.293118096856414,17.555173611111112,747.7761794797377
BM,2020-08-09,8.241680555555556,7.948031734945786,0.7219249856341219,14.471821013877088,18.38935763888889,743.4563476834799
BM,2020-08-10,8.159638888888889,7.886700877828315,0.7169485023853072,14.18861512319456,18.68309027777778,739.0834659622103
BM,2020-08-11,8.008878472222221,7.778605066374645,0.7113992219296936,13.877088643443782,19.08340972222222,734.6492958442949
BM,2020-08-12,8.0456875,7.99949200877314,0.7078255801964691,13.678844519966017,17.722131944444445,730.1273026721742
BM,2020-08-13,8.407302083333333,8.265577812845226,0.7016201858540863,13.338997451146984,16.432770833333333,725.5457346113806
BM,2020-08-14,8.481965277777778,8.327706129109856,0.7000528151988538,13.254035683942226,16.30484375,720.898859849178
BM,2020-08-15,8.273121527777779,8.132501224678197,0.6894329928348087,12.687623902577172,17.46842361111111,716.184631958775
BM,2020-08-16,8.088375,7.9942090678863655,0.6834602494996176,12.376097422826394,18.335881944444445,711.4164868052197
BM,2020-08-17,7.962059027777777,7.846458419976258,0.6790547791603991,12.149532710280374,19.22348263888889,706.5733483520153
BM,2020-08-18,7.656684027777778,7.844471637160266,0.6689434343308702,11.639762107051826,19.16157638888889,701.6641708353235
BM,2020-08-19,7.81975,7.789967350038786,0.6706483759564873,11.724723874256584,19.288239583333333,696.7246349559471
BM,2020-08-20,7.854826388888889,7.73667976029744,0.6773889650546727,12.064570943075616,19.39860763888889,691.7074338262577
BM,2020-08-21,8.004069444444445,7.823159231498892,0.6845534127686091,12.4327386009629,18.931288194444445,686.6177984729876
BM,2020-08-22,7.976739583333333,7.769564153870304,0.6850987807426798,12.461059190031152,19.352538194444445,681.5077712744716
BM,2020-08-23,8.046690972222223,7.819599124593636,0.6812641277274303,12.262815066553385,19.071878472222224,676.3280955537335
BM,2020-08-24,7.73253125,7.948637649124502,0.6845534127686091,12.4327386009629,18.176045138888888,671.0931933201931
BM,2020-08-25,8.006083333333333,8.314799656988397,0.7047355673799787,13.508920985556498,16.062038194444444,665.8062257078799
BM,2020-08-26,8.490996527777778,8.19670817769576,0.7224191406541527,14.50014160294534,16.727527777777777,660.4752924623534
BM,2020-08-27,8.178964130434782,7.980727504081561,0.7258607833880505,14.698385726423108,17.96286206597222,655.1113121053179
BM,2020-08-28,8.40318125,8.110761356530093,0.7307254662618625,14.981591617105634,17.30384652777778,649.6831150596112
BM,2020-08-29,8.430778472222222,8.105799400594698,0.7243895113574811,14.61342395921835,17.05417361111111,644.2034242175005
BM,2020-08-30,8.547440277777778,8.178964423012795,0.7093612358505491,13.763806287170771,16.699919444444443,638.7143667731212
BM,2020-08-31,8.621652083333334,8.495507960270691,0.7062837121052468,13.593882752761257,15.004518055555556,633.1585202877421
BM,2020-09-01,8.904210416666666,8.547666260688993,0.7214302016406902,14.443500424808835,14.879840277777777,627.5719451186552
BM,2020-09-02,8.70485,8.294924419680806,0.7219249856341219,14.471821013877088,16.193797222222223,621.94654629135
BM,2020-09-03,8.67160625,8.185152811155078,0.7129206257083196,13.96205041064854,17.011323611111113,616.2888851094656
BM,2020-09-04,8.7082347222222225,8.163613530834308,0.7026614977917586,13.395638629283487,17.261196527777777,610.6068755483133
BM,2020-09-05,8.652295138888888,8.19781935236098,0.7036999516907834,13.452279807419991,16.934718750000002,604.8657116861671
BM,2020-09-06,8.926311111111112,8.25117843524412,0.7010984518632504,13.310676862078733,16.696118055555555,599.1242777780988
BM,2020-09-07,8.135002777777778,8.69620961343946,0.7042181130809426,13.480600396488246,14.403440277777777,593.3499192724653
BM,2020-09-08,9.899222222222223,9.174917985555993,0.7248805516876909,14.641744548286605,12.201700694444444,587.5372008252779
BM,2020-09-09,9.617759722222223,9.001207762396344,0.7316912141319035,15.03823279524214,12.916029166666666,581.7053958639808
BM,2020-09-10,9.295148611111111,8.717583482809896,0.7321732015995724,15.066553384310392,14.20580625,575.8504628283926
BM,2020-09-11,9.119270138888888,8.556109760506898,0.7292723843954967,14.896629849900878,14.853982638888889,569.9952936407999
BM,2020-09-12,8.997328472222222,8.470230425418814,0.7194447350491001,14.330218068535824,15.290270833333333,564.0984721505756
BM,2020-09-13,8.853436111111112,8.60914319307782,0.7108907422163414,13.84876805437553,14.587784027777777,558.1835859291731
BM,2020-09-14,9.04839375,8.887623959546376,0.7139315545781114,14.018691588785046,13.131293055555556,552.2803354110612
BM,2020-09-15,9.367659722222221,9.013959308474558,0.7164473148903048,14.16029453412631,12.692361805555555,546.3391480984529
BM,2020-09-16,9.434915972222223,8.949675155420534,0.719942055404735,14.358538657604075,13.040942361111112,540.4052697721238
BM,2020-09-17,9.313997222222222,8.930686725302746,0.7174490400581134,14.216935712262812,13.039095833333333,534.445559010192
BM,2020-09-18,9.221727777777778,8.884900234747521,0.7229126687264643,14.528462192013594,13.006911805555555,528.5043999077932
BM,2020-09-19,8.303028472222222,8.801539205246575,0.73120863629902,15.009912206173889,13.380498611111111,522.5466889968494
BM,2020-09-20,9.01941875,8.899043975311136,0.759176859579293,16.709147550269044,13.056771527777778,516.5705133691929
BM,2020-09-21,9.361680555555555,8.90981643757042,0.7564657235130687,16.539224015859528,12.988994444444444,510.6228449869922
BM,2020-09-22,9.23155625,8.950101929946605,0.7482220605287159,16.029453412630982,12.733790277777778,504.6597313423914
