solar.time,DO.obs,DO.sat,depth,discharge,temp.water,light,air.pres_mb
2021-07-01T00:00:57Z,5.711066666666667,7.237344283153092,0.610554089683781,12.4327386009629,23.084533333333336,0,860.6633999999999
2021-07-01T00:05:57Z,5.707400000000001,7.240040457642576,0.610554089683781,12.4327386009629,23.0652,0,860.6633999999999
2021-07-01T00:10:57Z,5.703733333333334,7.2427383539606165,0.610554089683781,12.4327386009629,23.04586666666667,0,860.6633999999999
2021-07-01T00:15:57Z,5.702733333333334,7.247338050591993,0.610554089683781,12.4327386009629,23.012933333333333,0,860.6633999999999
2021-07-01T00:20:57Z,5.7024,7.252418428122153,0.610554089683781,12.4327386009629,22.9766,0,860.6633999999999
2021-07-01T00:25:57Z,5.702066666666667,7.257504916082661,0.610554089683781,12.4327386009629,22.940266666666663,0,860.6633999999999
2021-07-01T00:30:57Z,5.705466666666666,7.2631959600847305,0.610554089683781,12.4327386009629,22.899666666666665,0,860.6633999999999
2021-07-01T00:35:57Z,5.7097999999999995,7.269044488883009,0.610554089683781,12.4327386009629,22.858,0,860.6633999999999
2021-07-01T00:40:57Z,5.714133333333333,7.274901105444283,0.610554089683781,12.4327386009629,22.816333333333333,0,860.6633999999999
2021-07-01T00:45:57Z,5.7126,7.278888233755092,0.610554089683781,12.4327386009629,22.788,0,860.6633999999999
2021-07-01T00:50:57Z,5.7096,7.282409405451737,0.610554089683781,12.4327386009629,22.763,0,860.6633999999999
2021-07-01T00:55:57Z,5.706600000000001,7.285933503754959,0.610554089683781,12.4327386009629,22.738,0,860.6633999999999
2021-07-01T01:00:57Z,5.705733333333334,7.291041593148202,0.610554089683781,12.4327386009629,22.7018,0,860.6633999999999
2021-07-01T01:05:57Z,5.7054,7.296551673029727,0.610554089683781,12.4327386009629,22.6628,0,860.6633999999999
2021-07-01T01:10:57Z,5.705066666666667,7.3020689138269885,0.610554089683781,12.4327386009629,22.6238,0,860.6633999999999
2021-07-01T01:15:57Z,5.7098,7.308235951343469,0.610554089683781,12.4327386009629,22.580266666666667,0,860.6633999999999
2021-07-01T01:20:57Z,5.7158,7.314572855177888,0.610554089683781,12.4327386009629,22.5356,0,860.6633999999999
2021-07-01T01:25:57Z,5.7218,7.320919216912937,0.610554089683781,12.4327386009629,22.490933333333334,0,860.6633999999999
2021-07-01T01:30:57Z,5.727,7.326933310066272,0.610554089683781,12.4327386009629,22.448666666666664,0,860.6633999999999
2021-07-01T01:35:57Z,5.732,7.332870357983185,0.610554089683781,12.4327386009629,22.407,0,860.6633999999999
2021-07-01T01:40:57Z,5.737,7.338815693427059,0.610554089683781,12.4327386009629,22.365333333333332,0,860.6633999999999
2021-07-01T01:45:57Z,5.737466666666667,7.343511233152003,0.610554089683781,12.4327386009629,22.332466666666665,0,860.6633999999999
2021-07-01T01:50:57Z,5.7368,7.347897135909028,0.610554089683781,12.4327386009629,22.3018,0,860.6633999999999
2021-07-01T01:55:57Z,5.736133333333333,7.3522875535839445,0.610554089683781,12.4327386009629,22.271133333333335,0,860.6633999999999
2021-07-01T02:00:57Z,5.7368,7.35603252172693,0.610554089683781,12.4327386009629,22.245,0,860.6633999999999
2021-07-01T02:05:57Z,5.7378,7.359618158439598,0.610554089683781,12.4327386009629,22.22,0,860.6633999999999
2021-07-01T02:10:57Z,5.7387999999999995,7.363206808964585,0.610554089683781,12.4327386009629,22.195,0,860.6633999999999
2021-07-01T02:15:57Z,5.742466666666666,7.368101802288759,0.610554089683781,12.4327386009629,22.160933333333332,0,860.6633999999999
2021-07-01T02:20:57Z,5.7467999999999995,7.3733286769918545,0.610554089683781,12.4327386009629,22.1246,0,860.6633999999999
2021-07-01T02:25:57Z,5.751133333333333,7.37856195029194,0.610554089683781,12.4327386009629,22.088266666666662,0,860.6633999999999
2021-07-01T02:30:57Z,5.757066666666667,7.385379603921137,0.610554089683781,12.4327386009629,22.041,0,860.6633999999999
2021-07-01T02:35:57Z,5.7634,7.392603348562787,0.610554089683781,12.4327386009629,21.991,0,860.6633999999999
2021-07-01T02:40:57Z,5.769733333333333,7.399839298476826,0.610554089683781,12.4327386009629,21.941000000000003,0,860.6633999999999
2021-07-01T02:45:57Z,5.769933333333333,7.403877443568906,0.610554089683781,12.4327386009629,21.913133333333334,0,860.6633999999999
2021-07-01T02:50:57Z,5.7686,7.4071165040236515,0.610554089683781,12.4327386009629,21.8908,0,860.6633999999999
2021-07-01T02:55:57Z,5.767266666666667,7.410358012771316,0.610554089683781,12.4327386009629,21.868466666666663,0,860.6633999999999
2021-07-01T03:00:57Z,5.771800000000001,7.41553983507793,0.610554089683781,12.4327386009629,21.8328,0,860.6633999999999
2021-07-01T03:05:57Z,5.7778,7.421213109579569,0.610554089683781,12.4327386009629,21.7938,0,860.6633999999999
2021-07-01T03:10:57Z,5.7838,7.426893889224117,0.610554089683781,12.4327386009629,21.7548,0,860.6633999999999
2021-07-01T03:15:57Z,5.7898000000000005,7.433243882642678,0.610554089683781,12.4327386009629,21.711266666666667,0,860.6633999999999
2021-07-01T03:20:57Z,5.7958,7.439768953080557,0.610554089683781,12.4327386009629,21.6666,0,860.6633999999999
2021-07-01T03:25:57Z,5.8018,7.446303935880531,0.610554089683781,12.4327386009629,21.621933333333335,0,860.6633999999999
2021-07-01T03:30:57Z,5.8078,7.452496934662482,0.610554089683781,12.4327386009629,21.579666666666665,0,860.6633999999999
2021-07-01T03:35:57Z,5.8138,7.458610748617131,0.610554089683781,12.4327386009629,21.538,0,860.6633999999999
