model,covariates,waic,waic_se,loo,loo_se,r2adj,rmse
ar1_lmod,light,-17.368576833215045,75.49194169153749,-17.423008472293855,75.45147815792104,0.5465389061687622,2.232763859427923
ar1_lmod,light + epil_afdm,-102.62758232961657,65.27539702342737,-102.57673675580425,65.28452533819838,0.5532550652079975,2.215082018542124
ar1_lmod,light + fila_afdm,-16.571061721058147,75.36183027774452,-16.567084090429418,75.34744418877062,0.5473022541705441,2.229791004180109
ar1_lmod,light + epil_afdm + fila_afdm,-104.58580994608498,64.79765407101169,-104.50370831743302,64.81686581895288,0.5510791189008669,2.2193811979390667
ar1_lmod,light + epil_chla,-67.58922106882078,66.95796769551976,-67.55105071814201,66.96127041087387,0.5464012519507244,2.2320088725122487
ar1_lmod,light + fila_chla,-168.16028756433028,61.14403290361304,-168.12535266975982,61.148912932250205,0.6090528117246177,2.072139741058998
ar1_lmod,light + epil_chla + fila_chla,-223.06612340404436,56.58343891956141,-222.9732573934809,56.597210069475544,0.6147096517317062,2.056084996887531
ar1_lmod,light + epil_afdm + light_epil_afdm,-100.57422081135833,64.8353224123824,-100.5186600699992,64.84847003552318,0.5526394674731938,2.2155208042359544
ar1_lmod,light + fila_afdm + light_fila_afdm,-43.96944024548439,73.5393685045787,-43.85124195562875,73.58347319360513,0.55138501088975,2.218624932587217
ar1_lmod,light + epil_afdm + fila_afdm + light_epil_afdm + light_fila_afdm,-119.62860194602311,64.89424393984062,-119.55805976285652,64.89753124063348,0.5568602444975157,2.2028794953659037
ar1_lmod,light + epil_chla + light_epil_chla,-69.18467506321547,68.01762468793254,-69.13777441248688,68.016202861546,0.5443534942177206,2.235944509375815
ar1_lmod,light + fila_chla + light_fila_chla,-174.42919669751132,63.654728596218334,-174.2335612606964,63.70741372519477,0.6189318862690874,2.0447880776360043
ar1_lmod,light + epil_chla + fila_chla + light_epil_chla + light_fila_chla,-236.11301434067138,58.901337555791415,-235.90628323052613,58.94379114061407,0.6275763806596479,2.0194773743514727
ar1_lmod,light_epil_afdm,607.4056868191067,72.01322536038928,607.416412097474,72.00972674348012,0.20931226737853037,2.948324481418467
ar1_lmod,light_fila_afdm,777.5770389670929,78.82674950158737,777.6083460914969,78.83122834689118,0.13202912692649804,3.0890529593027773
ar1_lmod,light_epil_chla,782.8397192477659,86.65921376669641,782.9466099715582,86.70051072106652,0.13895413131825596,3.076705457304367
ar1_lmod,light_fila_chla,711.633708233832,61.46612811036508,711.1510339867099,61.34828840894634,0.12560193746325454,3.1004688436853045
ar1_lmod,light_epil_afdm + light_fila_afdm,777.5301602772983,82.99516756654437,777.7345762341101,83.07033220648519,0.14168503693718393,3.0703178315552204
ar1_lmod,light_epil_chla + light_fila_chla,690.6674359490643,62.1284740773882,690.6167859461352,62.11765842135285,0.141128659595379,3.0713127918001715
