parameter,chains,biomass_vars,units
gamma_light,0.37658628590690596,fila,chla_mgm2
gamma_fila,0.027492551126136862,fila,chla_mgm2
phi,0.6895224698522268,fila,chla_mgm2
gamma_light,0.3821791916990839,fila,chla_mgm2
gamma_fila,0.036811532584308616,fila,chla_mgm2
phi,0.7032703895264596,fila,chla_mgm2
gamma_light,0.4039320320143629,fila,chla_mgm2
gamma_fila,0.04252832262054926,fila,chla_mgm2
phi,0.6981447680586818,fila,chla_mgm2
gamma_light,0.38986854485589606,fila,chla_mgm2
gamma_fila,0.024179044463599166,fila,chla_mgm2
phi,0.6912934851384911,fila,chla_mgm2
gamma_light,0.37756651067700314,fila,chla_mgm2
gamma_fila,0.051606154741482876,fila,chla_mgm2
phi,0.701601878183239,fila,chla_mgm2
gamma_light,0.36793382968276395,fila,chla_mgm2
gamma_fila,-1.6264670252753497e-4,fila,chla_mgm2
phi,0.7021674911466383,fila,chla_mgm2
gamma_light,0.383943279046523,fila,chla_mgm2
gamma_fila,0.037405498595351604,fila,chla_mgm2
phi,0.6754766861227844,fila,chla_mgm2
gamma_light,0.36859956739830063,fila,chla_mgm2
gamma_fila,0.02420794756161154,fila,chla_mgm2
phi,0.6673737745791706,fila,chla_mgm2
gamma_light,0.32753931689443117,fila,chla_mgm2
gamma_fila,0.06591614357235402,fila,chla_mgm2
phi,0.7104632617682818,fila,chla_mgm2
gamma_light,0.42235971710630504,fila,chla_mgm2
gamma_fila,-0.001871496953118918,fila,chla_mgm2
phi,0.7188633081996869,fila,chla_mgm2
gamma_light,0.4433207548948614,fila,chla_mgm2
gamma_fila,7.576436988370825e-4,fila,chla_mgm2
phi,0.6773443710827947,fila,chla_mgm2
gamma_light,0.3885363249890642,fila,chla_mgm2
gamma_fila,0.018186673434088512,fila,chla_mgm2
phi,0.6839605472218405,fila,chla_mgm2
gamma_light,0.41353431346000913,fila,chla_mgm2
gamma_fila,-0.0033635032174301827,fila,chla_mgm2
phi,0.6808234010033152,fila,chla_mgm2
gamma_light,0.3848352627802419,fila,chla_mgm2
gamma_fila,0.04129203444459569,fila,chla_mgm2
phi,0.6906738869959109,fila,chla_mgm2
gamma_light,0.3891614812452662,fila,chla_mgm2
gamma_fila,0.03494326188461793,fila,chla_mgm2
phi,0.7084890901742112,fila,chla_mgm2
gamma_light,0.3862054637765823,fila,chla_mgm2
gamma_fila,0.03718790226355861,fila,chla_mgm2
phi,0.6591765466751411,fila,chla_mgm2
gamma_light,0.346990142860487,fila,chla_mgm2
gamma_fila,0.03495255773053428,fila,chla_mgm2
phi,0.6833522061831667,fila,chla_mgm2
gamma_light,0.38043396014747227,fila,chla_mgm2
gamma_fila,0.047283002545729695,fila,chla_mgm2
phi,0.7061375628379886,fila,chla_mgm2
gamma_light,0.4083130699848016,fila,chla_mgm2
gamma_fila,0.03197661406922075,fila,chla_mgm2
phi,0.6827667287206237,fila,chla_mgm2
gamma_light,0.3955877989966658,fila,chla_mgm2
gamma_fila,0.029030388554565276,fila,chla_mgm2
phi,0.6479801976264887,fila,chla_mgm2
gamma_light,0.3578665630750156,fila,chla_mgm2
gamma_fila,0.0530623401216528,fila,chla_mgm2
phi,0.6950996389798869,fila,chla_mgm2
gamma_light,0.37136987784311404,fila,chla_mgm2
gamma_fila,0.005904989589064437,fila,chla_mgm2
phi,0.6902162360888866,fila,chla_mgm2
gamma_light,0.4028623389197542,fila,chla_mgm2
gamma_fila,0.038814739018827656,fila,chla_mgm2
phi,0.6956999100071388,fila,chla_mgm2
gamma_light,0.36948584334496,fila,chla_mgm2
gamma_fila,0.058604399682087256,fila,chla_mgm2
phi,0.6941515087334702,fila,chla_mgm2
gamma_light,0.37565663687410983,fila,chla_mgm2
gamma_fila,0.037389679772315706,fila,chla_mgm2
phi,0.6947448036628605,fila,chla_mgm2
gamma_light,0.37201538785183325,fila,chla_mgm2
gamma_fila,0.04567892369723903,fila,chla_mgm2
phi,0.696689911428983,fila,chla_mgm2
gamma_light,0.3633999897918734,fila,chla_mgm2
gamma_fila,0.048153419419479024,fila,chla_mgm2
phi,0.6964324626621989,fila,chla_mgm2
gamma_light,0.37979189871354346,fila,chla_mgm2
gamma_fila,0.02921171491497813,fila,chla_mgm2
phi,0.7108523185081541,fila,chla_mgm2
gamma_light,0.3965339245647465,fila,chla_mgm2
gamma_fila,0.05603404485577201,fila,chla_mgm2
phi,0.6904356601790826,fila,chla_mgm2
gamma_light,0.36039963561949095,fila,chla_mgm2
gamma_fila,0.07654139408026545,fila,chla_mgm2
phi,0.6962739128116913,fila,chla_mgm2
gamma_light,0.3953620849626882,fila,chla_mgm2
gamma_fila,0.026088396614273777,fila,chla_mgm2
phi,0.6957484137816503,fila,chla_mgm2
gamma_light,0.3899824457479506,fila,chla_mgm2
gamma_fila,0.02824509809655833,fila,chla_mgm2
phi,0.6602508024723867,fila,chla_mgm2
gamma_light,0.37331025956591746,fila,chla_mgm2
gamma_fila,0.022913074035171167,fila,chla_mgm2
phi,0.6702031791574942,fila,chla_mgm2
gamma_light,0.35830649486657395,fila,chla_mgm2
gamma_fila,0.02363221611604992,fila,chla_mgm2
phi,0.6798247320913263,fila,chla_mgm2
gamma_light,0.40118971336457837,fila,chla_mgm2
gamma_fila,0.02997410623644421,fila,chla_mgm2
phi,0.7015815185674,fila,chla_mgm2
gamma_light,0.35471876628707744,fila,chla_mgm2
gamma_fila,0.047325753014927675,fila,chla_mgm2
phi,0.6892641773865559,fila,chla_mgm2
gamma_light,0.3873492583438857,fila,chla_mgm2
gamma_fila,0.045695230175176745,fila,chla_mgm2
phi,0.6841037545033833,fila,chla_mgm2
gamma_light,0.3736652780994413,fila,chla_mgm2
gamma_fila,0.09499448797362904,fila,chla_mgm2
phi,0.6994482907872768,fila,chla_mgm2
gamma_light,0.4192701966187219,fila,chla_mgm2
gamma_fila,0.04769691310988369,fila,chla_mgm2
phi,0.6938392577600079,fila,chla_mgm2
gamma_light,0.3805363710144709,fila,chla_mgm2
gamma_fila,0.03409083418469306,fila,chla_mgm2
phi,0.6889473970020066,fila,chla_mgm2
gamma_light,0.40942877885556617,fila,chla_mgm2
gamma_fila,-0.01978107701867093,fila,chla_mgm2
phi,0.6870522583043019,fila,chla_mgm2
gamma_light,0.37097578463290914,fila,chla_mgm2
gamma_fila,0.056522725346235085,fila,chla_mgm2
phi,0.6860257027575719,fila,chla_mgm2
gamma_light,0.38846678262633083,fila,chla_mgm2
gamma_fila,0.007858705950508959,fila,chla_mgm2
phi,0.6927575944008086,fila,chla_mgm2
gamma_light,0.35387683637553624,fila,chla_mgm2
gamma_fila,0.04648104077728439,fila,chla_mgm2
phi,0.6804462027576462,fila,chla_mgm2
gamma_light,0.3857685110349855,fila,chla_mgm2
gamma_fila,0.051766596042071365,fila,chla_mgm2
phi,0.6950558427129248,fila,chla_mgm2
gamma_light,0.3540910006223859,fila,chla_mgm2
gamma_fila,0.056426636757759184,fila,chla_mgm2
phi,0.7121000291028866,fila,chla_mgm2
gamma_light,0.40356918597295144,fila,chla_mgm2
gamma_fila,0.04774166416728037,fila,chla_mgm2
phi,0.6710888145016656,fila,chla_mgm2
gamma_light,0.35337186411666865,fila,chla_mgm2
gamma_fila,0.019720422606094846,fila,chla_mgm2
phi,0.6589379550280982,fila,chla_mgm2
gamma_light,0.3629814509477224,fila,chla_mgm2
gamma_fila,0.04094131292733132,fila,chla_mgm2
phi,0.6704487749180358,fila,chla_mgm2
gamma_light,0.3694348608763802,fila,chla_mgm2
gamma_fila,0.03986786351961365,fila,chla_mgm2
phi,0.7052164866169627,fila,chla_mgm2
gamma_light,0.3829967628665783,fila,chla_mgm2
gamma_fila,0.005417712335342908,fila,chla_mgm2
phi,0.7065398689687972,fila,chla_mgm2
gamma_light,0.37222326327295197,fila,chla_mgm2
gamma_fila,0.07173349638711335,fila,chla_mgm2
phi,0.6969142908801179,fila,chla_mgm2
gamma_light,0.36970582519464845,fila,chla_mgm2
gamma_fila,0.02760470397646617,fila,chla_mgm2
phi,0.6946878719338317,fila,chla_mgm2
gamma_light,0.3807096011006602,fila,chla_mgm2
gamma_fila,0.03985667899542219,fila,chla_mgm2
phi,0.6807947663509758,fila,chla_mgm2
gamma_light,0.3616850623125308,fila,chla_mgm2
gamma_fila,0.050350773129653324,fila,chla_mgm2
phi,0.6516686975406013,fila,chla_mgm2
gamma_light,0.3674328860967643,fila,chla_mgm2
gamma_fila,0.03450119061582034,fila,chla_mgm2
phi,0.6804381502922004,fila,chla_mgm2
gamma_light,0.37655482391192774,fila,chla_mgm2
gamma_fila,0.05540924047423014,fila,chla_mgm2
phi,0.6729738074613291,fila,chla_mgm2
gamma_light,0.3516225126034557,fila,chla_mgm2
gamma_fila,0.03940115969228507,fila,chla_mgm2
phi,0.7053120222512796,fila,chla_mgm2
gamma_light,0.36883000575128394,fila,chla_mgm2
gamma_fila,0.010019244034877917,fila,chla_mgm2
phi,0.6875949549267533,fila,chla_mgm2
gamma_light,0.3832066514699931,fila,chla_mgm2
gamma_fila,0.03338329807336985,fila,chla_mgm2
phi,0.7039541513991406,fila,chla_mgm2
gamma_light,0.40035137714003416,fila,chla_mgm2
gamma_fila,0.008988226159032046,fila,chla_mgm2
phi,0.6870212400080778,fila,chla_mgm2
gamma_light,0.3627101604362527,fila,chla_mgm2
gamma_fila,0.005589505859738185,fila,chla_mgm2
phi,0.6811434145555042,fila,chla_mgm2
gamma_light,0.3579830116235008,fila,chla_mgm2
gamma_fila,0.07633903886023839,fila,chla_mgm2
phi,0.6920369351505306,fila,chla_mgm2
gamma_light,0.3877600470035412,fila,chla_mgm2
gamma_fila,0.002338644502260916,fila,chla_mgm2
phi,0.6759231708940552,fila,chla_mgm2
gamma_light,0.37558734764183216,fila,chla_mgm2
gamma_fila,0.03635701135931334,fila,chla_mgm2
phi,0.6804994039502968,fila,chla_mgm2
gamma_light,0.37354484113683917,fila,chla_mgm2
gamma_fila,0.021832978182226823,fila,chla_mgm2
phi,0.6943512710401468,fila,chla_mgm2
gamma_light,0.36999715944178635,fila,chla_mgm2
gamma_fila,0.04370273438925897,fila,chla_mgm2
phi,0.6663256725051592,fila,chla_mgm2
gamma_light,0.36845868991286224,fila,chla_mgm2
gamma_fila,0.05772356008322816,fila,chla_mgm2
phi,0.6731531582960459,fila,chla_mgm2
gamma_light,0.3549522065037399,fila,chla_mgm2
gamma_fila,0.0030324517738332156,fila,chla_mgm2
phi,0.7014813155150728,fila,chla_mgm2
gamma_light,0.3407275786112065,fila,chla_mgm2
gamma_fila,0.057834003432825666,fila,chla_mgm2
phi,0.6984581008494228,fila,chla_mgm2
gamma_light,0.366991850147051,fila,chla_mgm2
gamma_fila,0.06960039322426603,fila,chla_mgm2
phi,0.6534129433727554,fila,chla_mgm2
gamma_light,0.36769238685303973,fila,chla_mgm2
gamma_fila,0.06376543014235057,fila,chla_mgm2
phi,0.701855652065919,fila,chla_mgm2
gamma_light,0.3969808924451674,fila,chla_mgm2
gamma_fila,0.048910584769432955,fila,chla_mgm2
phi,0.6637814560961812,fila,chla_mgm2
gamma_light,0.35719066140359934,fila,chla_mgm2
gamma_fila,0.047354061333831715,fila,chla_mgm2
phi,0.6964286977972897,fila,chla_mgm2
