mean,se_mean,sd,X_2.5,X_50,X_97.5,parameter,biomass_vars,model,r2_adj,rmse
0.6460439149197347,7.514369050127041e-4,0.02015242051380895,0.6068808706576478,0.6455218608007941,0.6864012527924873,phi,light,ar1_lmod,0.8130537964720196,1.4336102690080976
2.1522638167024386,0.005428729320585183,0.17151395583205944,1.8080512091252263,2.151096715703005,2.499119985963267,gamma_intercept,light,ar1_lmod,0.8130537964720196,1.4336102690080976
0.36187269008670225,5.628576055282117e-4,0.020670276908730474,0.32157521660157173,0.3621006485570793,0.401230493709061,gamma_light,light,ar1_lmod,0.8130537964720196,1.4336102690080976
2.4676936489309877,0.005333210888093434,0.1454320765867195,2.1799123476465745,2.470180366777061,2.7457273726846982,beta_1,light,ar1_lmod,0.8130537964720196,1.4336102690080976
1.9394101904038747,0.0041390070448936635,0.12037687530275255,1.7048566911215643,1.9409459544651113,2.1785823022601387,beta_2,light,ar1_lmod,0.8130537964720196,1.4336102690080976
2.21570122310373,0.004780649494149186,0.13131945857999933,1.9481173337261968,2.221400096011172,2.4673047249172777,beta_3,light,ar1_lmod,0.8130537964720196,1.4336102690080976
2.102947107817439,0.004619443072735277,0.12713650540780064,1.8479776534530363,2.1046201368487347,2.3515738178090633,beta_4,light,ar1_lmod,0.8130537964720196,1.4336102690080976
2.1579683454093566,0.004723845286281004,0.1305963411549382,1.892713179855427,2.162402599145319,2.4107401283855614,beta_5,light,ar1_lmod,0.8130537964720196,1.4336102690080976
2.046992849551695,0.004529739826075425,0.12378476386929088,1.794944417001369,2.051083316401079,2.2850749914624475,beta_6,light,ar1_lmod,0.8130537964720196,1.4336102690080976
0.25593503182768823,0.0040326176684288215,0.1339681010221663,0.11531105508789356,0.2226241982673453,0.5893348548343489,tau,light,ar1_lmod,0.8130537964720196,1.4336102690080976
0.47580767341616664,2.1016272467227874e-4,0.010884128175584092,0.455329886032568,0.4754188789246106,0.4977157622101574,sigma,light,ar1_lmod,0.8130537964720196,1.4336102690080976
0.6226440691021707,7.5288605804095e-4,0.019530871337301005,0.5828530096644584,0.6224221176665368,0.6603472999476983,phi,light + epil_afdm,ar1_lmod,0.8129340480576506,1.4333668864267177
2.1811812390469805,0.00600985693713271,0.18186663920622143,1.846241260052143,2.17478616067328,2.5572808637442472,gamma_intercept,light + epil_afdm,ar1_lmod,0.8129340480576506,1.4333668864267177
0.3777186093565252,6.022559145303954e-4,0.01981778660577089,0.3387379966558661,0.37789237257137615,0.4173092281544667,gamma_light,light + epil_afdm,ar1_lmod,0.8129340480576506,1.4333668864267177
0.12750745167138,4.5319319974560613e-4,0.021903185476607998,0.08477324723304812,0.12745080164846315,0.1699426680816928,gamma_epil_afdm,light + epil_afdm,ar1_lmod,0.8129340480576506,1.4333668864267177
2.5405700885964273,0.0051422531569836,0.13517844058399223,2.2778950814968573,2.541861287000182,2.8076409462660856,beta_1,light + epil_afdm,ar1_lmod,0.8129340480576506,1.4333668864267177
2.2065034946499775,0.004456313849525972,0.1272436597921414,1.9659169263411367,2.2085660473936293,2.4518029660237604,beta_2,light + epil_afdm,ar1_lmod,0.8129340480576506,1.4333668864267177
2.165763950361254,0.004366991188032653,0.11776870503669716,1.9391765386141824,2.166261002315033,2.396768527549753,beta_3,light + epil_afdm,ar1_lmod,0.8129340480576506,1.4333668864267177
2.1037240215610344,0.004433214366100668,0.11522552721086096,1.8890223777396604,2.1032893022185633,2.3357618376086804,beta_4,light + epil_afdm,ar1_lmod,0.8129340480576506,1.4333668864267177
