mean,se_mean,sd,X_2.5,X_50,X_97.5,parameter,biomass_vars,model,r2_adj,rmse
0.2944713574791888,0.0026982014812844592,0.06331414229620083,0.17423089325770763,0.29318069448845463,0.42613497808408946,phi,light,ar1_lmod,0.5465389061687622,2.232763859427923
2.1609041591410025,0.008767001972094225,0.2261707885270087,1.700321754088528,2.1637883388715116,2.602395378841585,gamma_intercept,light,ar1_lmod,0.5465389061687622,2.232763859427923
0.29542137057550183,0.0010043679169811869,0.024618107926978848,0.2454838320003973,0.2960103676253278,0.34198738406511925,gamma_light,light,ar1_lmod,0.5465389061687622,2.232763859427923
2.4701658679236087,0.009469406566442603,0.222960561933649,2.0036989314061113,2.472540298336053,2.8961457391949934,beta_1,light,ar1_lmod,0.5465389061687622,2.232763859427923
1.9173935004309235,0.007417117886716166,0.17407853334542278,1.5511197217461665,1.9187593326122219,2.248633167209101,beta_2,light,ar1_lmod,0.5465389061687622,2.232763859427923
2.2219806299068443,0.008557749915165658,0.20114160290417182,1.8092480911726092,2.2262153149488575,2.6044155299051357,beta_3,light,ar1_lmod,0.5465389061687622,2.232763859427923
2.121633934458591,0.008164844977646395,0.19239979847664812,1.7260553137689156,2.1247463766316526,2.4885571795113552,beta_4,light,ar1_lmod,0.5465389061687622,2.232763859427923
2.1860209621609563,0.00842431664593596,0.19825724370909825,1.779413581611768,2.1911534028184607,2.565191728858543,beta_5,light,ar1_lmod,0.5465389061687622,2.232763859427923
2.070559432406766,0.007979563774677598,0.18751479411835068,1.6822486610243694,2.072525056197587,2.4292062486197374,beta_6,light,ar1_lmod,0.5465389061687622,2.232763859427923
0.25256580188723055,0.003463249180943838,0.11771763799172623,0.1207378842108981,0.22248772287868482,0.5686551042492342,tau,light,ar1_lmod,0.5465389061687622,2.232763859427923
0.3383314271785657,1.7166765470919335e-4,0.0075400605291349255,0.32423104507294453,0.3381515522430365,0.35327136906995793,sigma,light,ar1_lmod,0.5465389061687622,2.232763859427923
0.33222560102279136,0.002802493922496863,0.062032532985145716,0.2177469778675682,0.32715566901523035,0.4539782724926189,phi,light + epil_afdm,ar1_lmod,0.5532550652079975,2.215082018542124
2.178350354762756,0.010478770777987164,0.23366062118016748,1.715402858391346,2.179971939552181,2.6180633263560837,gamma_intercept,light + epil_afdm,ar1_lmod,0.5532550652079975,2.215082018542124
0.31927234383872666,0.001188632922055837,0.027307045922685083,0.2640959601821772,0.3213958309816107,0.3691071557661667,gamma_light,light + epil_afdm,ar1_lmod,0.5532550652079975,2.215082018542124
0.10722525570213089,4.8444125245105594e-4,0.014228940170069681,0.08025560809444696,0.10676223547622146,0.13554368655485108,gamma_epil_afdm,light + epil_afdm,ar1_lmod,0.5532550652079975,2.215082018542124
2.5305303772058676,0.010637577840159862,0.23483956311625895,2.064336598529876,2.5501702551821936,2.9658902025138207,beta_1,light + epil_afdm,ar1_lmod,0.5532550652079975,2.215082018542124
2.1537093149237028,0.009085841163980014,0.20034395872300584,1.7617395411665375,2.169068435554669,2.5215299615340703,beta_2,light + epil_afdm,ar1_lmod,0.5532550652079975,2.215082018542124
2.178988403837765,0.009191660475868101,0.20449564949753646,1.7723821640799762,2.1943675697387963,2.5601614666024934,beta_3,light + epil_afdm,ar1_lmod,0.5532550652079975,2.215082018542124
2.119762308147346,0.009015104918846628,0.19927796045538304,1.7268238294283254,2.134669754474995,2.488518543872635,beta_4,light + epil_afdm,ar1_lmod,0.5532550652079975,2.215082018542124
2.09894529446541,0.008870845716282032,0.1984544069638779,1.703727302456387,2.1125550968316014,2.46832790933736,beta_5,light + epil_afdm,ar1_lmod,0.5532550652079975,2.215082018542124
2.009732648734855,0.00853232329405848,0.18948767969071545,1.634361181855926,2.024967171299708,2.364537375885171,beta_6,light + epil_afdm,ar1_lmod,0.5532550652079975,2.215082018542124
0.25494999287005643,0.0043907176781877106,0.13086831465027948,0.11580599271769801,0.22373862945599268,0.5581363815742748,tau,light + epil_afdm,ar1_lmod,0.5532550652079975,2.215082018542124
0.342843921224617,1.5517623635605583e-4,0.007568573865809373,0.3286333756279126,0.3427936329017731,0.35810619249935155,sigma,light + epil_afdm,ar1_lmod,0.5532550652079975,2.215082018542124
0.31198888502221583,0.0030743459201085796,0.06474629161605498,0.18660308624606792,0.31068028166967643,0.4431747804395978,phi,light + fila_afdm,ar1_lmod,0.5473022541705441,2.229791004180109
2.1658563593977997,0.00974241659625953,0.23141558336590787,1.720784143311481,2.167617472823652,2.6290338016698236,gamma_intercept,light + fila_afdm,ar1_lmod,0.5473022541705441,2.229791004180109
0.3047997894623622,0.0011289597850977079,0.025688069831492476,0.2529429977470595,0.3052903872678287,0.3519657966338677,gamma_light,light + fila_afdm,ar1_lmod,0.5473022541705441,2.229791004180109
-0.014555690315912974,3.259014396512749e-4,0.015832403623309708,-0.04485264875653857,-0.01467028027340048,0.018892090012800355,gamma_fila_afdm,light + fila_afdm,ar1_lmod,0.5473022541705441,2.229791004180109
2.457941165995149,0.011171145914107507,0.23633294383925313,1.9841440638305108,2.4625655323940867,2.922856646468971,beta_1,light + fila_afdm,ar1_lmod,0.5473022541705441,2.229791004180109
1.9031078315011523,0.008709170836197934,0.1862884735527323,1.5353050882772883,1.903657474604178,2.2693642597991586,beta_2,light + fila_afdm,ar1_lmod,0.5473022541705441,2.229791004180109
2.223095299801537,0.009999758504097575,0.2100854881553353,1.7943961119425103,2.2276201499832538,2.6287253349469677,beta_3,light + fila_afdm,ar1_lmod,0.5473022541705441,2.229791004180109
