site,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,light,mean_PAR_umolm2s,light_hrs,q.cms,epil_gm2_fit,fila_gm2_fit,epil_chla_mgm2_fit,fila_chla_mgm2_fit,epil_gm2_se,fila_gm2_se,epil_chla_mgm2_se,fila_chla_mgm2_se,log_q,year
PL,2020-08-07,NA,NA,NA,NA,NA,NA,13.65374611336127,0.8152614361356896,1016.644042,14,4.559614839988671,4.068180836834905,1.8116230808228,9.755196168777031,7.755690246587383,0.81003642360532,0.8092805890675808,1.8478159504882443,3.0218951178081266,1.5172381550441678,2020
PL,2020-08-08,12.073385919691754,11.69506909532941,12.451702744054096,-11.940281441198827,-12.486507106924131,-11.394055775473522,13.65374611336127,0.8091951161389443,1009.0792439999999,14,4.389691305579156,4.072297356723966,1.9428422056337449,9.798434735357477,7.599069578292118,0.8110964244645469,0.8496491462991532,1.8542869638267856,2.9682471710124276,1.4792589069789515,2020
PL,2020-08-09,12.261773939229297,11.91856782723049,12.6049800512281,-12.36699228261914,-12.860232284056904,-11.873752281181376,13.65374611336127,0.6958063466169652,867.6816359999999,14,4.21976777116964,4.092338040232185,2.0894490839651914,9.868423362069915,7.423009901326223,0.8155293948768783,0.8955031485627052,1.866578224706191,2.911593290891492,1.439780096005164,2020
PL,2020-08-10,12.063103659104236,11.71485907767417,12.411348240534302,-12.611919589258656,-13.116219465943432,-12.107619712573875,13.65374611336127,0.8024642593514663,1000.6857579999999,14,4.134806003964882,4.127539801085544,2.2522043070328,9.964772983331263,7.226470738397824,0.8232718413433112,0.9474284402304952,1.8847559691556932,2.851861045566878,1.4194404117680413,2020
PL,2020-08-11,11.786418713144672,11.450627460335724,12.122209965953624,-12.50746242392205,-12.991917558744383,-12.023007289099716,13.65374611336127,0.8025606462474982,1000.8059539999998,14,4.163126593033135,4.177146605685927,2.4318056469223572,10.087124843696309,7.008856744391306,0.8341768364659304,1.0058526563341224,1.9087357912394325,2.788483399480124,1.4262663768384412,2020
PL,2020-08-12,10.018574759647304,9.552667387731695,10.484482131562912,-10.967364539781324,-11.635057127482789,-10.299671952079864,13.65374611336127,0.6930305008824972,864.220112,14,3.936561880487114,4.240027218117812,2.6286032134498205,10.234738800212869,6.770427251543749,0.8480419496962152,1.0710791224212834,1.938387810420599,2.721073421735295,1.3703077231903966,2020
PL,2020-08-13,9.855863290192843,9.585637853638294,10.126088726747392,-10.96719825763335,-11.356368767880689,-10.578027747386017,13.65374611336127,0.7618347608926881,950.020124,14,3.851600113282356,4.31496908158773,2.8427108551238867,10.406836483764716,6.511856332476741,0.8645702461307417,1.1431352180488237,1.9734152198961907,2.6489182533583464,1.3484886757957568,2020
PL,2020-08-14,10.30856277175964,10.000968988312865,10.616156555206418,-11.216929127517528,-11.662482358124894,-10.77137589691016,13.65374611336127,0.794503864194254,990.759018,14,3.794958935145851,4.400753838180723,3.074008613937674,10.60270040808938,6.2340933689618225,0.8833543216963691,1.221656196677099,2.013310706807511,2.570940312798725,1.3336735900106163,2020
PL,2020-08-15,10.614916045945783,10.288005999488018,10.941826092403549,-11.65499823364875,-12.131005914851212,-11.178990552446283,13.65374611336127,0.7862719873524893,980.493736,14,3.68167657887284,4.496123339920474,3.3220743089770384,10.82164837464546,5.938360273606593,0.9038867099582604,1.305827833808519,2.057379803562505,2.4859420532270904,1.303368240515287,2020
PL,2020-08-16,10.660651189443495,10.35276149029198,10.968540888595012,-11.648707814261297,-12.097012676412282,-11.200402952110313,13.65374611336127,0.7286272956065013,908.6098840000001,14,3.5683942225998297,4.5997490285056,3.586110739011616,11.063008824154664,5.626142853057985,0.9255898147599032,1.394384516495078,2.1047998741658507,2.39290301426945,1.2721156970111829,2020
PL,2020-08-17,11.644526151879033,11.359935743955203,11.92911655980286,-12.243327718171892,-12.65932614629962,-11.827329290044164,13.65374611336127,0.7537588467671157,939.94933,14,3.398470688190314,4.710253487663867,3.864912384611306,11.326097170653574,5.29952016923354,0.9479150183183468,1.4858037203031744,2.15479531040515,2.291548023998371,1.223325532841751,2020
PL,2020-08-18,10.407987048006095,10.166401044991275,10.649573051020914,-11.723802065143197,-12.077268546991828,-11.370335583294564,13.65374611336127,0.7286461855006985,908.63344,14,3.3135089209855564,4.826414253818912,4.157005134966413,11.61021560936602,4.962369802259625,0.9705999395689444,1.578989156990005,2.2070748911540425,2.1834836002734046,1.198007724857461,2020
PL,2020-08-19,9.793833298741868,9.388270500700648,10.199396096783088,-12.200406105732036,-12.795631204843485,-11.605181006620588,13.65374611336127,0.6625242904665126,826.1783800000001,14,3.3701500991220614,4.9473371044943875,4.460818681457417,11.91474295385367,4.620195623341594,0.9937653666863556,1.6737168590382898,2.262003643455717,2.0720214120670137,1.2149572831712343,2020
PL,2020-08-20,10.088620566551445,9.736736348773636,10.44050478432925,-11.132695058116596,-11.645791438431736,-10.619598677801456,13.65374611336127,0.64012935218318745,798.251534,14,3.455111866326819,5.072496007314027,4.77477649219821,12.239189319768144,4.279248034588813,1.0178470312840604,1.7706955103681032,2.320501120054671,1.9612365244830945,1.2398548347929614,2020
PL,2020-08-21,11.412261975500508,11.056538219479984,11.767985731521032,-12.310453764184397,-12.832327517161756,-11.788580011207031,13.65374611336127,0.7373612077132766,919.501212,14,3.398470688190314,5.201406800088309,5.0970029327860855,12.583041786599017,3.945087081948549,1.0433187697368935,1.8709725414723144,2.383604111027891,1.8545768651464043,1.223325532841751,2020
