model,covariates,waic,waic_se,loo,loo_se,r2adj,rmse
ar1_lmod,light,-3523.171496927605,17.657350824353397,-2935.148793727355,31.733147552184146,0.5199826895169242,2.296087544438939
ar1_lmod,light + epil_afdm,-4093.3579900894756,11.785642136111026,-3480.957489066728,24.06212510209372,0.5330740846450959,2.2634504340449038
ar1_lmod,light + fila_afdm,-3226.725027619485,26.34502501323679,-2735.2409999513056,40.02542592971303,0.5156980836802857,2.305181326797845
ar1_lmod,light + epil_afdm + fila_afdm,-3413.455418452673,17.350719629967887,-2838.0809837200836,31.11817410297779,0.5309955733830083,2.267369326108065
ar1_lmod,light + epil_chla,-4254.725850360007,12.94282821794378,-3714.3087823067644,27.2121295252418,0.5196553673084939,2.295744065372722
ar1_lmod,light + fila_chla,-3745.419684211829,12.520621301662707,-3165.181220925019,22.960860676298942,0.5764959716715592,2.1556377079747304
ar1_lmod,light + epil_chla + fila_chla,-3716.517363123587,15.468429617043993,-3148.9305961105365,28.853244473435822,0.5874222096110596,2.1266044531514345
ar1_lmod,light + epil_afdm + light_epil_afdm,-4164.0561030466015,12.939480670763237,-3650.466589169677,25.450956011168024,0.5331253518342686,2.2622153353014567
ar1_lmod,light + fila_afdm + light_fila_afdm,-4771.060266011164,6.78081989931517,-4153.4391435484,15.954668654137503,0.5281247851491198,2.2742980527188448
ar1_lmod,light + epil_afdm + fila_afdm + light_epil_afdm + light_fila_afdm,-4029.9457303743106,11.545424006608604,-3413.7303921763732,23.832677877460156,0.5391666867935982,2.2453223236988706
ar1_lmod,light + epil_chla + light_epil_chla,-3637.3872773913295,19.048852830706753,-3097.3327475806786,34.575595608657046,0.5157541794175173,2.3039165087431
ar1_lmod,light + fila_chla + light_fila_chla,-3686.0562983255663,13.177027031587423,-3085.698329379524,24.73128105707885,0.5831992194201366,2.137460304139213
ar1_lmod,light + epil_chla + fila_chla + light_epil_chla + light_fila_chla,-4183.516871174969,9.51171426676037,-3588.6802712784556,20.752285535483587,0.5948933455849599,2.1051907334164897
