mean,se_mean,sd,X_2.5,X_50,X_97.5,parameter,biomass_vars,model,r2_adj,rmse
1.1697073013179105,0.008620340454610215,0.18357547501041024,0.8176480045148912,1.1696645183564864,1.5363724270759924,alpha_epil_afdm,epil_afdm,PI_curve,-25199728841.22322,526087.4320540597
79.2223842630182,0.5821035307001976,47.561712965696636,16.78689817705362,69.0034990982392,191.42949402797066,Pmax_epil_afdm,epil_afdm,PI_curve,-25199728841.22322,526087.4320540597
0.8771827376151078,0.0010732577150978145,0.018714235242556658,0.8378118944377375,0.8777408029309253,0.9118528522358725,phi,epil_afdm,PI_curve,-25199728841.22322,526087.4320540597
3.516064163816435,0.05626935780462038,2.0197892857107864,-0.41381186247859636,3.477201794694826,7.638034765309054,intercept,epil_afdm,PI_curve,-25199728841.22322,526087.4320540597
7.683825856907495,0.07956059632141103,1.6375607565067696,4.616009958852145,7.652124684550539,10.93263795899093,beta_1,epil_afdm,PI_curve,-25199728841.22322,526087.4320540597
4.999724368389144,0.05253575156129662,1.351890242477877,2.4482565110286516,4.967371917019735,7.77380390034317,beta_2,epil_afdm,PI_curve,-25199728841.22322,526087.4320540597
2.4551849565210264,0.0416438988007921,1.2951370606624033,-0.11785105928197649,2.420573667831079,5.052907201834938,beta_3,epil_afdm,PI_curve,-25199728841.22322,526087.4320540597
3.5130548694415915,0.044823635651510305,1.267362929268737,1.0269083773492802,3.4795889378365237,6.012482327042597,beta_4,epil_afdm,PI_curve,-25199728841.22322,526087.4320540597
0.9538814239871439,0.03650690473421196,1.4154497085800217,-1.8160345158367979,0.931045995888033,3.6864843655637554,beta_5,epil_afdm,PI_curve,-25199728841.22322,526087.4320540597
1.097621461133825,0.03425747174696382,1.3003033119361085,-1.4173731367854194,1.0991012162804645,3.6887604537663217,beta_6,epil_afdm,PI_curve,-25199728841.22322,526087.4320540597
3.5041676770001673,0.04130190987703404,1.6453408930192313,1.4873619763027854,3.130004443369103,7.568260522054352,tau_b,epil_afdm,PI_curve,-25199728841.22322,526087.4320540597
9.66647804556964,0.03663434676302271,0.5340128234228217,8.619165714217313,9.663954523961625,10.724327345861887,sigma,epil_afdm,PI_curve,-25199728841.22322,526087.4320540597
0.8063400660732729,0.006499861721557124,0.12715997475256638,0.5693197759780056,0.8031109073258956,1.0716932026527224,alpha_fila_afdm,fila_afdm,PI_curve,-22275804608.75877,494625.71716538776
61.016536647430435,0.503971038900894,41.807055058328935,8.146137396799324,52.06943105423697,160.01438098018932,Pmax_fila_afdm,fila_afdm,PI_curve,-22275804608.75877,494625.71716538776
0.8582613352471463,0.0013574600202061686,0.02126649608602512,0.8160629760055429,0.8587016047156241,0.8990936691834831,phi,fila_afdm,PI_curve,-22275804608.75877,494625.71716538776
5.623380013373206,0.06655925628950432,1.711884787928495,2.4439148329377116,5.584670397936946,9.147493662003283,intercept,fila_afdm,PI_curve,-22275804608.75877,494625.71716538776
9.600974066097288,0.09950604009079328,1.7006013908486561,6.346936569984143,9.606459507464644,12.96204304299078,beta_1,fila_afdm,PI_curve,-22275804608.75877,494625.71716538776
5.420940083514211,0.05988173039017999,1.2445633732732793,2.9861678864424244,5.403790090488726,7.922427195474965,beta_2,fila_afdm,PI_curve,-22275804608.75877,494625.71716538776
5.893151704708762,0.06476192844699948,1.2596419808809822,3.5247636376371263,5.896752427879819,8.405178085165975,beta_3,fila_afdm,PI_curve,-22275804608.75877,494625.71716538776
3.345959760696128,0.04110323321150255,1.1112949733632809,1.229406018431289,3.33327909204061,5.6083465999778594,beta_4,fila_afdm,PI_curve,-22275804608.75877,494625.71716538776
5.530317318017668,0.06629285725683648,1.2606969098743088,3.129084701850966,5.523024240780282,8.027693275508119,beta_5,fila_afdm,PI_curve,-22275804608.75877,494625.71716538776
3.830606120409726,0.04850129821813332,1.1399884702183378,1.6565897044007336,3.809608860825198,6.11184692119303,beta_6,fila_afdm,PI_curve,-22275804608.75877,494625.71716538776
3.001817924109508,0.03262287982935438,1.391803294130954,1.262758164313339,2.6644441242200037,6.729369900264401,tau_b,fila_afdm,PI_curve,-22275804608.75877,494625.71716538776
8.223959090807032,0.0395120977513493,0.5018331909317629,7.307460101711408,8.214479382716522,9.282817807105335,sigma,fila_afdm,PI_curve,-22275804608.75877,494625.71716538776
1.68767909559994,0.01747917776882825,0.3753399487386969,0.9714998017129668,1.685507288656608,2.4488277219347996,alpha_epil_chla,epil_chla,PI_curve,-1417411423.0525904,124769.36288045048
122.33097320061981,0.9059127125516045,76.37894837719071,22.468280991859963,106.68899648098784,305.5245645359785,Pmax_epil_chla,epil_chla,PI_curve,-1417411423.0525904,124769.36288045048
0.9225839939666467,7.218482076871733e-4,0.015347332182536104,0.8913880673934051,0.9232404956379999,0.9518357990378954,phi,epil_chla,PI_curve,-1417411423.0525904,124769.36288045048
1.974063740448306,0.06749582747309946,2.6934788835076877,-3.4923152130359023,1.9509910416887684,7.427301590511105,intercept,epil_chla,PI_curve,-1417411423.0525904,124769.36288045048
6.455883219006709,0.07922242608474117,2.30661361688533,2.021663429211154,6.400765553904106,11.124171856202334,beta_1,epil_chla,PI_curve,-1417411423.0525904,124769.36288045048
4.555261284899517,0.05662565774111247,1.9623956469705481,0.7426665681292878,4.519479855903016,8.453219666811078,beta_2,epil_chla,PI_curve,-1417411423.0525904,124769.36288045048
-0.8243630486173955,0.06449791752722295,2.4033815494593034,-5.551201058024008,-0.8280781074165138,3.9490564705399684,beta_3,epil_chla,PI_curve,-1417411423.0525904,124769.36288045048
