model,covariates,waic,waic_se,loo,loo_se,r2adj,rmse
lmod,light,13.503107968926336,77.24055632878195,13.54512696850257,77.25404849158372,0.5336205212125378,2.265453077516888
lmod,light + epil_afdm,-60.90567569482271,67.86496590929492,-60.93981690307305,67.83799522409457,0.5379048883844527,2.253919834272381
lmod,light + fila_afdm,14.10264784446529,76.93975916191378,14.112981687547464,76.93390520819615,0.5326096678511236,2.2667970596851585
lmod,light + epil_afdm + fila_afdm,-74.03155383272481,66.20590943343335,-74.02878551172374,66.19657304629827,0.5365602804980828,2.2560910327780204
lmod,light + epil_chla,-12.818267845632946,71.58120371279612,-12.866732628677841,71.54840024197266,0.5313064990720635,2.269954980093689
lmod,light + fila_chla,-156.43094934691814,61.15241751140519,-156.38315855367858,61.1542860597933,0.6022280419046253,2.091172503515366
lmod,light + epil_chla + fila_chla,-197.59661362063696,57.583497728569554,-197.57556869629394,57.58000978118295,0.6050850591354373,2.082628347322022
lmod,light + epil_afdm + light_epil_afdm,-58.83906821820318,67.4043528275428,-58.81188365708883,67.40623150003242,0.536603414699949,2.255986038593864
lmod,light + fila_afdm + light_fila_afdm,-1.0831652842939343,76.0008189194384,-1.072733166931819,75.9855698491289,0.5356853453998575,2.2582196833553145
lmod,light + epil_afdm + fila_afdm + light_epil_afdm + light_fila_afdm,-79.902356037185,65.99566955769967,-79.78147339076838,66.03370652000663,0.5392546700462395,2.247316638202422
lmod,light + epil_chla + light_epil_chla,-15.693855247067278,72.8043868289419,-15.537392128304656,72.87200366224896,0.5306010739502585,2.270549837234221
lmod,light + fila_chla + light_fila_chla,-160.18866562467124,63.16639891572551,-160.14120457777804,63.16737611064705,0.6096683279195247,2.0705078863976585
lmod,light + epil_chla + fila_chla + light_epil_chla + light_fila_chla,-207.198323705338,59.78865802446798,-207.03587570499718,59.823462103743125,0.6163083372518646,2.0508078795478104
lmod,light_epil_afdm,826.2886201726907,84.2465231882092,826.311144383807,84.2464520809145,0.12156343924593382,3.1091419930349544
lmod,light_fila_afdm,783.7595108128979,78.6088273447556,783.7818280186443,78.61072298330372,0.12710570687669154,3.0993183110466656
lmod,light_epil_chla,788.7489127707181,86.20729429781181,788.7695127227795,86.20559901104208,0.13463780359198607,3.085917523108868
lmod,light_fila_chla,712.0920221629542,62.55742142164335,712.1321810493286,62.56081142615261,0.12274509409108603,3.1070501122885457
lmod,light_epil_afdm + light_fila_afdm,784.3662654593243,82.91723934328601,784.368771055336,82.90528362334308,0.13860192197736598,3.0773346535223483
lmod,light_epil_chla + light_fila_chla,692.4434069133083,62.83464252397542,692.4516257340041,62.82863813422701,0.1345941678555591,3.0844851736017804
