biomass_vars,units,parameter,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat,rmse,r2_adj
fila,chla_mgm2,phi,0.6874273363627518,6.495717179142318e-4,0.0165766015171287,0.6555223670570925,0.6767319769952158,0.6871560670172849,0.6982459157618354,0.7202729066040591,651.2335705995769,1.0079081172529636,0.2574552483187244,0.6198389586477171
fila,chla_mgm2,intercept,2.138591298760622,0.005225135084464994,0.16781870603323915,1.821873559603377,2.030983985541528,2.1372121299353832,2.2429640325693447,2.471989577300928,1031.5390919283354,1.0039036915656456,0.2574552483187244,0.6198389586477171
fila,chla_mgm2,gamma_light,0.37400790666982614,5.258352949902067e-4,0.020704674682162253,0.33317183559440017,0.36003913953550704,0.37399320277773807,0.3881237173163628,0.4141727155726759,1550.3771377764938,1.0021769542753332,0.2574552483187244,0.6198389586477171
fila,chla_mgm2,gamma_fila,0.03437087786481223,2.9777646349910897e-4,0.019563855256826707,-0.0033025740070758416,0.020468172974203343,0.03439684562993583,0.04801610765706043,0.07196365221289268,4316.464232012944,1.0004154899256574,0.2574552483187244,0.6198389586477171
fila,chla_mgm2,beta1,2.462713988666542,0.005226819651908225,0.13701199149486465,2.1883624159469672,2.370598990623882,2.4634044165886797,2.550074429560355,2.729754125113365,687.1350899626514,1.0073669495732738,0.2574552483187244,0.6198389586477171
fila,chla_mgm2,beta2,1.9603154837895318,0.0042333034700681995,0.11122728257553767,1.7416205361192876,1.8879510686547039,1.9610436295460483,2.034794127614085,2.1730610965035693,690.3412885119316,1.0076276004439928,0.2574552483187244,0.6198389586477171
fila,chla_mgm2,beta3,2.201393031953478,0.004693073739927352,0.12225263481847355,1.9594727486836967,2.1231106735284873,2.2022644709881978,2.2809964067225277,2.4465948064684757,678.5810065476301,1.0071245159185391,0.2574552483187244,0.6198389586477171
fila,chla_mgm2,beta4,2.080519893017894,0.0043295016864671396,0.11644588602345597,1.8544587563952817,2.0021432838637105,2.0823039323531543,2.157282106904986,2.307781442171809,723.3899538473598,1.0070125453931558,0.2574552483187244,0.6198389586477171
fila,chla_mgm2,beta5,2.124016682358851,0.004545850832289729,0.11964480227450071,1.8903186682411346,2.045931809246137,2.1237213168379108,2.202636740318961,2.360128521614469,692.7193375181139,1.0072402541895704,0.2574552483187244,0.6198389586477171
fila,chla_mgm2,beta6,2.00979225524556,0.004258429313286685,0.1127020705780753,1.7815766847298353,1.936085080227325,2.0088787194613213,2.0855418064273348,2.2292998976206997,700.4302672577537,1.006791459208814,0.2574552483187244,0.6198389586477171
fila,chla_mgm2,tau,0.261324503491852,0.0036723178151576445,0.14156050455232105,0.11632229623260594,0.17561977598034886,0.2238416650733577,0.3059112450530159,0.6031735152782853,1485.9482497020779,1.0037877465559606,0.2574552483187244,0.6198389586477171
fila,chla_mgm2,sigma,0.5340304523408559,1.800584965820886e-4,0.011363255326759313,0.5127146931390926,0.5260797948931061,0.5337995689245559,0.5419744235817701,0.5564873777806975,3982.7063918765493,0.9996756394948558,0.2574552483187244,0.6198389586477171
epil,chla_mgm2,phi,0.6799604268928097,5.844295536837769e-4,0.016124271845043323,0.6490206965009322,0.6687334286205461,0.6798541819449536,0.6910255253082054,0.7116633673811438,761.1949250260529,1.0099132869258043,0.2514884504564924,0.6372560318360484
epil,chla_mgm2,intercept,2.1408405110596287,0.0050212337926486186,0.15904953255542445,1.8278105801323685,2.039329358880253,2.1371052989825423,2.2424958115251474,2.4587418088339508,1003.3302545913183,1.0077524464726777,0.2514884504564924,0.6372560318360484
epil,chla_mgm2,gamma_light,0.42606212086496054,5.620338261702921e-4,0.021764818215739317,0.3835994726978942,0.41173937859839393,0.42616408090990304,0.440083900788466,0.468919045233597,1499.6336585583292,1.0033195434509565,0.2514884504564924,0.6372560318360484
epil,chla_mgm2,gamma_epil,0.12010065511793484,2.8594005157268394e-4,0.021011787046719712,0.07884413878163737,0.10608436136301262,0.12025738972217377,0.13441683508595823,0.16169541606882334,5399.779165492991,1.000035100043223,0.2514884504564924,0.6372560318360484
epil,chla_mgm2,beta1,2.5034024099489516,0.004708234762080051,0.13122130634214693,2.2402665305181384,2.412453071693329,2.503581244627914,2.593269802729774,2.754265537048452,776.7700907918642,1.010273844725093,0.2514884504564924,0.6372560318360484
epil,chla_mgm2,beta2,2.0638440956193573,0.003790200575954663,0.10832565545846803,1.850985283472431,1.9914938417199821,2.063626441490381,2.137398155879912,2.2723746999283887,816.8423847279564,1.0100919079392343,0.2514884504564924,0.6372560318360484
epil,chla_mgm2,beta3,2.1370115232947704,0.0040452457432422805,0.1157309049423492,1.9091587436852087,2.0570030640376893,2.137445097913381,2.2163245274685437,2.356808004894228,818.4815214899882,1.008604444363619,0.2514884504564924,0.6372560318360484
epil,chla_mgm2,beta4,2.0863823242078925,0.003945497935442868,0.11210077784773319,1.864242348400702,2.0091496657762673,2.08643788846156,2.1635308434180422,2.302846606475809,807.2603302804376,1.009488069747569,0.2514884504564924,0.6372560318360484
epil,chla_mgm2,beta5,2.064772683888956,0.003918626428789029,0.11401186020773024,1.8415722804250487,1.9873113440995078,2.062053598321921,2.147902026544788,2.280265704736425,846.5104755494109,1.0087281481943569,0.2514884504564924,0.6372560318360484
epil,chla_mgm2,beta6,1.9739489929970968,0.0037908456714965334,0.10779020927719307,1.7629735716822603,1.9011342170001093,1.9741983186703966,2.0496005996420616,2.179691725204094,808.5119097536351,1.0091824060482428,0.2514884504564924,0.6372560318360484
