date,doy,year,site,epil_gm2_fit,epil_gm2_se,fila_gm2_fit,fila_gm2_se,epil_chla_mgm2_fit,epil_chla_mgm2_se,fila_chla_mgm2_fit,fila_chla_mgm2_se
2020-07-13,195,2020,BM,6.314455727321676,2.767197719205191,29.74152838797285,12.734483475085838,6.5192404286136565,6.05418767086118,104.74173154548193,19.077951092864723
2020-07-14,196,2020,BM,6.54491149186857,2.6361483123311786,29.44917708451595,12.452194009279498,7.3103569015256245,5.561401467776482,102.14612459648419,18.514297036712783
2020-07-15,197,2020,BM,6.7717242673011215,2.5139392588685148,29.157363905089404,12.179868327344204,8.116731765188915,5.102983105566452,99.55283634142377,18.03889999176418
2020-07-16,198,2020,BM,6.994918907216645,2.4012374117745368,28.866145345297753,11.917770974402007,8.93886546500938,4.684674584928015,96.96247848084873,17.650829452781554
2020-07-17,199,2020,BM,7.214520265212443,2.2985107130063303,28.57557790074556,11.666083097394885,9.777258446392967,4.312167922835204,94.37566271530663,17.34616744670757
2020-07-18,200,2020,BM,7.430553194885868,2.2059866267075434,28.285718067037337,11.424902873465385,10.632411154745485,3.9906306391238995,91.79300074534572,17.118178937711956
2020-07-19,201,2020,BM,7.643042549834203,2.1236391020761194,27.99662233977768,11.194255643125032,11.504824035472907,3.7241039609910307,89.21510427151371,16.957919565158235
2020-07-20,202,2020,BM,7.852074937130986,2.051234909617018,27.70836198408584,10.974128837592534,12.394966060744473,3.514939167092189,86.64295477166918,16.855661005530425
2020-07-21,203,2020,BM,8.058040116336173,1.9884982606168897,27.421081620485953,10.764560812307474,13.303136960755628,3.3637078448784226,84.07937151818201,16.803833157598365
2020-07-22,204,2020,BM,8.261661739450833,1.9352509069942294,27.13501095740334,10.565685380817817,14.229373665174661,3.269420195757588,81.52931077453927,16.798346695097226
2020-07-23,205,2020,BM,8.4639099356132,1.8914439843024071,26.85044681662147,10.377720879068557,15.173438029913108,3.229593536736887,78.99941738041653,16.83812227178838
2020-07-24,206,2020,BM,8.665802418600366,1.8570299797478294,26.56769922892691,10.200892838373015,16.135033979700182,3.2399155369544057,76.49666864821909,16.92274386091925
2020-07-25,207,2020,BM,8.868356902189419,1.831859134790202,26.28707822510629,10.035389305742768,17.11386543926514,3.2942628345940927,74.02804189035237,17.051322575026663
2020-07-26,208,2020,BM,9.072591100157462,1.8156118635889131,26.00889383594617,9.881334083521303,18.109636333337203,3.385196230879319,71.600514419222,17.222029374346842
2020-07-27,209,2020,BM,9.279522726281588,1.8077590706928564,25.733456092233148,9.7387666744732,19.122050586645603,3.5046688882430836,69.22106354723316,17.43191586281468
2020-07-28,210,2020,BM,9.490128112854741,1.8075785007069183,25.46107322354147,9.607637948713766,20.15064794749698,3.644812785888135,66.89662154798202,17.677289503342674
2020-07-29,211,2020,BM,9.705218066233204,1.814243217852685,25.192046254595972,9.487828410631629,21.1943114585077,3.798720204162753,64.63394053982704,17.95478486405496
2020-07-30,212,2020,BM,9.92556201128911,1.8267790027220756,24.926674408909115,9.379120335215944,22.251759985871512,3.9602538333401593,62.43972760231735,18.260629397243235
2020-07-31,213,2020,BM,10.151929372894594,1.8440803958889118,24.66525690999338,9.281189078183974,23.321712395782196,4.123976261005136,60.32068981500199,18.590487122641694
2020-08-01,214,2020,BM,10.385089575921771,1.8649715113422558,24.40809298136127,9.1936124692198309,24.402887554433562,4.285192075164849,58.283534257430105,18.939737528556243
2020-08-02,215,2020,BM,10.625812045242782,1.8882835074819373,24.155481846525227,9.11589158889254,25.49400432801935,4.440021254960231,56.33496800915084,19.303891304952643
2020-08-03,216,2020,BM,10.874755284677876,1.9129834906268908,23.907704735044476,9.04749403406635,26.593600790490036,4.58570412751006,54.481259986545986,19.67929604071927
2020-08-04,217,2020,BM,11.13202139575857,1.9384161358112812,23.66495150291835,8.987936901631132,27.699327315857232,4.721397761656935,52.72645678215211,20.064204311673283
2020-08-05,218,2020,BM,11.39703997364395,1.964362441984257,23.427296193315467,8.93682107520436,28.807853570684877,4.848136605006694,51.07180153251543,20.458577979359564
2020-08-06,219,2020,BM,11.668685043430141,1.9909299687196462,23.19471254009609,8.89380897317066,29.915117525204437,4.968158611927192,49.51612127053032,20.863091400420206
2020-08-07,220,2020,BM,11.945719917217835,2.0182875519356704,22.967154049230018,8.858545652225633,31.01691535830565,5.083710575667261,48.05775642097237,21.27771403935844
2020-08-08,221,2020,BM,12.226907907107742,2.0465493754736026,22.744574226687092,8.830618274228515,32.10904324887833,5.196592674825515,46.69504740861696,21.701144181620545
2020-08-09,222,2020,BM,12.511012325200534,2.075728225659372,22.526926578437127,8.809537889562863,33.187297375812165,5.308005795551,45.42633465823973,22.130709998478974
2020-08-10,223,2020,BM,12.796796483596934,2.1057139297724365,22.314164610449986,8.794732488880644,34.24747391799694,5.418497767372602,44.249958594616075,22.562527217353566
2020-08-11,224,2020,BM,13.082984659193633,2.1363075298607406,22.10622688203948,8.78556897790812,35.28544900418666,5.528125427401868,43.16391937849472,22.992217897538588
2020-08-12,225,2020,BM,13.368144988071426,2.167329735304379,21.902992165895483,8.78141936537873,36.29741856259241,5.636889480463946,42.16485611451657,23.416386016824156
2020-08-13,226,2020,BM,13.650806571107086,2.198523882205625,21.70432428805194,8.781618639653669,37.279658471289565,5.744358953455193,41.249067643295874,23.831717693464302
2020-08-14,227,2020,BM,13.929498509177403,2.2295380251088766,21.510087074542717,8.785455341753064,38.228444608353406,5.8496255629769545,40.412852805446654,24.23463422868208
