model,smooth_par,k.,edf,k.index,p.value
biofilm AFDM,s(doy),9,3.928155753484551,0.9075113534227749,0.0475
biofilm AFDM,"s(doy, site_year)",120,30.708041779552385,0.9075113534227749,0.07
filamentous AFDM,s(doy),9,1.0002547182482584,0.9754018046688421,0.6125
filamentous AFDM,"s(doy, site_year)",110,20.82755093781237,0.9754018046688421,0.56
biofilm chla,s(doy),9,2.937511932733898,0.959674193961917,0.2925
biofilm chla,"s(doy, site_year)",120,38.66137496919357,0.959674193961917,0.34
filamentous chla,s(doy),9,1.0001279375344816,0.9387754199605435,0.26
filamentous chla,"s(doy, site_year)",110,23.030610312989584,0.9387754199605435,0.28
