model,smooth_par,k.,edf,k.index,p.value
biofilm AFDM,s(doy),9,3.9547272779950755,0.9448833735330366,0.115
biofilm AFDM,"s(doy, site_year)",120,27.88364448398812,0.9448833735330366,0.075
filamentous AFDM,s(doy),9,1.0045386272222414,0.9849915517384937,0.265
filamentous AFDM,"s(doy, site_year)",120,30.731615201803436,0.9849915517384937,0.3
biofilm chla,s(doy),9,1.005070223515567,0.9330566341039179,0.07
biofilm chla,"s(doy, site_year)",120,31.175672185383267,0.9330566341039179,0.0925
filamentous chla,s(doy),9,5.718754266467497,0.8890056868894666,0
filamentous chla,"s(doy, site_year)",120,31.83772895875477,0.8890056868894666,0.0075
