biomass_vars,units,parameter,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat,rmse,r2_adj
fila,chla_mgm2,phi,0.6406307058221303,3.287020953189117e-4,0.01733206574652032,0.6063770152202298,0.6290530540521424,0.6406231760004099,0.652356265401227,0.6740922930047181,2780.325933280891,0.9999192510877343,0.26567232126349727,0.611138309188972
fila,chla_mgm2,intercept,0.19301925725798777,0.00467455416747026,0.2498101125111453,-0.3014227625813649,0.049074723075162856,0.19266174259726157,0.3365982435771088,0.6892282284558462,2855.8779064779865,1.0001578940035845,0.26567232126349727,0.611138309188972
fila,chla_mgm2,gamma_K600,0.482706683400226,5.095497522163157e-4,0.03002384399960713,0.42401042308307635,0.46242056100812073,0.4826009747761577,0.503009231477563,0.5402096271581925,3471.8375840533076,1.000461160955064,0.26567232126349727,0.611138309188972
fila,chla_mgm2,gamma_light,0.3606342567777264,2.49469535358555e-4,0.017820866319394054,0.32650629733483194,0.3484994857592426,0.36061809359997854,0.37277108407749304,0.3950262813403188,5102.9649869197,0.9997133022462447,0.26567232126349727,0.611138309188972
fila,chla_mgm2,gamma_fila,0.055273908448632815,1.9014660807103407e-4,0.015842536514036124,0.024704552128952215,0.04456137513084795,0.0552361753484958,0.06599450883800694,0.08585937722779831,6941.8027355877,0.9998738669621656,0.26567232126349727,0.611138309188972
fila,chla_mgm2,beta1,0.2663254457261313,0.0024523291150060134,0.10470914819021872,0.06525463830614153,0.1954237903648668,0.26706640476824767,0.33749523956522487,0.47061223301892174,1823.10526244783,1.0007198070631793,0.26567232126349727,0.611138309188972
fila,chla_mgm2,beta2,0.496922546373373,0.0017524992477903703,0.07589475223853864,0.3454769989199748,0.4471701204782725,0.49560179661972553,0.5473046080305085,0.6477526311029558,1875.4600375623659,1.000875004778911,0.26567232126349727,0.611138309188972
fila,chla_mgm2,beta3,-0.5508767598538274,0.002689716484936349,0.12150185386680046,-0.7845439162416143,-0.6323614605134644,-0.5511766102233167,-0.46906943022294456,-0.31841402713300926,2040.576117291201,1.0013604199979556,0.26567232126349727,0.611138309188972
fila,chla_mgm2,beta4,0.28154237984311914,0.002098949539158051,0.09098643671807813,0.10602082368679132,0.2198852443110181,0.2796410744571473,0.34342126773517695,0.45475061751623647,1879.0975170613099,1.001564886811389,0.26567232126349727,0.611138309188972
fila,chla_mgm2,beta5,0.4336960160529016,0.0020656253911457254,0.08849778835692726,0.26400952003486616,0.37338361832353345,0.43481373438645565,0.49320866464150065,0.607532236109794,1835.5309339369144,1.0013186136470602,0.26567232126349727,0.611138309188972
fila,chla_mgm2,beta6,0.20913949942173,0.0020583279925226812,0.08627676963041922,0.03957765274654314,0.15053999520023656,0.20921416602580498,0.2687112294207134,0.37504025095212146,1756.9467182795854,1.0021702918076867,0.26567232126349727,0.611138309188972
fila,chla_mgm2,tau,0.5266637264353623,0.005664587708340717,0.26910606585612545,0.24478397095078297,0.3595364041014439,0.461973310394951,0.6081921520596769,1.1969758670936492,2256.8898487516954,0.9994729251641952,0.26567232126349727,0.611138309188972
fila,chla_mgm2,sigma,0.42969337396807766,1.7390767247979833e-4,0.011024712920138666,0.40892079970048845,0.42207111136296505,0.42919996828752865,0.4369518066572005,0.4513608020110401,4018.806476200429,0.9993860859249633,0.26567232126349727,0.611138309188972
epil,chla_mgm2,phi,0.6439615869127396,3.1481399870008346e-4,0.01708025564061048,0.6106445941908494,0.6326494335201129,0.6441237258936057,0.6550110207432907,0.6778642210975654,2943.6126566059393,0.999914829191865,0.2626025694414405,0.6200727170454099
epil,chla_mgm2,intercept,-0.051801879712466185,0.006453714033056695,0.2708516727672522,-0.5978635807699564,-0.2044261039525262,-0.04919946466969485,0.09572756514829041,0.4754383390473559,1761.34166595004,1.0001464593739513,0.2626025694414405,0.6200727170454099
epil,chla_mgm2,gamma_K600,0.46008638828213666,5.053542754657993e-4,0.030539307813319903,0.40057344703484843,0.43965311493233533,0.46000090990982767,0.48087772524427835,0.5199091491028007,3651.964019558895,0.9998428044294964,0.2626025694414405,0.6200727170454099
epil,chla_mgm2,gamma_light,0.4169433541942106,3.04251885782383e-4,0.0197803581791687,0.37836692082816853,0.4037191649320131,0.4166740264706952,0.43010755488655666,0.4565410353818014,4226.703130416438,0.9994946175304832,0.2626025694414405,0.6200727170454099
epil,chla_mgm2,gamma_epil,0.09532488784375137,3.475626971653382e-4,0.018048189664949983,0.06032401526360998,0.08329159454821988,0.09499860736867767,0.10743227195256536,0.13131416717061833,2696.503416704685,1.000155707006763,0.2626025694414405,0.6200727170454099
epil,chla_mgm2,beta1,0.05651552002229616,0.003626917688023274,0.1197015526223789,-0.1736612807765864,-0.027095037333245368,0.05599480650555407,0.1345681443774727,0.29819056692960566,1089.2414714590725,1.0011026518819879,0.2626025694414405,0.6200727170454099
epil,chla_mgm2,beta2,0.2962897287574871,0.0026000008215907137,0.09019077426585081,0.12128164704006485,0.23505192848936823,0.2945656379134923,0.3576600510113579,0.47087001641633514,1203.309263581171,1.0014378340398415,0.2626025694414405,0.6200727170454099
epil,chla_mgm2,beta3,-0.8027007588437053,0.0041589353318595545,0.1411668954057593,-1.0770217695218234,-0.8969211519657935,-0.8041274383903343,-0.7082733429732775,-0.5204110877659036,1152.1297535334215,1.0015363853480728,0.2626025694414405,0.6200727170454099
epil,chla_mgm2,beta4,0.061075022762129956,0.0033488212243771073,0.10966135585515976,-0.15145765600594358,-0.01358608932075768,0.06053370719793046,0.1336705923010345,0.2782761057191899,1072.317257443793,1.0026418396206926,0.2626025694414405,0.6200727170454099
epil,chla_mgm2,beta5,0.13767615264155178,0.0035495176538290047,0.11438587630777544,-0.08801389619379729,0.06188332987445303,0.13765159319336165,0.2145527966047243,0.3596570301842769,1038.49910423765,1.0019559040846204,0.2626025694414405,0.6200727170454099
epil,chla_mgm2,beta6,-0.07740934197133502,0.0033624897889184655,0.11054661501416055,-0.2901477021181412,-0.15131149855996565,-0.0771689712794173,-0.0022878360234623537,0.14671066485925968,1080.8587665097032,1.0022990131435263,0.2626025694414405,0.6200727170454099
epil,chla_mgm2,tau,0.5462409019098813,0.006994868914231088,0.3098364317667126,0.24930510657997923,0.3708352714160408,0.47693919766751186,0.6253451076715677,1.2668745357043871,1962.0307278519363,1.0019483993500498,0.2626025694414405,0.6200727170454099
epil,chla_mgm2,sigma,0.4298507372942916,1.6680332559637504e-4,0.011254894011454884,0.408536443691168,0.4220315830254107,0.4297194305119432,0.43738907509977065,0.452145499785974,4552.745870073203,1.0001542303488364,0.2626025694414405,0.6200727170454099
fila_epil,chla_mgm2,phi,0.6336360839031918,3.0145882807515147e-4,0.017190710791405144,0.5997867596037736,0.6219279925655451,0.6336532081995141,0.6453315459504241,0.6678136229031661,3251.8586154289223,0.9997234714089421,0.25839462129173374,0.6318488274912987
fila_epil,chla_mgm2,intercept,-0.10433752592063744,0.0053676722800735715,0.26800911975486297,-0.6595683418533602,-0.2547516483087371,-0.09675212157035733,0.051585905480403774,0.42780193207703854,2493.028021264996,1.0001707658029513,0.25839462129173374,0.6318488274912987
fila_epil,chla_mgm2,gamma_K600,0.46057864491789613,4.4663715435893167e-4,0.029430202113992773,0.4043460866204413,0.440056731815539,0.4607665667670037,0.4799609697144971,0.5193951451207831,4341.869775294443,0.9996945406129454,0.25839462129173374,0.6318488274912987
fila_epil,chla_mgm2,gamma_light,0.3967081553121046,2.9605434978930627e-4,0.01909598041952015,0.35974976507792034,0.38374381213396525,0.3966446772855983,0.4097496881408471,0.4342401342913593,4160.456912878907,0.9993753854138588,0.25839462129173374,0.6318488274912987
fila_epil,chla_mgm2,gamma_fila,0.0464465862245474,1.704658288805202e-4,0.015464018965074246,0.01600781088748712,0.036124403915925536,0.046243256388942985,0.056819804633257136,0.07782535712038333,8229.436115176357,0.9991213139796261,0.25839462129173374,0.6318488274912987
fila_epil,chla_mgm2,gamma_epil,0.0888333783094597,3.055472032347461e-4,0.017108803775070798,0.05431380624357528,0.07704013669780387,0.08894134744626592,0.10085803951456049,0.12153124823892243,3135.325718571425,0.9993764029195616,0.25839462129173374,0.6318488274912987
fila_epil,chla_mgm2,beta1,0.030004690132280572,0.0027648390907439755,0.11253084056777372,-0.1937492466055512,-0.04200737739124999,0.03288071012037316,0.10457570091693678,0.24864968523837053,1656.5456316842137,1.0006654861563755,0.25839462129173374,0.6318488274912987
fila_epil,chla_mgm2,beta2,0.2684374184671752,0.002106612318652112,0.0855063545307233,0.10298355591215141,0.21199436345611108,0.26891160086330873,0.3253775598783408,0.43328306848834847,1647.5080429159427,1.0004656563512528,0.25839462129173374,0.6318488274912987
fila_epil,chla_mgm2,beta3,-0.8490891097638537,0.0032954027348436076,0.13570506212831843,-1.1206642767058843,-0.937583273569321,-0.8466920270075362,-0.7573425489023587,-0.5835904323195128,1695.8018348278626,1.0010197861779224,0.25839462129173374,0.6318488274912987
fila_epil,chla_mgm2,beta4,-0.013215681088397319,0.0026605512369268836,0.10644847172162177,-0.22302032492391416,-0.08350108302844682,-0.012605847581076324,0.0580907451632984,0.19560311210553644,1600.794587954843,1.0011794151420195,0.25839462129173374,0.6318488274912987
fila_epil,chla_mgm2,beta5,0.08549032146005295,0.002757358646866743,0.10933993949578158,-0.1354479098283066,0.013989843326877456,0.08704707267543832,0.1576857324393772,0.29826619871474713,1572.4293533291584,1.000824412817837,0.25839462129173374,0.6318488274912987
fila_epil,chla_mgm2,beta6,-0.10771222872263503,0.0026486328339116573,0.10458667901263044,-0.31447932306506143,-0.17650435503805664,-0.10834676478886472,-0.03954635133727401,0.09753699411204089,1559.2265770714862,1.0007546993711363,0.25839462129173374,0.6318488274912987
fila_epil,chla_mgm2,tau,0.5435124330909008,0.005182532199130009,0.27016135943297237,0.25533646104418123,0.37271549346589966,0.47340644065934523,0.6284477785078473,1.2361034945582727,2717.455542954015,1.0004653126891627,0.25839462129173374,0.6318488274912987
fila_epil,chla_mgm2,sigma,0.4171441546368485,1.5798438431133654e-4,0.010778243296459813,0.3966169672981627,0.4097571125896243,0.4170535753969061,0.4244142188165135,0.4387812948925339,4654.44219820147,0.9997699678963772,0.25839462129173374,0.6318488274912987
fila,gm2,phi,0.6525938977451918,4.5789192179031805e-4,0.017428244647712206,0.6188156234623982,0.6410150370564613,0.652417716937453,0.6642161430553953,0.68698203353162135,1448.709579838515,1.0015159762652928,0.27128643275418285,0.5945300352470673
fila,gm2,intercept,0.27937010254293815,0.005439767509949332,0.26149534977195205,-0.24221607171151657,0.1319200044336575,0.28151525029149804,0.42860783968655225,0.7731862505361018,2310.826092229081,1.0015723356241808,0.27128643275418285,0.5945300352470673
fila,gm2,gamma_K600,0.48267979898069346,5.984976004840593e-4,0.03212436130438427,0.4181935190903245,0.46144865294216286,0.4838155335855653,0.504347398251061,0.5446320763947715,2881.006091064537,0.9993439974019489,0.27128643275418285,0.5945300352470673
fila,gm2,gamma_light,0.3848390264103961,3.0683294987048207e-4,0.01916112071828589,0.3481311519252866,0.37194528733908727,0.3845475392603595,0.3975829521388575,0.42176988504312335,3899.7594873800854,1.0000708621404317,0.27128643275418285,0.5945300352470673
fila,gm2,gamma_fila,-0.010184453172550073,2.4292253382358843e-4,0.01855474614009264,-0.04654814548787861,-0.02230042338071508,-0.010324106000060534,0.00196510957702825,0.027134564554337274,5834.10752205749,0.9994576747650376,0.27128643275418285,0.5945300352470673
fila,gm2,beta1,0.3226424686663697,0.003379348227123532,0.10901701928347325,0.10967782456932684,0.24928112757679102,0.32270117437817386,0.3957523994179953,0.5389759390417247,1040.693194355319,1.0021786284735104,0.27128643275418285,0.5945300352470673
fila,gm2,beta2,0.5572944847370169,0.0024007938444184796,0.07915337048441963,0.40456949598479064,0.5032349757651613,0.5566661834997871,0.6105651492483535,0.718411326061048,1086.9988569005175,1.0040999900421141,0.27128643275418285,0.5945300352470673
fila,gm2,beta3,-0.457100278876985,0.003766902134325298,0.12627240907703796,-0.7035586780184089,-0.5402039487232047,-0.4589252351643349,-0.37060410003737365,-0.20322149225709507,1123.6945072635858,1.001888642534699,0.27128643275418285,0.5945300352470673
fila,gm2,beta4,0.4175116239721315,0.003169846929438147,0.09804184918858386,0.22180838010728032,0.3513371442758488,0.41930066931007554,0.4827332804306349,0.6116180153366314,956.6353086653289,1.0028051886710354,0.27128643275418285,0.5945300352470673
fila,gm2,beta5,0.538802312575333,0.0029936881535902234,0.0931293644103443,0.35767614999029507,0.4754350582130049,0.5407274876580871,0.5986285502937433,0.7271346541783346,967.7432713907958,1.0031038356860729,0.27128643275418285,0.5945300352470673
fila,gm2,beta6,0.286733565332403,0.002866561481282542,0.09106974387741898,0.11112419121366422,0.22650860063184985,0.2865123708773451,0.34581262544853836,0.4658396906943761,1009.31263195415,1.0026872140965346,0.27128643275418285,0.5945300352470673
fila,gm2,tau,0.5288362694768461,0.006522181242610027,0.28181672786303136,0.2530225468975553,0.3669274363466278,0.4595476083552566,0.6027618275866874,1.207900485680456,1867.0150118308018,1.0005229594759955,0.27128643275418285,0.5945300352470673
fila,gm2,sigma,0.4467811055826879,2.0231745110197515e-4,0.011731158712876702,0.4241167769051543,0.4391126082975143,0.4464973619722268,0.45432031190583905,0.47002850917903066,3362.134871708568,0.9997494592445696,0.27128643275418285,0.5945300352470673
epil,gm2,phi,0.6377992685873123,3.264690988587144e-4,0.017920097603883977,0.6021220562208915,0.625756374582515,0.6377826784615341,0.6499619764856471,0.6730688421701403,3012.9823015380025,1.000171062435083,0.262272263606902,0.6210278735425507
epil,gm2,intercept,0.08571104553947385,0.005730494095921324,0.2553314678946752,-0.44706191519777516,-0.04698740438032042,0.08782927176231532,0.2328094402793526,0.56916938232354,1985.2926976233405,1.0001230897098405,0.262272263606902,0.6210278735425507
epil,gm2,gamma_K600,0.449286200717696,4.4359967486376674e-4,0.02989544001145936,0.39060035369669144,0.42867912614041676,0.44957599239169516,0.46981368006761953,0.5076722353331844,4541.794305750946,1.0004172087298044,0.262272263606902,0.6210278735425507
epil,gm2,gamma_light,0.38704280622948556,2.5933455231474245e-4,0.018242018813561623,0.35140240705075987,0.3745970725833623,0.38725669721891937,0.3988433949252771,0.4233186901599957,4947.946911944676,0.9996881086260346,0.262272263606902,0.6210278735425507
epil,gm2,gamma_epil,0.07513511148740071,2.3365213338349708e-4,0.016926836865077004,0.04137825658386074,0.06387755740748745,0.07547932937395854,0.08652209456158431,0.1084163774485535,5248.2210135592,0.9991646334453627,0.262272263606902,0.6210278735425507
epil,gm2,beta1,0.2074591839343759,0.0025886346271544124,0.10812449345345712,-2.624253276514033e-4,0.13395656000874945,0.2063448856850798,0.27962898560745864,0.4262271227179066,1744.6433492877381,1.0005250432540531,0.262272263606902,0.6210278735425507
