parameter,chains,biomass_vars,units
gamma_fila,0.04181277740370301,fila,chla_mgm2
phi,0.6944895250291773,fila,chla_mgm2
gamma_light,0.3640791906014334,fila,chla_mgm2
gamma_fila,0.054433638617637066,fila,chla_mgm2
phi,0.6640525049222423,fila,chla_mgm2
gamma_light,0.38900793506474485,fila,chla_mgm2
gamma_fila,0.015013661162419185,fila,chla_mgm2
phi,0.7170729766750326,fila,chla_mgm2
gamma_light,0.3753655890404531,fila,chla_mgm2
gamma_fila,0.03994454018660471,fila,chla_mgm2
phi,0.6927642298388577,fila,chla_mgm2
gamma_light,0.41136358103329956,fila,chla_mgm2
gamma_fila,-0.012837365147754793,fila,chla_mgm2
phi,0.6579741431499955,fila,chla_mgm2
gamma_light,0.3506439897865919,fila,chla_mgm2
gamma_fila,0.03596947844978777,fila,chla_mgm2
phi,0.6715065769642438,fila,chla_mgm2
gamma_light,0.34316513954817573,fila,chla_mgm2
gamma_fila,0.043131015923093284,fila,chla_mgm2
phi,0.6884770806312788,fila,chla_mgm2
gamma_light,0.36436588462857783,fila,chla_mgm2
gamma_fila,0.02324046782723642,fila,chla_mgm2
phi,0.6803078297734064,fila,chla_mgm2
gamma_light,0.38434040625472193,fila,chla_mgm2
gamma_fila,0.022449900678999768,fila,chla_mgm2
phi,0.6408620708902365,fila,chla_mgm2
gamma_light,0.35643810932991443,fila,chla_mgm2
gamma_fila,0.03543460146384051,fila,chla_mgm2
phi,0.6818395970174446,fila,chla_mgm2
gamma_light,0.37847837730900846,fila,chla_mgm2
gamma_fila,0.012870435148979578,fila,chla_mgm2
phi,0.6844959383894005,fila,chla_mgm2
gamma_light,0.358128723160856,fila,chla_mgm2
gamma_fila,0.03541490005958651,fila,chla_mgm2
phi,0.688882911859309,fila,chla_mgm2
gamma_light,0.37366932784535395,fila,chla_mgm2
gamma_fila,0.048108220038099704,fila,chla_mgm2
phi,0.6818283202502211,fila,chla_mgm2
gamma_light,0.38658561817938125,fila,chla_mgm2
gamma_fila,-0.003956407714293151,fila,chla_mgm2
phi,0.6791198462660489,fila,chla_mgm2
gamma_light,0.3519280181923421,fila,chla_mgm2
gamma_fila,0.024667220754203287,fila,chla_mgm2
phi,0.6771674235570028,fila,chla_mgm2
gamma_light,0.34011504281096233,fila,chla_mgm2
gamma_fila,0.05172923009264297,fila,chla_mgm2
phi,0.6898068644750762,fila,chla_mgm2
gamma_light,0.3605600328918258,fila,chla_mgm2
gamma_fila,0.03688581685838038,fila,chla_mgm2
phi,0.706363516754526,fila,chla_mgm2
gamma_light,0.3820679059540672,fila,chla_mgm2
gamma_fila,0.023139480335465635,fila,chla_mgm2
phi,0.6526394356463052,fila,chla_mgm2
gamma_light,0.36128006518894107,fila,chla_mgm2
gamma_fila,0.024210237965834745,fila,chla_mgm2
phi,0.7088142020635729,fila,chla_mgm2
gamma_light,0.3759187831808714,fila,chla_mgm2
gamma_fila,0.0066386540404949936,fila,chla_mgm2
phi,0.6837612957958998,fila,chla_mgm2
gamma_light,0.3604917911966634,fila,chla_mgm2
gamma_fila,0.003343207266493951,fila,chla_mgm2
phi,0.6862448289199293,fila,chla_mgm2
gamma_light,0.3556519700243855,fila,chla_mgm2
