date,site,n_samp,average.depth,average.depth_sd,pct_cobble,pct_sand,pct_gravel,pct_pebble,epilithon_gm2,epilithon_gm2_sd,epiphyton_gm2,epiphyton_gm2_sd,filamentous_gm2,filamentous_gm2_sd,epilithon_chla_mgm2,epilithon_chla_mgm2_sd,epiphyton_chla_mgm2,epiphyton_chla_mgm2_sd,filamentous_chla_mgm2,filamentous_chla_mgm2_sd,total.algal.biomass.g.m2,total.algal.biomass.g.m2_sd,fila_macro_gm2,fila_macro_gm2_sd,doy,doy_sd,year
2020-07-13,BN,5,30.352999999999998,5.695564173108753,1,0,0,0,3.5581830973999997,4.800652085604358,1.6518206322000002,2.6112037797113654,167.94293694220002,314.36065832643624,3.6489502624,3.2716200497388783,0,0,30.1191839074,41.90615892456959,173.1,315.1589479135885,167.94293694220002,314.36065832643624,195,0,2020
2020-07-20,BN,5,22.05,6.352656924468691,1,0,0,0,1.2462783566,0.21525620206169674,0.2764781864,0.2684533316485944,169.992484692,180.072422810869,2.4751589384,0.8993782124912209,0.06869367400000001,0.09772300249701643,42.889443198799995,71.18886813321721,171.522,180.300987018929,169.992484692,180.072422810869,202,0,2020
2020-07-20,DL,5,25.125,5.793989342413394,0,0,0,1,9.5318185024,4.785269928814067,0.601196353,0.6920735645807174,15.6206863904,24.785135598722704,14.3407059066,6.95472732459905,0,0,155.57808244,173.39068777752613,25.744,29.177201373675302,15.6206863904,24.785135598722704,202,0,2020
2020-07-20,GR,5,25.4,8.978881472655711,1,0,0,0,22.4024713732,15.288570875707755,1.5111914384,0.9915631191123131,63.7557753122,70.24098073135691,65.76899037,65.78728113280849,0,0,157.2872422,193.9186642105096,87.68,82.76815208762366,63.7557753122,70.24098073135691,202,0,2020
2020-07-21,BM,5,26.25,10.658036873646104,1,0,0,0,5.445896031,6.821323473688245,0.3104970244,0.5267228548275517,15.943945275599999,34.404085836167624,10.8169874994,14.646773027696582,0.617915106,1.381700181339988,63.18570702,135.40506143253745,21.6954,41.4624318244842,15.943945275599999,34.404085836167624,203,0,2020
2020-07-21,CR,5,34.25,5.817538139110048,1,0,0,0,10.885088747000001,3.668679584039468,1.4781973904,1.2274166112212086,46.362995299999994,29.462752673009827,28.0251404402,15.584048070460163,4.3162111746,3.5169177974393406,137.254792038,104.76083583706236,58.734,33.07565237451863,46.362995299999994,29.462752673009827,203,0,2020
2020-07-21,GC,5,29.55,5.715658317289444,1,0,0,0,23.9122366898,14.057571277288135,2.9589836846,2.1670063538687208,88.77298467,65.02199389378455,41.580070566,27.64861009610626,4.9909248262000006,5.677385917564925,146.8252229528,140.92731958970106,115.64,76.29825030759224,88.77298467,65.02199389378455,203,0,2020
2020-07-21,PL,5,24.75,7.275816105427624,0.4,0.2,0,0.4,7.5781730642000005,9.684617542035664,0,0,1.0602146592000001,2.370712048712973,16.7518360168,24.11785661462909,0,0,1.258492691,2.8140752062626375,8.63860001632,11.648151546384737,8.0753094492,15.267098098566398,203,0,2020
2020-07-27,BN,5,28.1625,5.601395194502884,1,0,0,0,6.5811222686,2.4777926219442206,0,0,3.8884973279999997,8.694944355734295,6.3723114374,3.262812944483463,0.2901709334,0.6488419321769642,3.8531201420000003,8.615838562985644,10.475999999999999,9.996800988316211,3.8884973279999997,8.694944355734295,209,0,2020
2020-07-27,DL,5,28.55,8.13969824379258,0,0,0,1,4.8097341082,2.2676408018419387,0.5691634444,0.35155841221161055,8.809624298600001,6.541909086668466,23.987609942,19.047810119385108,0,0,38.30091617,27.995885350788587,14.18,8.447925780923978,8.809624298600001,6.541909086668466,209,0,2020
2020-07-27,GR,5,29.849999999999998,3.2638268374716195,1,0,0,0,16.558262715,11.745276959173452,1.7613263346,1.0677606135418245,84.8238861226,58.11045630288128,35.0399210216,23.385328203492627,0,0,151.5456748276,139.03185261600922,103.08,68.64129223725323,84.8238861226,58.11045630288128,209,0,2020
2020-08-03,BN,5,30.5,4.138236339311712,1,0,0,0,5.4576421392,4.801192121524268,0.0760326348,0.1700141399212161,0.5826503798,1.3028458563488703,16.7904138972,17.16613109840067,0,0,1.8140571745999998,4.056355157476805,6.1259999999999994,6.229637228603283,0.5826503798,1.3028458563488703,216,0,2020
2020-08-03,DL,5,28.875,3.606634511563377,0,0,0,1,2.710275292,0.6522038019573024,0.2200843618,0.3080677005893814,3.1872260536,3.3665681144807174,6.2912159976,2.7188145221667206,0,0,11.8393556368,15.368707141860549,6.118,4.14507177259936,3.1872260536,3.3665681144807174,216,0,2020
2020-08-03,GR,5,29.45,2.7480106440841894,1,0,0,0,13.7113769046,12.423237842839814,1.8277730638,0.9222796672682859,83.539187861,66.1283800142804,33.9081386684,19.44428179341418,0,0,117.16876396320001,88.31815725600407,99.1,76.73682297306816,83.539187861,66.1283800142804,216,0,2020
2020-08-04,BM,5,32.1,14.802449121682534,0.8,0.2,0,0,12.4171269918,5.795056210977078,0.8242736378,1.278932780295292,4.5151488424,5.7214954497538715,28.855486026,12.924167569095552,0.8194101006000001,1.1339760265583394,8.2960720586,11.094523356003556,17.744,11.426665305328584,4.5151488424,5.7214954497538715,217,0,2020
2020-08-04,CR,5,28.3,7.122587310802164,1,0,0,0,2.0839703116,1.3820386230680637,1.3963841502,1.8018008800122043,170.1230690708,294.90621419271736,4.193348237,4.036418466396562,0.9684085984,1.3602935356804835,223.77196587379999,355.45924519699804,173.648,294.371188926498,170.1230690708,294.90621419271736,217,0,2020
