date,doy,year,site,epil_gm2_fit,epil_gm2_se,epip_gm2_fit,epip_gm2_se,epi_gm2_fit,epi_gm2_se,fila_gm2_fit,fila_gm2_se,filaepip_gm2_fit,filaepip_gm2_se,epil_chla_mgm2_fit,epil_chla_mgm2_se,epip_chla_mgm2_fit,epip_chla_mgm2_se,epi_chla_mgm2_fit,epi_chla_mgm2_se,fila_chla_mgm2_fit,fila_chla_mgm2_se,filaepip_chla_mgm2_fit,filaepip_chla_mgm2_se
2020-07-13,195,2020,GR,14.471997867709351,2.9529319084587247,1.9025657123136597,2.5766986870815836,14.22664308297944,3.019607973490036,69.23272019151862,18.644632982681024,71.45389274817622,19.60022459113604,41.29084532030717,6.776054755324351,1.977353329263103,5.968735478964817,44.4874847699021,9.029452598733489,142.99716544200837,28.241176498312445,142.62309854633654,31.496397212214603
2020-07-14,196,2020,GR,14.623261628934646,2.820066306399857,1.9088086064456284,2.455774208738029,14.378517561485493,2.9122751165009024,69.2696925246999,17.82528621231246,71.47616705056836,18.729971841616337,41.29019294508684,6.4699338411516845,1.6084380787605703,5.336835966771234,45.75264706406382,8.523488555348012,144.21893688448685,26.888592303529773,145.14550239644234,29.845661033457386
2020-07-15,197,2020,GR,14.756167932681493,2.6956905695988973,1.9144365048122036,2.340515711593753,14.526116856843641,2.812172981345775,69.29801146345132,17.04014349791691,71.49004444614094,17.896208846094112,41.27857815253593,6.181236994250398,1.3230978761715546,4.711324503605138,46.913695894108905,8.0508844329513245,145.2518333842365,25.60005660191034,147.35934543392747,28.280978156874994
2020-07-16,198,2020,GR,14.869290698871033,2.5803394860597026,1.9193539565816127,2.231234177017535,14.669160442188858,2.7195010534045574,69.3167294682588,16.2909867649483,71.49457868722118,17.10085942711536,41.25562787903192,5.91079273733385,1.1076738154333496,4.117430408280656,47.931690396691174,7.615622363615651,146.0833717289686,24.380976680139234,149.22575222542588,26.811538985024917
2020-07-17,199,2020,GR,14.961203847424487,2.474217441162309,1.9234655109220844,2.128130487084735,14.807367790656137,2.6342905792279128,69.32489899960837,15.579036651099353,71.48882352613634,16.34524449251764,41.220969060952335,5.658994476847187,0.948506990483897,3.5816987123394024,48.767689708465966,7.219509501043285,146.70106870639438,23.23459130338286,150.70584733757212,25.442608876746984
2020-07-18,200,2020,GR,15.030481298263076,2.377158104370716,1.9266757170018496,2.031278050875288,14.94045837538047,2.556394155097876,69.32157251798606,14.904877069915003,71.47183271521374,15.629998755846481,41.17422863467468,5.4257413957574,0.83193849526077,3.1291877916603124,49.382752966087985,6.861813198284004,147.09244110422506,22.161649224596566,151.760755337,24.17486703913798
2020-07-19,201,2020,GR,15.075696971308009,2.2886340414892192,1.928889123989142,1.9406205153769902,15.06815166949685,2.485498169559049,69.30580248387784,14.268456527223691,71.44266000678066,14.955069866880455,41.11503353657648,5.2104410618328805,0.744309423701711,2.777544202421856,49.73793930621212,6.539244130131789,147.24500571017202,21.160390247602262,152.35160079034424,23.00430161900139
2020-07-20,202,2020,GR,15.09568819018164,2.207876836525261,1.9300195268477438,1.8560072205485565,15.19019874991178,2.4211883989154117,69.27663493826873,13.669280342348682,71.40035033711005,14.319922463551729,41.04318931644923,5.0121613066648365,0.6725445181249767,2.528641915380638,49.79860610705603,6.246661342740883,147.14875934057937,20.227216111636846,152.44544060667673,21.92333831393739
2020-07-21,203,2020,GR,15.090615310862734,2.134229095354142,1.9300275775917899,1.7773149564275914,15.306510430559626,2.363128289778331,69.2330961916933,13.107038511405658,71.34391733422939,13.724210461337876,40.95939496708097,4.830111173415622,0.6066555134376304,2.3657561817031505,49.551875053824965,5.979231768641056,146.80607386279206,19.358877258203083,152.03906419152386,20.924638412135607
2020-07-22,204,2020,GR,15.062244093002931,2.067404938441133,1.9289326895436623,1.7045434979025924,15.417196309290052,2.3111679550730693,69.1742492052648,12.582082596140438,71.27239946479696,13.168292456399898,40.86541719113645,4.663990723437865,0.541113414952255,2.2625697703028447,49.01205478529929,5.734365210162427,146.23393516862112,18.554339672003245,151.164968901488,20.00461192415864
2020-07-23,205,2020,GR,15.013667032863994,2.0075395030026884,1.9268042300546526,1.6378389678119543,15.522534875400533,2.265344478704057,69.09924000711644,12.095529375470447,71.18491047463796,12.65334799118711,40.76389423702081,4.514053884749632,0.4746057301010379,2.195844376974436,48.21643867726688,5.512372134881275,145.46104108612656,17.815372973637665,149.88470762711316,19.164733695699837
2020-07-24,206,2020,GR,14.948240956472254,1.954930632600232,1.9237215865162471,1.5774022804941494,15.622838510565016,2.225735850617593,69.00723390524801,11.648783216771367,71.08058194037638,12.180868686573973,40.65763749223898,4.38074088748513,0.4066859920801592,2.1499707997468454,47.206923454584015,5.315161635025183,144.5184036933133,17.145084597467136,148.26559636075373,18.409229722836347
2020-07-25,207,2020,GR,14.869322689854085,1.90985779706104,1.9197641463199386,1.5234161638461858,15.718419596457496,2.192374811793548,68.89739620765947,11.243159477090629,70.95854543863614,11.752252917289608,40.54945834429596,4.2644181634965745,0.3369077340858091,2.116217561431061,46.025405842107105,5.145135432063226,143.43703506818676,16.5466864273658,146.37495109476498,17.742998805506893
2020-07-26,208,2020,GR,14.780269059035748,1.8724578618653545,1.9150112968572122,1.4759883660303201,15.809590514751902,2.1651984930906236,68.76889222235057,10.879589539603607,70.81793254604126,11.368486434547723,40.442168180696655,4.165196708330008,0.2648244893140592,2.0907780383945775,44.71378256469201,5.004306844510536,142.24794728875145,16.022513678802646,144.28008782150047,17.169903549104628
