date,doy,year,site,epil_gm2_fit,epil_gm2_se,fila_gm2_fit,fila_gm2_se,epil_chla_mgm2_fit,epil_chla_mgm2_se,fila_chla_mgm2_fit,fila_chla_mgm2_se
2020-07-13,195,2020,BM,1.201418224347402,0.3382728582424364,2.930863119808704,0.5796471777878265,1.6145286517673132,0.36590236188275566,4.1620357476722205,0.5877826593698133
2020-07-14,196,2020,BM,1.2389848563484631,0.32217434406115647,2.906607330403493,0.5594172806840259,1.67497428087714,0.346866624525663,4.126618540108067,0.5599369577016899
2020-07-15,197,2020,BM,1.276345109391766,0.3070062475714389,2.882565280944588,0.5404414433476592,1.7359974712751711,0.3289141516884318,4.088008288266415,0.5342822281122723
2020-07-16,198,2020,BM,1.3134926311637902,0.29282749608912334,2.858753703729246,0.5227781250534336,1.7976227927116282,0.31211441332286494,4.04621880871698,0.5109587763201944
2020-07-17,199,2020,BM,1.350421069351015,0.2796723490608332,2.835189331054725,0.5064687116474774,1.859874814936731,0.2965134114156373,4.001263918029434,0.4900414718696421
2020-07-18,200,2020,BM,1.3871240716399231,0.26754629492825355,2.8118888952182846,0.4915357321446896,1.9227781077006967,0.28212851443143155,3.9531574327734793,0.4715302062554869
2020-07-19,201,2020,BM,1.4235952857169913,0.25642533139089924,2.7888691285171796,0.47798327943396035,1.9863572407537484,0.26894637561683443,3.9019131695188074,0.455351002742165
2020-07-20,202,2020,BM,1.4598323351019586,0.24626273798249856,2.766147546301481,0.46580278794529134,2.050627432011437,0.2569281271267239,3.8475841245683875,0.44138050223175695
2020-07-21,203,2020,BM,1.4958523362268985,0.23701188443239715,2.7437454744501193,0.4549902384744597,2.115556656392432,0.24603080392427046,3.79041610831434,0.4295164301932641
2020-07-22,204,2020,BM,1.5316937102606027,0.2286455229802255,2.7216882779825795,0.44555601678362977,2.181054112041837,0.236226918023926,3.7308699721022465,0.4197230518699255
2020-07-23,205,2020,BM,1.567410350296251,0.22116138830418242,2.7000041715048355,0.43752338069886654,2.246978832221919,0.22751112970857226,3.6695685848173767,0.4120307485130774
2020-07-24,206,2020,BM,1.6030591200132893,0.21456602014457057,2.678721912440074,0.43091237356141543,2.3131797678887853,0.21988484446010598,3.6071662959409116,0.40647742988354374
2020-07-25,207,2020,BM,1.6386968830911617,0.2088617638619111,2.6578702582114793,0.4257298474913076,2.3795058699985496,0.213342650296481,3.544317454954048,0.4030704014495954
2020-07-26,208,2020,BM,1.6743805032093146,0.2040373683458059,2.6374779662422383,0.4219635906182045,2.4458060895073244,0.20786209229548455,3.4816764113379675,0.40176550651629395
2020-07-27,209,2020,BM,1.7101668440471938,0.2000606679357409,2.617573793955537,0.41957868477618376,2.511929377371217,0.20339575316832445,3.419897514573853,0.4024579485520331
2020-07-28,210,2020,BM,1.7461091252971732,0.19687778577562043,2.5981858012663346,0.41851838117713164,2.577717958502682,0.19987059559209097,3.359620638851314,0.40499579305548616
2020-07-29,211,2020,BM,1.7822459907033332,0.19442267877510278,2.579339258056706,0.4187108696028798,2.64298715363954,0.1971990733910663,3.3014277571936272,0.4092221478249416
2020-07-30,212,2020,BM,1.818612440022684,0.19260738976852568,2.561058736700493,0.4200652878297214,2.707545557475947,0.195269887733658,3.24588636733249,0.414956323472613
2020-07-31,213,2020,BM,1.8552434730122336,0.1913204795385088,2.5433688095715397,0.4224729168831475,2.771201764706065,0.19394714730654392,3.193563966999591,0.4219932456163762
2020-08-01,214,2020,BM,1.8921740894289913,0.190432744084408,2.526294049043697,0.42581242148491705,2.833764370024059,0.19307722954975146,3.145028053926632,0.4301181201295318
2020-08-02,215,2020,BM,1.9294392890299652,0.1898066330758863,2.509859027490805,0.4299568652297268,2.8950419681240858,0.192499405764323,3.10084612584531,0.43912562937168537
2020-08-03,216,2020,BM,1.9670656878039212,0.18931465864763328,2.494086488565837,0.43478427365613315,2.9548457750747974,0.19206588630431912,3.061538322577705,0.44884928225196813
2020-08-04,217,2020,BM,2.0050380035723943,0.18887680943038332,2.478989946160466,0.4401943306778726,3.013001850352923,0.19168222532342563,3.027387368398139,0.4592028868480702
2020-08-05,218,2020,BM,2.043291083350152,0.1884739569825727,2.464571468052047,0.44611267891634143,3.069362363673093,0.19132149655248734,2.998389843021555,0.4701692795055849
2020-08-06,219,2020,BM,2.0817192724116156,0.18813640969664483,2.450823375611156,0.45248386116142,3.12380807155208,0.19101170095759462,2.9743069382033265,0.48175824463716094
2020-08-07,220,2020,BM,2.120208881369682,0.18790687031387768,2.4377360323261197,0.4592550790032315,3.176225787729668,0.1907957361844585,2.9548529946862727,0.4939513235747303
2020-08-08,221,2020,BM,2.1586462208372446,0.18782254936016854,2.4252998016852656,0.4663689234174825,3.226502325945642,0.19071207025734277,2.939742353213221,0.50668210355271
2020-08-09,222,2020,BM,2.1969176014271996,0.18790655259526878,2.413505047176922,0.47376069744485244,3.2745244999397802,0.19078536341121446,2.928689354526985,0.5198352460437118
2020-08-10,223,2020,BM,2.2349093337524417,0.18816274086344592,2.4023421322894145,0.48135778477143787,3.3201791234518696,0.19102074357175391,2.9214083393703847,0.5332553835226769
2020-08-11,224,2020,BM,2.272506226218655,0.18857932888825418,2.3918000204369543,0.4890834775726158,3.363366621194409,0.19140728484657493,2.9175977767396817,0.5467761473578796
2020-08-12,225,2020,BM,2.309587078402678,0.1891451926317323,2.3818620747372656,0.4968668531976299,3.4040418617707817,0.19193494167417333,2.9168926486448963,0.5602749296434488
