site,date,epil_gm2,epip_gm2,epi_gm2,fila_gm2,filaepip_gm2,epil_chla_mgm2,epip_chla_mgm2,epi_chla_mgm2,fila_chla_mgm2,filaepip_chla_mgm2,GPP,ER,NPP,light,NPP_light,fila_prod_gCd,fila_turnover,epi_prod_gCd,epi_turnover
GR,2021-06-22,15.02808210915154,0.00516574223604446,15.251581040716571,0,0,25.071119979865376,0.00184725756137266,24.85987332873625,0,0,11.169412724372444,-9.368320713073096,7.794959146936522,0.9234165150819057,8.441433545560013,0,NA,1.4197656254415305,5.371161538008609
GR,2021-06-23,15.064006183069758,0.00519127604158931,15.265927743198713,0,0.00239354157321181,25.260677447165996,6.605728503295549e-4,24.65402862464217,0,0,7.202272832826459,-7.788725834975496,5.026354015414659,0.9176006404533973,5.477714153437249,0,NA,1.3991417371951738,5.455461493773303
GR,2021-06-24,15.099988535114726,0.00521754864284798,15.280709967688356,0,0.00623501244055957,25.452057478197514,0,24.45676411115704,0,0,7.223173139306665,-8.50953951111218,5.04094001372916,0.9254071000185513,5.447267493007247,0,NA,1.399754686098575,5.458352852627007
GR,2021-06-25,15.13600533286517,0.00524529603331316,15.296351928734971,0.00486152493819547,0.01012040889936771,25.645749473679587,0,24.2748437325903,0,0,5.933728547761965,-8.339926863583713,4.141056719829845,0.819207376668522,5.054955360229199,0,NA,1.2299017099124572,6.218526165730652
GR,2021-06-26,15.17203252630307,0.0052752546292199,15.31327960061266,0.01179380358240578,0.01406024676178518,25.842256661597656,0,24.11485722727327,0,0,5.960742859723982,-7.797106388349667,4.159909587328155,0.9118793895771938,4.56190767647129,0,NA,1.3600103171715325,5.629839497269511
GR,2021-06-27,15.208045847478662,0.00530816133580727,15.331921002226826,0.01879838813592249,0.01806530466307721,26.042096552750184,0,23.983268668839397,0,0,5.61717227239873,-7.484772802470823,3.9201370264624003,0.9001764234960737,4.3548541420775155,0,NA,1.3352301025542597,5.741302930819665
GR,2021-06-28,15.2440208105429,0.0053447536400901,15.352706596164738,0.0258762290601231,0.02214663391681415,26.245801492222753,0,23.886481635633384,0.01547450180172393,0,6.43722149693424,-8.404412670108064,4.492436605811181,0.9175383879847757,4.8961838160015185,2.970052711464468e-5,NA,1.3554906818412058,5.6631546058696145
GR,2021-06-29,15.279932712154904,0.00538576973017831,15.376069803138249,0.03302829271396845,0.02631557027197295,26.453919311496872,0,23.83092091499296,0.03764276926749632,0.00283693873718693,6.503739891479044,-8.852105634051304,4.538858757162535,0.928530181864362,4.88821887087087,7.311404784550968e-5,NA,1.3685383078332445,5.6176979903041975
GR,2021-06-30,15.315756632269258,0.00543194864119769,15.402447633402998,0.04025556164510635,0.03058374765639981,26.667014086203835,0,23.823131185399472,0.06113102502007939,0.01754598970283849,6.2165738699400475,-8.27421317715355,4.338450064107409,0.9254964945634919,4.6877001583389335,1.1834766506074507e-4,NA,1.3636211498111273,5.647627141723478
GR,2021-07-01,15.351467435309884,0.00548403042786946,15.43228143717055,0.0475590348867867,0.03496311399703433,26.885667004895883,0,23.86989378367292,0.08613480496765025,0.03374018964112935,5.741272301009219,-8.037226784513104,4.0067445032406175,0.877399490276787,4.566613666457269,1.5808814020950145e-4,NA,1.2952928623931297,5.957062640126999
