date,site,sample,average.depth,cobble,sand,gravel,pebble,cpom.om.area.g.m2,epil.om.area.g.m2,epip.om.area.g.m2,fbom.area.g.m2,fila.om.area.g.m2,macro.om.area.g.m2,epil.chla.mg.m2.ritchie,epip.chla.mg.m2.ritchie,fbom.chla.mg.m2.ritchie,fila.chla.mg.m2.ritchie,total.chla.mg.m2.ritchie,phicocyanin.mg.m2,epip.phicocyanin.mg.m2,fbom.phicocyanin.mg.m2,total.algal.biomass.g.m2,year
2020-10-20,CR,3,30.5,1,0,0,0,NA,2.146619006,NA,9.83e-8,NA,NA,26.67863895,NA,7.474793045,NA,34.15343199,14.63068169,NA,21.2951,2.15,2020
2020-10-20,CR,4,26.625,1,0,0,0,NA,4.755065085,NA,1.6e-7,5.757169791,NA,34.24687991,NA,24.71254489,16.6829542,75.642379,23.56908164,NA,28.6485,10.5,2020
2020-10-20,CR,5,28.25,1,0,0,0,NA,5.247290902,NA,1.02e-7,14.70925913,NA,32.17831798,NA,15.47864113,25.64956942,73.30652852,37.87589979,NA,23.229975,20,2020
2020-07-20,DL,1,31.125,0,0,0,1,NA,12.49563759,NA,6.22e-8,7.110465326,NA,16.02021311,NA,11.9240542,258.8176045,286.7618718,1.087620296,NA,1.58270625,19.6,2020
2020-07-20,DL,2,24,0,0,0,1,NA,11.43343532,NA,1.3e-7,12.88421187,NA,21.6903562,NA,18.796156,118.868037,159.3545492,1.400820895,NA,2.17176,24.3,2020
2020-07-20,DL,3,29.125,0,0,0,1,NA,4.856783959,NA,9.71e-8,0.380690254,NA,10.96743538,NA,12.64874202,NA,23.61617739,0.74156567,NA,1.36974875,5.24,2020
2020-07-20,DL,4,16.125,0,0,0,1,NA,4.083077463,NA,1.09e-7,NA,NA,4.121506033,NA,22.03990507,NA,26.1614111,2.698040531,NA,12.271125,4.08,2020
2020-07-20,DL,5,25.25,0,0,0,1,NA,14.79015818,NA,2.59e-7,60.73404627,NA,18.90401881,NA,33.53224168,400.2047707,452.6410312,5.656270929,NA,15.69035,75.5,2020
2020-07-27,DL,1,36.75,0,0,0,1,NA,2.110812793,NA,0,5.360229085,NA,5.22592798,NA,3.9092445,24.34613261,33.48130509,6.968608094,NA,3.32514,7.47,2020
2020-07-27,DL,2,30.375,0,0,0,1,NA,4.166966305,NA,9.11e-8,14.2995863,NA,17.87060448,NA,12.61889888,37.42903338,67.91853674,15.62869584,NA,3.7816875,18.5,2020
2020-07-27,DL,3,14.875,0,0,0,1,NA,8.386156093,NA,1.2e-7,17.15964331,NA,31.93504485,NA,14.66169385,70.4033007,117.0000394,20.91375134,NA,2.2967,25.5,2020
2020-07-27,DL,4,29.75,0,0,0,1,NA,4.529412869,NA,1.24e-7,NA,NA,53.1336912,NA,21.13215983,NA,74.26585103,5.972745238,NA,2.10035,4.53,2020
2020-07-27,DL,5,31,0,0,0,1,NA,4.855322481,NA,3.49e-8,10.07448002,NA,11.7727812,NA,4.498919286,59.32611416,75.59781465,11.48949762,NA,1.02331,14.9,2020
2020-08-03,DL,1,31.125,0,0,0,1,NA,2.102190072,NA,5.29e-8,1.693778329,NA,4.317368565,NA,3.216364125,3.55671411,11.0904468,4.285755243,NA,4.3730625,3.8,2020
2020-08-03,DL,2,22.75,0,0,0,1,NA,1.956148553,NA,-6.26e-8,1.398229197,NA,4.563083781,NA,0.988111091,6.069995584,11.62119046,4.37743084,NA,2.1960575,3.35,2020
