model,smooth_par,k.,edf,k.index,p.value
biofilm AFDM,s(doy),9,3.8086325169022213,0.9691398487704708,0.2525
biofilm AFDM,"s(doy, site_year)",120,34.38197522295174,0.9691398487704708,0.26
filamentous AFDM,s(doy),9,1.0005950920298066,1.044293253206484,0.78
filamentous AFDM,"s(doy, site_year)",110,21.607775832888898,1.044293253206484,0.76
biofilm chla,s(doy),9,1.1625016791916845,0.9884330191827089,0.4025
biofilm chla,"s(doy, site_year)",120,39.74966831037843,0.9884330191827089,0.39
filamentous chla,s(doy),9,4.296664777906381,1.0282688273578775,0.6625
filamentous chla,"s(doy, site_year)",110,21.937287829567598,1.0282688273578775,0.645
