doy,site,phicocyanin.mg.m2_mean,phicocyanin.mg.m2_se,filamentous_chla.mgm2_mean,filamentous_chla.mgm2_se,filamentous_gm2_mean,filamentous_gm2_se,epilitheon_chla.mgm2_mean,epilitheon_chla.mgm2_se,epilitheon_gm2_mean,epilitheon_gm2_se,year
195,BM,0.8645244874421607,10.574795580770653,60.418332539105656,25.90489715747656,27.647466849928932,28.387529545290796,4.56646370345513,12.795968372722449,6.8291671891237264,4.318928352621166,2020
196,BM,1.9319779414091105,10.136447028945502,58.71659252429541,24.94266508872912,26.994431407543573,27.06003385866084,5.876032082041413,12.112077524694657,7.136557456642118,4.140947779894352,2020
197,BM,2.999366985482572,9.712124875544399,57.01534047438938,24.02060867532639,26.341576813133745,25.778892764430346,7.185405948075395,11.454079554785821,7.443926083367219,3.968883449732442,2020
198,BM,4.066627209769139,9.30392093323715,55.315064354291685,23.143863593073398,25.68908391467494,24.551950779557465,8.494390789004893,10.827117488886495,7.751251428505776,3.8036049123417652,2020
199,BM,5.133694204375315,8.91351968144893,53.616252128906495,22.316328288747254,25.037133560142717,23.385711651249142,9.8027920922776,10.235504269530045,8.058511851264493,3.6458185798571905,2020
200,BM,6.200503559407632,8.542140702322378,51.91939176313793,21.54051446103447,24.385906597512538,22.28507692431974,11.110415345341323,9.682499408328926,8.365685710850096,3.4960442340785707,2020
201,BM,7.26699086497267,8.190507117696583,50.2249712218902,20.817481813198473,23.73558387475996,21.253163843644,12.417066035643694,9.17012254059179,8.672751366469308,3.3546020619195063,2020
202,BM,8.333091711176941,7.858853122533237,48.53347847006751,20.146890659402366,23.086346239860486,20.291260038986223,13.722549650632555,8.699052255193518,8.979687177328852,3.2216155282920935,2020
203,BM,9.398661318729914,7.547022614273079,46.84558769509951,19.527296383427412,22.438408627176756,19.399119217437764,15.026618057005793,8.268746517245171,9.286450311808617,3.097051871216421,2020
204,BM,10.463151605323453,7.254791777469144,45.16289723973638,18.957000672634376,21.7921546671974,18.57611771675706,16.32874268680154,7.878145536797674,9.592890753978844,2.980854697979588,2020
205,BM,11.525606817534179,6.982123170459556,43.48790873012722,18.434714807697393,21.148131479108624,17.822215791257474,17.628077544665413,7.526391207087604,9.898747613073215,2.8730438139670897,2020
206,BM,12.584989376509197,6.729092250657665,41.823303057639336,17.95938378607633,20.506918532674216,17.137688770842704,18.92371068358232,7.21277401610174,10.203737577322968,2.773678970105542,2020
207,BM,13.640261703395645,6.49580157445619,40.17176111364019,17.52998668803347,19.869095297657932,16.52277973406979,20.214730156537208,6.936541753123601,10.507577334959365,2.682822041008636,2020
208,BM,14.690386219340642,6.282323932706113,38.53596378949706,17.14542146021351,19.235241243823555,15.977452948149555,21.500224016515034,6.696760051659348,10.809983574213655,2.6005119987910454,2020
209,BM,15.734325345491278,6.0886495857743546,36.918591976577424,16.804411198511644,18.605935840934876,15.501166277438967,22.779280316500785,6.492192809921676,11.110672983317084,2.526741894843785,2020
210,BM,16.770999721692082,5.914694913245947,35.32234525157686,16.50556476185892,17.98176705187663,15.092894953201574,24.05081804238412,6.321360150507013,11.409341357027943,2.461461607983646,2020
211,BM,17.79916286257705,5.760405483391166,33.74999793250462,16.24765111059243,17.36335681201746,14.75154269847995,25.31307991167436,6.182869702048608,11.705600916212688,2.40461945931131,2020
212,BM,18.817526501477563,5.625486404904873,32.20434302269805,16.028993912508547,16.751335549846992,14.474920556987332,26.564139574785532,6.074778085027335,11.999042988264803,2.356051955316823,2020
213,BM,19.82480237172505,5.509243453482472,30.688173525494673,15.847160615022705,16.146333693854814,14.259195445887679,27.80207068213173,5.994248887849418,12.289258900577785,2.315422169285257,2020
214,BM,20.819702206650888,5.410528281890643,29.204282444231904,15.6988948065342,15.548981672530536,14.098782790090624,29.02494688412698,5.937505369090046,12.575839980545123,2.2822022167355605,2020
215,BM,21.800937739586463,5.327747299151249,27.75546278224721,15.580176376280706,14.959909914363772,13.986508527316838,30.230841831185387,5.89995513975713,12.85837755556031,2.2556820898126175,2020
216,BM,22.767220703863188,5.2589402067320705,26.34450754287803,15.486411722429466,14.379748847844128,13.914034081063804,31.417829173721,5.876474177432745,13.136462953016839,2.235006132891062,2020
217,BM,23.717296606956033,5.202025655873791,24.97402088031081,15.412956560648906,13.809103646868541,13.872867304868963,32.58384161108433,5.862061792303624,13.409683525209198,2.2192742980391755,2020
218,BM,24.650084984809688,5.155416531731361,23.64565513298796,15.356390652051454,13.248450387690012,13.856643505582632,33.72614141128009,5.853324832284825,13.677609755218864,2.2077853356282766,2020
219,BM,25.564694875093636,5.118219051900337,22.360088113642377,15.314871531865982,12.69812757487608,13.86176769177694,34.84142338288333,5.848853954893405,13.939804275760194,2.2001116938323304,2020
220,BM,26.460274247372674,5.089820456518906,21.117801215867328,15.287209900972574,12.158445633721124,13.885836402138768,35.9262757073775,5.848123674086113,14.195828750730517,2.1959357574564784,2020
221,BM,27.335971071211592,5.0697026280195585,19.919275833256048,15.272452600086195,11.629714989519533,13.926931026677032,36.97728656624605,5.850984264296692,14.44524484402715,2.1949774318464033,2020
222,BM,28.190933316175183,5.057371135199759,18.76499335940178,15.269719274237707,11.11224606756562,13.98334556615852,37.99104414097246,5.857449904794251,14.68761421954741,2.1969676898831554,2020
223,BM,29.02430895182824,5.052305707840662,17.655435187897783,15.27808799896897,10.6063492931538,14.053397950572426,38.96413661304018,5.8675466231800515,14.922498541188629,2.2016306803471415,2020
224,BM,29.835273309618128,5.054023532560342,16.59098043710435,15.296712361811952,10.112305317302814,14.135632289698899,39.89337667102007,5.881419586160156,15.149475157659678,2.2087092196619396,2020
225,BM,30.623111168522513,5.062295315790288,15.571599124450074,15.325244380532027,9.630275693929304,14.229529290479181,40.776475031832526,5.899770387638968,15.368184156915587,2.2180485212307297,2020
226,BM,31.387134669401647,5.076765822471182,14.597158992130538,15.363051347525975,9.160392202674235,14.334182855440048,41.6113669194854,5.922963573110897,15.57828131172296,2.229451239667619,2020
227,BM,32.12665595311575,5.096811171210854,13.66752778234135,15.408919418633703,8.70278662317865,14.44781614921198,42.39598755798643,5.950686686382826,15.779422394848376,2.2426241719394038,2020
228,BM,32.840987160525074,5.12153811867401,12.78257323727819,15.461045439715306,8.257590735083543,14.567784467432714,43.12827217134346,5.981938763279179,15.97126317905843,2.257178869952178,2020
229,BM,33.529440432489835,5.149827750708251,11.94216309913661,15.517119446469243,7.8249363180299545,14.690723216900755,43.80615598356429,6.015127506278559,16.153459437119707,2.272648276196314,2020
230,BM,34.19132790987031,5.180420138413023,11.146165110112266,15.574493175859809,7.4049551516588945,14.812827221946469,44.42757421865671,6.048267114289954,16.325666941798794,2.2885180347933276,2020
