model,smooth_par,k.,edf,k.index,p.value
biofilm AFDM,s(doy),9,4.1491944440831245,0.9253597743414913,0.05
biofilm AFDM,"s(doy, site_year)",120,28.254734758212695,0.9253597743414913,0.0375
filamentous AFDM,s(doy),9,1.0037863906131341,0.8460822221711856,0.01
filamentous AFDM,"s(doy, site_year)",120,30.472476690758114,0.8460822221711856,0.005
biofilm chla,s(doy),9,1.0035701196065843,0.9085579766462083,0.0075
biofilm chla,"s(doy, site_year)",120,31.406725667331543,0.9085579766462083,0.0225
filamentous chla,s(doy),9,4.601448843373362,0.7191145187729291,0
filamentous chla,"s(doy, site_year)",120,30.12672728997062,0.7191145187729291,0
