date,doy,year,site,epil_gm2_fit,epil_gm2_se,fila_gm2_fit,fila_gm2_se,epil_chla_mgm2_fit,epil_chla_mgm2_se,fila_chla_mgm2_fit,fila_chla_mgm2_se
2020-07-13,195,2020,BM,7.007741756454204,2.2040457494277543,38.656278191522986,29.306347352465995,10.913710843001565,3.7339701935329823,130.32620829096325,103.14300784447822
2020-07-14,196,2020,BM,7.226870017419608,2.158669945370913,35.140924964511484,24.758895836412467,11.386772731867568,3.68462667443238,119.99404224272031,88.49355610486153
2020-07-15,197,2020,BM,7.443798448343767,2.113810834232156,31.91127797057812,20.8820999493175,11.88208124387973,3.637839767010538,109.99285862058237,75.55602749034183
2020-07-16,198,2020,BM,7.656710447000204,2.0702616031943926,28.946690968915178,17.597843289174623,12.40068360631687,3.595132590228559,100.32217574622896,64.21645798162051
2020-07-17,199,2020,BM,7.863652562284628,2.0286260055323333,26.22781901534309,14.832605376424993,12.943673994996724,3.557957656551347,90.99272130112263,54.35227573984325
2020-07-18,200,2020,BM,8.06254603116498,1.9892263225728593,23.736547317436358,12.517229449561126,13.512195323578633,3.5275890036243016,82.02414875626624,45.83102521153713
2020-07-19,201,2020,BM,8.251202693297554,1.9520492498679385,21.455923709576158,10.587038456852069,14.107441072898839,3.5050324334088074,73.44264702802523,38.51238739031861
2020-07-20,202,2020,BM,8.427565592420212,1.916835697699108,19.370038715927812,8.982417844501114,14.730637351317755,3.4910187969125235,65.28292063450982,32.25587357101275
2020-07-21,203,2020,BM,8.590656362423589,1.883518114849584,17.46381259749887,7.65020987964438,15.3829533860461,3.486233709871422,57.599027184895164,26.935809025190853
2020-07-22,204,2020,BM,8.7409387268978609,1.8524971143447928,15.723111227601613,6.54492536225061,16.065433139217838,3.4916007462988823,50.45422908170661,22.44341663694642
2020-07-23,205,2020,BM,8.880181913773027,1.824666748660607,14.134857527107402,5.628622086355457,16.778963346804368,3.5084410953039855,43.903952880543464,18.68172315343958
2020-07-24,206,2020,BM,9.010583030153342,1.8010435097581974,12.686957417431913,4.869278238268664,17.52436913657796,3.538316854771138,37.97677970850069,15.5559054656387
2020-07-25,207,2020,BM,9.134520862786745,1.7825749303808553,11.368217298597685,4.239407849643438,18.30243580268679,3.58282999477813,32.67547495674259,12.97368159562822
2020-07-26,208,2020,BM,9.254535428121123,1.7700342149420294,10.168274561368047,3.715209476313069,19.113900018112478,3.6434177419603118,27.982794250653217,10.848104626549743
2020-07-27,209,2020,BM,9.373313736642793,1.7639374650441524,9.077534330054114,3.2760934352676148,19.95944037833404,3.7211410643838723,23.866924079100794,9.099964218012545
2020-07-28,210,2020,BM,9.493703312035468,1.7645422510864117,8.087260785607326,2.9046445107694954,20.839567497167025,3.816553972393339,20.286858087257315,7.660092035611181
2020-07-29,211,2020,BM,9.61877699602793,1.7719767477038804,7.18984686293239,2.5869095878476793,21.754279653756758,3.9297624958643538,17.197467063046442,6.471239509574548
2020-07-30,212,2020,BM,9.751783961078457,1.7861106796662474,6.378140962783291,2.311532364535537,22.703286386012525,4.060186064000762,14.55023492445409,5.485653321866401
2020-07-31,213,2020,BM,9.896149234387874,1.8065315772820754,5.645299195699616,2.069376257173687,23.6860783725909,4.20641875907612,12.295614107690746,4.664094390085464
2020-08-01,214,2020,BM,10.055504460435046,1.8326101959150751,4.984812792605631,1.853344807245655,24.70190517418071,4.366237387365805,10.385301482801545,3.9751192528954857
2020-08-02,215,2020,BM,10.233730862073322,1.8636089531447677,4.39052675856778,1.65817427203273,25.74975278703398,4.536728742705573,8.773785499425887,3.3940661203180817
2020-08-03,216,2020,BM,10.434737886354622,1.8988561235535815,3.8567660207528256,1.4803335066345709,26.8282167781815,4.714693446008663,7.419021640511879,2.9020016547616128
2020-08-04,217,2020,BM,10.661347250063157,1.9380197863272686,3.3786833060808283,1.3181599904010985,27.935047221579044,4.897651942443637,6.28213916469425,2.484786832469686
2020-08-05,218,2020,BM,10.914808611563512,1.9812257518064735,2.9520643139117206,1.1712600217855025,29.067035756073427,5.084450205585155,5.3280423114520925,2.131614584305172
2020-08-06,219,2020,BM,11.194883542392835,2.028978077186734,2.573006420569097,1.0396879105254377,30.220099151564252,5.275249839493423,4.526075466632209,1.833653474322393
2020-08-07,220,2020,BM,11.50100089048809,2.0819186186463883,2.2375623197620453,0.9231546633874869,31.389476487297717,5.470668254830371,3.8506761485513854,1.583101416964845
2020-08-08,221,2020,BM,11.832535659629501,2.140648702629148,1.941779506191763,0.8209137993794938,32.56976224649272,5.671274834853129,3.2807423622712837,1.372893047399495
2020-08-09,222,2020,BM,12.18877461935218,2.2055951289346227,1.6818087675947933,0.7318602226177555,33.754893203220774,5.877265723958857,2.7988389782781216,1.1966484622967524
2020-08-10,223,2020,BM,12.56888163888998,2.276905514084774,1.4539824319902612,0.6546603019303903,34.93814507439616,6.088193066461953,2.3905467062094106,1.0486860775551572
2020-08-11,224,2020,BM,12.971649414586482,2.3544270127981517,1.2548695016851974,0.5879146581374287,36.11237095326978,6.303006059381407,2.0438853573937124,0.9240851116224341
2020-08-12,225,2020,BM,13.39477069286415,2.4378140989573778,1.0813129377150774,0.5303370764913314,37.270771789965536,6.520676597717901,1.7487872704290788,0.8187655236747813
2020-08-13,226,2020,BM,13.835341393864367,2.526362880201193,0.9304372638481468,0.4806921348432205,38.40633798582637,6.739522214555743,1.4969161504141522,0.7292749553351204
2020-08-14,227,2020,BM,14.290011810194372,2.61893668251671,0.7996516620557603,0.4378173199503285,39.51167205946074,6.956945022054125,1.2813908746474554,0.6527030014131899
