date,doy,year,site,epil_gm2_fit,epil_gm2_se,epip_gm2_fit,epip_gm2_se,fila_gm2_fit,fila_gm2_se,epil_chla_mgm2_fit,epil_chla_mgm2_se,epip_chla_mgm2_fit,epip_chla_mgm2_se,fila_chla_mgm2_fit,fila_chla_mgm2_se
2020-08-12,225,2020,DL,2.5428921844193444,0.4422223235732967,0.2734792555315578,0.12643761853371674,5.1134265990885295,0.9700993989239725,7.685439640937684,1.1953823867740003,6.723306904671773e-10,2.4463763894314107e-7,10.737736514262439,2.0573484871477374
2020-08-13,226,2020,DL,2.5287103182510604,0.44414980626989736,0.27562547974799007,0.12796227175149547,5.044667455449452,0.9610837948647278,7.54203398626483,1.186850144849844,5.94050483352143e-10,2.1455035976343265e-7,10.276220047380416,1.9743101046489613
2020-08-14,227,2020,DL,2.5224730403498237,0.44773739612833574,0.2776892886220275,0.12907653726718532,4.988798230337856,0.9564311859114447,7.420064536920245,1.1823960602528718,4.973779232238482e-10,1.7828658986327915e-7,9.897722901299296,1.9085286431174298
2020-08-15,228,2020,DL,2.5233313597917686,0.4526913754428842,0.27944138428772314,0.12954206620623168,4.945947747034755,0.9555215371245223,7.319126712096814,1.1814992728696476,3.9508066856298253e-10,1.4054134749474258e-7,9.594208762183579,1.8583598782816362
2020-08-16,229,2020,DL,2.530486162974239,0.4587114643958918,0.2806476013272921,0.12915757183591417,4.916001702144879,0.9578278521673682,7.238944523333837,1.1836355640251348,2.9808118929242215e-10,1.0522006770707897e-7,9.359124791522092,1.822668923815805
2020-08-17,230,2020,DL,2.543186754664881,0.46555411472153396,0.28109920153278717,0.12784990307404115,4.898705631286447,0.962997251481054,7.1792941665284875,1.188406018468432,2.1419238109106807e-10,7.501935560756073e-8,9.187063665841466,1.801046011597897
2020-08-18,231,2020,DL,2.560789783410193,0.4731556036463726,0.2807178537556494,0.12584836196200472,4.8936657344120755,0.9710247703757742,7.139703710485666,1.195745740581143,1.4801270679532192e-10,5.1432022556859604e-8,9.072839376333661,1.7941027215596315
2020-08-19,232,2020,DL,2.582821389417169,0.48164769600316715,0.27957815920123347,0.123658670630916,4.9003948192660065,0.9822186606358836,7.119416777016795,1.205931024902254,9.985963523026814e-11,3.4423112762372003e-8,9.011377728830455,1.8029228094593985
2020-08-20,233,2020,DL,2.608986059028147,0.4912824928979752,0.2778729055149733,0.12190021939194462,4.918385088230662,0.9970236085280991,7.117488641418756,1.2194308158728526,6.690181434489285e-11,2.2876190486217558e-8,8.997826541431943,1.8283578467852706
2020-08-21,234,2020,DL,2.639029610721523,0.502270605199447,0.27581549896591967,0.12107296446713374,4.947163584786518,1.0157419522629867,7.1330335519888735,1.2366392480094242,4.527939959108717e-11,1.535643854197948e-8,9.027632585528833,1.8704212781576992
