date,site,n_samp,average.depth,average.depth_sd,pct_cobble,pct_sand,pct_gravel,pct_pebble,epilithon_gm2,epilithon_gm2_sd,epilithon_chla_mgm2,epilithon_chla_mgm2_sd,total.algal.biomass.g.m2,total.algal.biomass.g.m2_sd,filamentous_gm2,filamentous_gm2_sd,fila_macro_gm2,fila_macro_gm2_sd,filamentous_chla_mgm2,filamentous_chla_mgm2_sd,doy,doy_sd,year
2020-07-13,BN,5,30.352999999999998,5.695564173108753,1,0,0,0,3.5581830973999997,4.800652085604358,3.6489502624,3.2716200497388783,173.1,315.1589479135885,169.59475756220002,316.8965111118189,169.59475756220002,316.8965111118189,30.1191839074,41.90615892456959,195,0,2020
2020-07-20,BN,5,22.05,6.352656924468691,1,0,0,0,1.2462783566,0.21525620206169674,2.4751589384,0.8993782124912209,171.522,180.300987018929,170.2689628784,180.27752893337885,170.2689628784,180.27752893337885,42.9581368728,71.28095158677736,202,0,2020
2020-07-20,DL,5,25.125,5.793989342413394,0,0,0,1,9.5318185024,4.785269928814067,14.3407059066,6.95472732459905,25.744,29.177201373675302,16.221882744,25.44397539329725,16.221882744,25.44397539329725,155.57808244,173.39068777752613,202,0,2020
2020-07-20,GR,5,25.4,8.978881472655711,1,0,0,0,22.4024713732,15.288570875707755,65.76899037,65.78728113280849,87.68,82.76815208762366,65.2669667542,71.22417161208881,65.2669667542,71.22417161208881,157.2872422,193.9186642105096,202,0,2020
2020-07-21,BM,5,26.25,10.658036873646104,1,0,0,0,5.445896031,6.821323473688245,10.8169874994,14.646773027696582,21.6954,41.4624318244842,16.254442299999997,34.91443095970974,16.254442299999997,34.91443095970974,63.803622126,136.78596608570774,203,0,2020
2020-07-21,CR,5,34.25,5.817538139110048,1,0,0,0,10.885088747000001,3.668679584039468,28.0251404402,15.584048070460163,58.734,33.07565237451863,47.8411926904,30.570243895693036,47.8411926904,30.570243895693036,141.5710032126,107.16071768353103,203,0,2020
2020-07-21,GC,5,29.55,5.715658317289444,1,0,0,0,23.9122366898,14.057571277288135,41.580070566,27.64861009610626,115.64,76.29825030759224,91.7319683546,66.85121558277322,91.7319683546,66.85121558277322,151.816147779,142.38515532833108,203,0,2020
2020-07-21,PL,5,24.75,7.275816105427624,0.4,0.2,0,0.4,7.5781730642000005,9.684617542035664,16.7518360168,24.11785661462909,8.63860001632,11.648151546384737,1.0602146592000001,2.370712048712973,8.0753094492,15.267098098566398,1.258492691,2.8140752062626375,203,0,2020
2020-07-27,BN,5,28.1625,5.601395194502884,1,0,0,0,6.5811222686,2.4777926219442206,6.3723114374,3.262812944483463,10.475999999999999,9.996800988316211,3.8884973279999997,8.694944355734295,3.8884973279999997,8.694944355734295,4.1432910754000005,9.264680495162608,209,0,2020
2020-07-27,DL,5,28.55,8.13969824379258,0,0,0,1,4.8097341082,2.2676408018419387,23.987609942,19.047810119385108,14.18,8.447925780923978,9.378787743,6.880233149272621,9.378787743,6.880233149272621,38.30091617,27.995885350788587,209,0,2020
2020-07-27,GR,5,29.849999999999998,3.2638268374716195,1,0,0,0,16.558262715,11.745276959173452,35.0399210216,23.385328203492627,103.08,68.64129223725323,86.5852124446,59.12271165494648,86.5852124446,59.12271165494648,151.5456748276,139.03185261600922,209,0,2020
2020-08-03,BN,5,30.5,4.138236339311712,1,0,0,0,5.4576421392,4.801192121524268,16.7904138972,17.16613109840067,6.1259999999999994,6.229637228603283,0.6586830146,1.4728599962700863,0.6586830146,1.4728599962700863,1.8140571745999998,4.056355157476805,216,0,2020
2020-08-03,DL,5,28.875,3.606634511563377,0,0,0,1,2.710275292,0.6522038019573024,6.2912159976,2.7188145221667206,6.118,4.14507177259936,3.4073104154,3.6603745301779336,3.4073104154,3.6603745301779336,11.8393556368,15.368707141860549,216,0,2020
2020-08-03,GR,5,29.45,2.7480106440841894,1,0,0,0,13.7113769046,12.423237842839814,33.9081386684,19.44428179341418,99.1,76.73682297306816,85.3669609286,67.02995667328614,85.3669609286,67.02995667328614,117.16876396320001,88.31815725600407,216,0,2020
2020-08-04,BM,5,32.1,14.802449121682534,0.8,0.2,0,0,12.4171269918,5.795056210977078,28.855486026,12.924167569095552,17.744,11.426665305328584,5.3394224802,6.964278872988588,5.3394224802,6.964278872988588,9.1154821592,11.946767662649838,217,0,2020
2020-08-04,CR,5,28.3,7.122587310802164,1,0,0,0,2.0839703116,1.3820386230680637,4.193348237,4.036418466396562,173.648,294.371188926498,171.5194532216,294.7347547959542,171.5194532216,294.7347547959542,224.7403744722,356.30893532923665,217,0,2020
2020-08-04,GC,5,34.65,3.0610966172272316,1,0,0,0,5.2914470268,3.6076044097602327,24.0630460364,28.354546352198074,138.04,49.84383612845223,132.6087074792,49.5266743286605,132.6087074792,49.5266743286605,189.0898789234,142.05279437586506,217,0,2020
2020-08-04,PL,5,28.675,12.612803514683007,0.2,0.4,0,0.4,1.4558270324,1.504142587803449,3.1490848866,4.8628406010887195,2.2946000908,3.126274984566431,0.8378361544,1.7196590703847396,0.8378361544,1.7196590703847396,17.596293473,25.07629805406653,217,0,2020
2020-08-10,BN,5,23.675,2.6569484375877526,1,0,0,0,6.7323864694,4.008016869142402,29.927565884,7.664981070755736,6.744,4.028067775000812,0,0,0,0,0,0,223,0,2020
2020-08-10,DL,5,22.425,2.507177197567017,0,0,0,1,1.9563469599999999,0.7563205741295722,5.4610952004,2.0322083073288573,6.214,3.9769624086732325,4.2517203098,3.559993012067396,4.2517203098,3.559993012067396,6.7774981232,5.538167321550028,223,0,2020
