site,date,epil_gm2,fila_gm2,epil_chla_mgm2,fila_chla_mgm2,GPP,ER,NPP,light,fila_prod_gCd,fila_turnover,epil_prod_gCd,epil_turnover
BM,2021-06-22,11.626046066571645,63.694188042486736,20.491566566965677,105.0963705416693,11.669565230063874,-11.760678079252152,4.351049002721234,0.9636794197073885,2.0937418638495506,15.210611475613975,1.5460244296447487,3.759981357229627
BM,2021-06-23,11.85697782648919,65.45145862337921,20.78838777331336,108.36496467088888,10.263864418808105,-10.889731397974186,3.8269272387688194,0.951244862615027,2.1310029570231674,15.356961004598842,1.5481810247751626,3.829325394364377
BM,2021-06-24,12.09180205199721,67.24959413501448,21.088272045243848,111.73784498297094,10.594337628784247,-11.399018551191066,3.9501456365706806,0.9213093935240003,2.1281813090720867,15.799780274439147,1.5210906659651064,3.974714434371065
BM,2021-06-25,12.330131318769311,69.08197291479169,21.390264873896488,115.22243324180162,9.23942463487412,-10.446795978105836,3.444960334916179,0.8390611829712108,1.9986350836845308,17.282287666900515,1.4051361244272995,4.387522000331029
BM,2021-06-26,12.571545836989385,70.94119069193087,21.69335975468284,118.8267600011996,9.871222938781209,-11.22201530437662,3.6805291265498035,0.9624637535001452,2.364293960232573,15.002616401590025,1.6346312906395126,3.8453766023502007
BM,2021-06-27,12.8155923141062,72.8190279279453,21.996497511933537,122.55951027724186,11.258173135045409,-11.351046666308989,4.197659640781167,0.9587490241925545,2.4291525331092894,14.988566369427966,1.6510760416216348,3.8809818539669223
BM,2021-06-28,13.06178296401396,74.70642593744634,22.298566090479195,126.4300738743589,12.833302115754062,-12.383912626350549,4.784953446981707,0.9643024424133539,2.5203827164673016,14.820452752937205,1.6834445270253207,3.879481252374376
BM,2021-06-29,13.309594683608532,76.59347339833384,22.598400854357237,130.44860089989996,12.760551572715285,-13.12878299038158,4.757828085282643,0.972842236058871,2.6235217989928628,14.597453207314137,1.7211896739162602,3.866393949867513
BM,2021-06-30,13.558468418555814,78.46940491314024,22.89478543271925,134.62606306239329,12.625106883277605,-13.635727380201647,4.707326933844418,0.9686533919502578,2.695878924673477,14.553584768767834,1.7362553140837327,3.9045145920002473
BM,2021-07-01,13.807808740794917,80.32261329729026,23.186453152186303,138.9743214167202,11.196290269129529,-14.891865009827796,4.174586340557852,0.8571193790689771,2.4625140148859677,16.30906724017361,1.5559091702711854,4.437215553652242
BM,2021-07-02,14.05698366078565,82.14067723816201,23.472089093321717,143.5062012968913,11.947871135498316,-13.046010101847097,4.454816590323581,0.9311953345509916,2.762576379969065,14.866679856120724,1.711201463721344,4.107343278627163
BM,2021-07-03,14.305324697739438,83.91040588356448,23.75033280647484,148.23557526476864,13.442857997310815,-13.722466751496354,5.012229053078633,0.9944518109865648,3.0474670625728058,13.76723753869281,1.8491070282228996,3.8681710899903115
BM,2021-07-04,14.552127231025688,85.61790177285424,24.019781718953144,153.17745500275635,12.73088069086772,-13.963230624364558,4.746765165771288,0.9006144318652957,2.8519150557397093,15.010598159391407,1.6936223065309457,4.296154808220753
BM,2021-07-05,14.796651155582504,87.24864331237826,24.278995261237966,158.34809319174397,13.005949942784005,-14.870982306526516,4.849325952795835,0.9763144297487119,3.1959897698038766,13.649706287660038,1.8557908332008757,3.9866160805582758
BM,2021-07-06,15.038121863452153,88.7875877146361,24.526499734739236,163.76509654456137,14.23672490416108,-15.65119963625259,5.308225840040792,0.9865796128145461,3.3400757521961966,13.29125359750534,1.8944202017314926,3.9690565613973523
BM,2021-07-07,15.275731572470928,90.21929496459012,24.760793937350797,169.4475513119621,8.588743422360153,-15.157896862201364,3.2023509673019888,0.7161907465440543,2.5088045983005376,17.980534439729702,1.3883593136879981,5.50136100282747
BM,2021-07-08,15.508132606668854,91.5258674778879,24.980397913086392,175.39596927117248,14.019784128160714,-14.81891225185987,5.227338512324916,0.988586632402908,3.5845709157793246,12.766642037264477,1.9334043541177501,4.010576621915573
BM,2021-07-09,15.73185761754232,92.68027705230725,25.183989794820896,181.52619047162577,16.35527916777175,-16.331215050940568,6.0981381661783765,0.8661766152336771,3.2504881156453944,14.256363006868785,1.7078101720279513,4.605856633018356
BM,2021-07-10,15.94275640683724,93.65288620280032,25.370290460368803,187.7195994436957,21.10332263727629,-24.016946032216698,7.868467171207787,0.9896842679296448,3.8406888085109108,12.192199221565007,1.9657609921696917,4.055110583215043
BM,2021-07-11,16.136515591920514,94.41406588846804,25.53802873775566,193.84120306852205,18.25821602403762,-18.03501243823617,6.8076565884556866,0.9844667640295276,3.945027088782771,11.966212622078507,1.9683260343916125,4.0990454096463065
BM,2021-07-12,16.308695180493974,94.9347524626102,25.685948682011464,199.73972295147857,21.08182644216505,-19.71876143742852,7.860452219797249,0.9759638238454346,4.0299624302058366,11.77861507480124,1.9626277590527912,4.15481109580477
BM,2021-07-13,16.45477609881132,95.187076062115,25.81281726017111,205.24875528067687,17.791984952684853,-19.74434119334653,6.633820271673215,0.9610249744453617,4.07772600018162,11.671588044154438,1.9421317469536648,4.236266701427825
BM,2021-07-14,16.570218767012324,95.14504839921187,25.917432402753775,210.18917307775223,20.24849637397017,-20.83123161916771,7.549741418608549,0.9707709719228916,4.218227099769758,11.277848032933687,1.9697783632957078,4.206112493612756
BM,2021-07-15,16.650701430771168,94.78782591607664,25.998859735253863,214.375534180398,19.41104463142056,-19.404298047178816,7.237493832909275,0.9649809943213299,4.27658209866818,11.082194113097422,1.9641817317427863,4.238584740322698
