site,date,epil_gm2,epip_gm2,epi_gm2,fila_gm2,filaepip_gm2,epil_chla_mgm2,epip_chla_mgm2,epi_chla_mgm2,fila_chla_mgm2,filaepip_chla_mgm2,GPP,ER,NPP,light,NPP_light,fila_prod_gCd,fila_turnover,epip_prod_gCd,epip_turnover,epil_prod_gCd,epil_turnover
GR,2021-06-22,15.02808210915154,0.00516574223604446,15.251581040716571,0,0,25.071119979865376,0.00184725756137266,24.85987332873625,0,0,11.169412724372444,-9.368320713073096,7.794959146936522,0.9234165150819057,8.441433545560013,0,NA,2.244718540362669e-5,NA,1.500486665574265,5.007735974581289
GR,2021-06-23,15.064006183069758,0.00519127604158931,15.265927743198713,0,0.00239354157321181,25.260677447165996,6.605728503295549e-4,24.65402862464217,0,0,7.202272832826459,-7.788725834975496,5.026354015414659,0.9176006404533973,5.477714153437249,0,NA,7.976479095367209e-6,NA,1.5023096916074723,5.013615457326665
GR,2021-06-24,15.099988535114726,0.00521754864284798,15.280709967688356,0,0.00623501244055957,25.452057478197514,0,24.45676411115704,0,0,7.223173139306665,-8.50953951111218,5.04094001372916,0.9254071000185513,5.447267493007247,0,NA,0,NA,1.5265691798410317,4.945726906620489
GR,2021-06-25,15.13600533286517,0.00524529603331316,15.296351928734971,0.00486152493819547,0.01012040889936771,25.645749473679587,0,24.2748437325903,0,0,5.933728547761965,-8.339926863583713,4.141056719829845,0.819207376668522,5.054955360229199,0,NA,0,NA,1.3616641933559426,5.557906790352303
GR,2021-06-26,15.17203252630307,0.0052752546292199,15.31327960061266,0.01179380358240578,0.01406024676178518,25.842256661597656,0,24.11485722727327,0,0,5.960742859723982,-7.797106388349667,4.159909587328155,0.9118793895771938,4.56190767647129,0,NA,0,NA,1.5273149502060992,4.966897143335015
GR,2021-06-27,15.208045847478662,0.00530816133580727,15.331921002226826,0.01879838813592249,0.01806530466307721,26.042096552750184,0,23.983268668839397,0,0,5.61717227239873,-7.484772802470823,3.9201370264624003,0.9001764234960737,4.3548541420775155,0,NA,0,NA,1.519372796820499,5.00471177294461
GR,2021-06-28,15.2440208105429,0.0053447536400901,15.352706596164738,0.0258762290601231,0.02214663391681415,26.245801492222753,0,23.886481635633384,0.01547450180172393,0,6.43722149693424,-8.404412670108064,4.492436605811181,0.9175383879847757,4.8961838160015185,7.373500362326449e-5,NA,0,NA,1.5607913539982006,4.883426849941556
GR,2021-06-29,15.279932712154904,0.00538576973017831,15.376069803138249,0.03302829271396845,0.02631557027197295,26.453919311496872,0,23.83092091499296,0.03764276926749632,0.00283693873718693,6.503739891479044,-8.852105634051304,4.538858757162535,0.928530181864362,4.88821887087087,1.8151410451372002e-4,NA,0,NA,1.5920137601562838,4.798932363076721
GR,2021-06-30,15.315756632269258,0.00543194864119769,15.402447633402998,0.04025556164510635,0.03058374765639981,26.667014086203835,0,23.823131185399472,0.06113102502007939,0.01754598970283849,6.2165738699400475,-8.27421317715355,4.338450064107409,0.9254964945634919,4.6877001583389335,2.9381180604556173e-4,NA,0,NA,1.5995946245343025,4.7873868783249405
GR,2021-07-01,15.351467435309884,0.00548403042786946,15.43228143717055,0.0475590348867867,0.03496311399703433,26.885667004895883,0,23.86989378367292,0.08613480496765025,0.03374018964112935,5.741272301009219,-8.037226784513104,4.0067445032406175,0.877399490276787,4.566613666457269,3.924721452298773e-4,NA,0,NA,1.5288995774761596,5.020430269413579
GR,2021-07-02,15.387039771734406,0.00554275636384621,15.466017776546336,0.05493972826070492,0.03946594921428903,27.110477354624415,0,23.978363471629734,0.11286021445852112,0.05163746720423079,6.853905242976391,-7.832113857121982,4.783233701212948,0.9040159067507824,5.291094620674172,5.298460855125918e-4,NA,0,NA,1.58845166558031,4.843408239970918
GR,2021-07-03,15.422448079997094,0.00560886916787886,15.504109422143424,0.06239867468595961,0.04410488549602121,27.34206362959895,0,24.156228093087247,0.14152531982067762,0.0714707962794503,7.25458761182075,-7.961390693610999,5.062863684732517,0.9699325556754953,5.219810032262047,7.128669301794189e-4,NA,0,NA,1.7188326464131158,4.486314625272239
GR,2021-07-04,15.457666588913163,0.00568311325695136,15.54701647822777,0.06993692449414002,0.04889292996572858,27.581064769751507,0,24.411895197612974,0.17236175828169964,0.09349088617892498,7.451327489738062,-8.429727262077716,5.2001653807825114,0.9004774764343281,5.774897781312535,8.060213706807168e-4,NA,0,NA,1.6096989101162793,4.801415498192936
GR,2021-07-05,15.492669320432707,0.00576623502652687,15.595207641068344,0.07755554575084433,0.05384348987014364,27.828141536660556,0,24.75471115924315,0.20561659052648595,0.11796932621331968,7.745396989262924,-7.876459136294998,5.405391903583885,0.832475867830539,6.493151468366914,8.889198270145728e-4,NA,0,NA,1.5014698779708313,5.1591675423320345
GR,2021-07-06,15.527430092826997,0.00585898315807173,15.649161596081631,0.08525562458362757,0.05897040042308932,28.083978034989865,0,25.19522011605696,0.2415544245080787,0.14520225292394007,8.478553510682696,-8.41242188991016,5.917050419013871,0.9704716620537588,6.09708727248349,0.001217392556232319,NA,0,NA,1.7664536670936617,4.395085583641208
GR,2021-07-07,15.561922524294465,0.00596210895405874,15.709368560401115,0.0930382655166102,0.06428795545573152,28.34928338839576,0,25.745472308659636,0.28045984427281656,0.17551462341334223,6.337325647401716,-7.038273866626971,4.422720848566811,0.7462245745355033,5.926796033646825,0.001086858540278709,NA,0,NA,1.3711103206557418,5.674934500110787
