site,date,doy,epilithon_gm2,filamentous_gm2,epilithon_chla_mgm2,filamentous_chla_mgm2,NPP,NPP_chla,year,site_year,epilithon_gm2_upper,epilithon_gm2_lower,filamentous_gm2_upper,filamentous_gm2_lower,epilithon_chla_upper,epilithon_chla_lower,filamentous_chla_upper,filamentous_chla_lower,frac_fila,frac_fila_upper,frac_fila_lower,NPP_mod,NPP_upper,NPP_lower,PAR_bc_Jm2
GR,2020-07-13,195,18.055649064328342,52.63466806180438,47.352687047009276,132.15823792454486,NA,NA,2020,GR_2020,27.868805339290144,11.71356110150475,109.30237154644813,16.840169803977474,68.82642854511512,31.991816601240213,265.7435406930682,49.97550421598946,0.7293157357326217,0.8683741269847305,0.4869931730227254,5.805188540137795,14.123329810506352,0.0451692254936464,33.74107206584687
GR,2020-07-14,196,18.894824424256136,55.89431563830444,46.827510693338795,119.10888839181236,5.746111115532759,5.746111115532759,2020,GR_2020,24.35165201937567,13.261864985968373,107.84312291951937,23.133384230857555,61.53908597321636,34.07110803930019,231.9250640293501,51.9635397168235,0.7411539401841637,0.8672914602921484,0.5224001639207053,5.764447048893671,6.6595510633776325,4.803846384627655,35.27072464347829
GR,2020-07-15,197,19.70074662837343,58.94632745218947,47.91505395780923,126.34784043301177,6.095075177752801,6.095075177752801,2020,GR_2020,25.539585537002836,13.872017097628005,123.63251971360731,23.756631883911034,62.84616666732652,34.90058458944546,249.24993807606037,53.64883486600922,0.7461981279485648,0.8728322854552109,0.4999293996847046,6.08916247272921,7.0227033855731955,5.14455765752462,34.55247928579093
GR,2020-07-16,198,20.01358494005474,57.43757487296738,49.51755841500945,131.8747054121595,6.416918514998095,6.416918514998095,2020,GR_2020,25.525528183207406,13.919049950611956,119.52774939790882,25.790172579679904,64.2317896960384,35.89418186454871,260.3517002438729,52.59798768507515,0.7343798166208804,0.876911921513041,0.5364172677328624,6.412398493704319,7.305842837097424,5.47915800646442,34.12305491855473
GR,2020-07-17,199,16.804866225794136,51.31660784997377,42.708488178841904,116.20973521033618,4.770576216023699,4.770576216023699,2020,GR_2020,22.65568171499968,11.857895223752678,106.2498923360252,20.067991914232767,55.90211396211457,30.346780563200355,217.96418176739888,48.16327687834165,0.7445232822260935,0.8744784458971759,0.51301455083495,4.790322366897884,5.695582379156187,3.8493479602311793,31.729018746206886
GR,2020-07-18,200,19.168359341230612,52.846845773958705,46.56593007477381,131.59974388949513,5.9692751762503695,5.9692751762503695,2020,GR_2020,25.352350341320804,13.519665004424038,108.20289011750654,20.78838594492061,60.73053306288168,33.49361669282861,249.0211443439772,53.20916288981204,0.7251881850208328,0.8635240172309954,0.5103960683069072,5.93702428537936,6.87615771289055,4.995896482828047,33.81548632038321
GR,2020-07-19,201,18.746965434363098,54.63693337031484,47.2754256332118,135.18641157287053,6.186758424413997,6.186758424413997,2020,GR_2020,24.91992568130384,12.647853243540158,114.52021829999873,23.907627410933323,61.8625900022439,35.07677539607298,254.0985399076068,59.68705023957473,0.738151266465187,0.8717975530205886,0.5424852389928613,6.169133103691044,7.134952636998382,5.22555371015521,33.68890292933225
GR,2020-07-20,202,22.4024713732,63.75577531220001,65.76899037,157.28724219999998,5.988930061229449,5.988930061229449,2020,GR_2020,52.3680702895872,0,201.42809754565957,0,194.71206139030463,0,537.3678240525987,0,NA,NA,NA,6.024924896230492,6.9384141356019144,5.1024792945744535,33.4528644220459
GR,2020-07-21,203,18.5156910540084,56.753760279589265,46.03984416097197,134.51935273291673,5.945992124419095,5.945992124419095,2020,GR_2020,24.630114369146213,13.060391602088336,111.3307991161022,21.66148947700212,59.82601729866422,33.074746835577265,245.43379029547194,52.420384245818106,0.7451964722311317,0.8698491146615511,0.5170128846626431,5.900943574653519,6.861901072807166,4.9367430896179485,33.226467746042516
GR,2020-07-22,204,17.640560669616292,50.171718308972025,42.17719398074182,116.97092369096036,5.173148599613756,5.173148599613756,2020,GR_2020,23.032603673724545,12.311732838792084,106.91868852315974,21.4334339172523,55.08925368419868,30.595087708354892,227.2707177626653,48.87938572565203,0.739864799320155,0.8736049111831696,0.5170779748334091,5.1861079311659495,6.097166668162289,4.249401669222618,32.65115260571764
