time,do,temp
2020-08-22 23:45:09,324.7690692,20.71
2020-08-23 00:00:09,321.1601841,20.71
2020-08-23 00:15:09,316.8357224,20.71
2020-08-23 00:30:09,311.078145,20.71
2020-08-23 00:45:09,305.8890438,20.70908829
2020-08-23 01:00:09,299.1090783,20.61407781
2020-08-23 01:15:09,291.313192,20.519
2020-08-23 01:30:09,284.1735901,20.51717658
2020-08-23 01:45:09,276.7500072,20.32808742
2020-08-23 02:00:09,269.1591212,20.23298656
2020-08-23 02:15:09,261.5893819,20.13708829
2020-08-23 02:30:09,252.2430446,20.04208742
2020-08-23 02:45:09,246.6714201,19.94699712
2020-08-23 03:00:09,240.0591849,19.85208829
2020-08-23 03:15:09,234.5547965,19.75616523
2020-08-23 03:30:09,228.17387,19.56599712
2020-08-23 03:45:09,225.0246759,19.47108829
2020-08-23 04:00:09,220.5912419,19.37517483
2020-08-23 04:15:09,217.2837218,19.18599712
2020-08-23 04:30:09,214.9380072,19.09016699
2020-08-23 04:45:09,213.089776,18.90008742
2020-08-23 05:00:09,211.0313349,18.80499712
2020-08-23 05:15:09,209.2253987,18.70917658
2020-08-23 05:30:09,207.9981631,18.52008742
2020-08-23 05:45:09,206.8936873,18.42499712
2020-08-23 06:00:09,205.8834783,18.32916699
2020-08-23 06:15:09,205.3525086,18.13908742
2020-08-23 06:30:09,204.7019147,18.04399712
2020-08-23 06:45:09,204.605325,17.94817658
2020-08-23 07:00:09,204.3351324,17.75908742
2020-08-23 07:15:09,204.0821219,17.66399712
2020-08-23 07:30:09,204.0975208,17.56908829
2020-08-23 07:45:09,203.8622936,17.47316523
2020-08-23 08:00:09,203.8480684,17.28299712
2020-08-23 08:15:09,204.3220552,17.18808829
2020-08-23 08:30:09,204.6467918,17.09308742
2020-08-23 08:45:09,205.1385875,16.99698369
2020-08-23 09:00:09,205.4040314,16.80708829
2020-08-23 09:15:09,205.5663996,16.71208742
2020-08-23 09:30:09,206.0196787,16.61699712
2020-08-23 09:45:09,206.7573311,16.52207869
2020-08-23 10:00:09,207.3925655,16.42608742
2020-08-23 10:15:09,207.6947615,16.33099712
2020-08-23 10:30:09,208.3624967,16.23607869
2020-08-23 10:45:09,208.9052937,16.14008742
2020-08-23 11:00:09,209.4095364,16.04499712
2020-08-23 11:15:09,209.7934769,15.95007869
2020-08-23 11:30:09,210.5851083,15.85408742
2020-08-23 11:45:09,211.2534837,15.75898656
2020-08-23 12:00:09,211.4685701,15.66308829
2020-08-23 12:15:09,212.279148,15.56807781
2020-08-23 12:30:09,213.0678052,15.47199712
2020-08-23 12:45:09,213.4973734,15.37707869
2020-08-23 13:00:09,214.9425539,15.282
2020-08-23 13:15:09,217.3387241,15.28099712
2020-08-23 13:30:09,219.847354,15.18607869
2020-08-23 13:45:09,224.1669923,15.091
2020-08-23 14:00:09,228.5949614,15.08999712
2020-08-23 14:15:09,233.3781797,14.996
2020-08-23 14:30:09,238.6868986,14.996
2020-08-23 14:45:09,245.0921165,14.99700288
2020-08-23 15:00:09,251.709117,15.091
2020-08-23 15:15:09,258.4542325,15.09192219
2020-08-23 15:30:09,264.9690933,15.18800288
2020-08-23 15:45:09,271.2916302,15.28292131
2020-08-23 16:00:09,277.9300695,15.37983477
2020-08-23 16:15:09,284.2025888,15.57101631
