"","date","GPP.daily","GPP.daily.lower","GPP.daily.upper","ER.daily","ER.daily.lower","ER.daily.upper","K600.daily","K600.daily.lower","K600.daily.upper","warnings","errors"
"1",2020-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"overall warnings","data don't start when expected"
"2",2020-08-22,17.9767831907974,14.9412797066313,20.990487960981,-13.1472704504938,-16.365471845078,-9.83677098758282,10.6124574694494,8.87581454658382,12.3396639089376,"overall warnings",""
"3",2020-08-23,17.0844853375558,14.1665646193583,19.8458957861297,-13.2219000531832,-16.3153995322014,-9.94704723304221,10.216900415573,8.58859151295346,11.8669123076589,"overall warnings",""
"4",2020-08-24,10.4789225026712,8.3531855758689,12.6504348975231,-12.5103279929652,-15.8183278686075,-8.99095937811592,10.8252497054957,8.8525547704744,12.874781643468,"overall warnings",""
"5",2020-08-25,9.61283810714726,7.36782493549942,11.8813386820418,-10.5262894095091,-13.855878746818,-7.10223041185923,10.9428165832804,8.78291040524546,13.1529297127376,"overall warnings",""
"6",2020-08-26,12.123205618682,9.95400054276873,14.4588830300349,-9.79565495752484,-12.8352197110927,-6.5392267879445,9.10808658411408,7.54704142001883,10.7659078003791,"overall warnings",""
"7",2020-08-27,12.4426938288914,9.89237415620941,14.8735256190826,-11.2833733397329,-14.6719768655559,-7.88279191872159,10.5656546057904,8.67177525610088,12.6453803320316,"overall warnings",""
"8",2020-08-28,15.5999735995555,12.6376134000575,18.6791738790166,-11.6990877981545,-15.2518390950707,-8.26656271944662,10.5751860278069,8.7004276673864,12.4436941197257,"overall warnings",""
"9",2020-08-29,16.3881274245733,13.3749319867909,19.305134618882,-12.1377451366677,-15.387552419513,-8.66549580172813,10.8700239843836,8.97323843549523,12.7548575321465,"overall warnings",""
"10",2020-08-30,15.7463191362519,12.8864088667373,18.5960967363128,-10.7007761845793,-13.9393316406872,-7.46579400027661,10.8463282627045,9.03536803225793,12.7219615567325,"overall warnings",""
"11",2020-08-31,8.98151819069907,7.03432613758918,11.0422567701877,-8.13643121403475,-11.357227977492,-5.04630816969234,10.0195304519076,8.1986624012238,12.0839014069235,"overall warnings",""
"12",2020-09-01,13.0466665360623,10.3488263961316,15.7975948913605,-7.88508565277054,-11.0556999373705,-4.84224285012999,10.1480217256766,8.38604671185094,12.03688149948,"overall warnings",""
"13",2020-09-02,16.8590801164652,13.5964663114,19.8466470491902,-11.8828619843934,-15.2540811064787,-8.56374324295128,11.0766947290355,9.19222893833591,13.1190055541232,"overall warnings",""
"14",2020-09-03,19.9778533508053,17.0261287741261,23.1929141884136,-12.7626633858445,-15.8101823659787,-9.48200819989576,10.7175419115327,9.09159287334127,12.4502651181637,"overall warnings",""
"15",2020-09-04,22.174368094127,18.7117743133192,25.7188853395314,-13.4962388376956,-16.7433358966094,-10.2242242942897,11.3610438848844,9.61373159617282,13.0692364039211,"overall warnings",""
"16",2020-09-05,23.1962309567264,20.1067788300547,26.2792401120426,-13.8794981948981,-17.0235944899885,-10.8039248156851,10.6296611900765,9.24511792861795,12.0692123907221,"overall warnings",""
"17",2020-09-06,23.8047034165903,20.3909742080615,26.9224163681679,-14.4101197709261,-17.5317886671955,-11.1539410630724,10.4621337423424,8.97570855835742,11.942095691271,"overall warnings",""
"18",2020-09-07,9.45085994220785,7.1156465837835,11.8287999948081,-7.82578235016869,-11.2449497238284,-4.62320821057495,11.1143631066202,9.0301828817474,13.4741433651387,"overall warnings",""
"19",2020-09-08,15.8002684883525,13.0679408508415,18.7092926321593,-8.57758223805385,-11.5004015659845,-5.55602626989289,11.133450008282,9.34228077319626,13.1821165182936,"overall warnings",""
"20",2020-09-09,20.9009752314471,18.1337410924893,24.1439778170151,-11.5131306988481,-14.6977139754192,-8.40122457710205,11.2899614610957,9.83355396616028,13.0227581789968,"overall warnings",""
"21",2020-09-10,21.8331688380765,19.0623684029005,24.7770443139011,-12.9103972950046,-16.1157281734319,-9.87093156320097,10.1403681301481,8.75553201278516,11.5182434663374,"overall warnings",""
"22",2020-09-11,26.8042270212136,23.870052649452,29.7314056020016,-15.579883938091,-18.5359581273354,-12.535928217341,9.85194728843061,8.60547951798283,11.0021974116636,"overall warnings",""
"23",2020-09-12,22.2879267723,19.0402599778062,25.4763527762289,-12.8468414238389,-15.9090944721805,-9.65665222938609,11.1144559073073,9.4976878922699,12.7218629846635,"overall warnings",""
"24",2020-09-13,25.2411873362163,21.8965238993405,28.5612201719038,-14.5062132781641,-17.4994422680099,-11.310486913891,13.3341365395407,11.5241776207221,15.262757455389,"overall warnings",""
"25",2020-09-14,15.4321154228638,12.8530404506722,17.9639113888713,-9.63133901719896,-12.5506340821061,-6.62975240063508,10.2319079440116,8.52216533421664,11.845453549353,"overall warnings",""
"26",2020-09-15,29.1825181544417,25.7186108040019,32.9547000256975,-13.6293507840059,-16.7464142263159,-10.5159088005997,13.4004725797822,11.6530519994219,15.1964426384352,"overall warnings",""
"27",2020-09-16,22.9782919993233,19.9539370419751,26.4967567538456,-9.43334792252613,-12.486362800076,-6.51706182638622,11.40633599422,9.82880203775133,13.1030501653974,"overall warnings",""
"28",2020-09-17,28.1128848209953,24.9823804265271,31.2028802135371,-14.346046284798,-17.2653037595547,-11.3392430390389,12.5953456896394,11.0842466436252,14.169878250886,"overall warnings",""
"29",2020-09-18,19.7499558639761,17.0345828672251,22.4019278930724,-11.2412175061606,-14.0711493015701,-8.28523991095773,11.2332746398585,9.63792670595301,12.8427454688584,"overall warnings",""
