site,date,light_hrs,LAI,PAR_inc,PAR_surface
PL,2021-03-23,12,0.21508337610542977,7619.016664,7619.016664
PL,2021-03-24,12,0.21753478030925277,9353.849623999999,9353.849623999999
PL,2021-03-25,12,0.2199861845130758,10638.214552,10638.214552
PL,2021-03-26,12,0.22254081213891563,7725.9131879999995,7725.9131879999995
PL,2021-03-27,12,0.22540511003080582,12143.230344,12143.230344
PL,2021-03-28,12,0.228269407922696,12479.960948,12479.960948
PL,2021-03-29,12,0.2311337058145862,7471.095856,7471.095856
PL,2021-03-30,12,0.23411456372234438,9914.482424,9914.482424
PL,2021-03-31,12,0.23744510167770655,12906.722584,12906.722584
PL,2021-04-01,12,0.24077563963306872,12535.93544,12535.93544
PL,2021-04-02,12,0.24410617758843092,12392.03546,12392.03546
PL,2021-04-03,12,0.24756821405979118,11492.27478,11492.27478
PL,2021-04-04,12,0.2514247460791458,12017.83632,12017.83632
PL,2021-04-05,12,0.2552812780985004,7756.177212,7756.177212
PL,2021-04-06,12,0.25913781011785497,12958.77772,12958.77772
PL,2021-04-07,13,0.26314256878306663,13205.303944,13194.9538
PL,2021-04-08,13,0.2675920073858495,7067.581878,7067.581878
PL,2021-04-09,13,0.2720414459886324,13328.698123999999,13328.698123999999
PL,2021-04-10,13,0.27649088459141524,6529.245435999999,6529.245435999999
PL,2021-04-11,14,0.28110727712429406,6783.965523999999,6778.587508
PL,2021-04-12,14,0.2862245314474607,10030.207011999999,10030.207011999999
PL,2021-04-13,14,0.2913417857706273,12134.106319999999,12134.106319999999
PL,2021-04-14,14,0.296459040093794,9081.667896,9081.667896
PL,2021-04-15,14,0.30176420859928893,12176.084017999998,12176.084017999998
PL,2021-04-16,14,0.30763311965176876,12543.490876,12543.490876
PL,2021-04-17,14,0.3135020307042486,13529.684559999998,13529.684559999998
PL,2021-04-18,14,0.3193709417567285,12050.298904,12050.298904
PL,2021-04-19,14,0.32545122098415086,11855.93563,11855.93563
PL,2021-04-20,14,0.332165604736401,13342.413756,13342.413756
PL,2021-04-21,14,0.3388799884886511,14984.907195999998,14984.907195999998
PL,2021-04-22,14,0.3455943722409012,11025.528948,11025.528948
PL,2021-04-23,14,0.3525463622314917,11788.746368,11788.746368
PL,2021-04-24,14,0.3602111709371031,11488.368107999999,11488.368107999999
PL,2021-04-25,14,0.36787597964271446,11076.49326,11076.49326
PL,2021-04-26,14,0.3755407883483258,12848.029488,12848.029488
PL,2021-04-27,14,0.38347254686263144,13151.599887999999,13151.599887999999
PL,2021-04-28,14,0.39220515480301993,14751.018463999999,14751.018463999999
PL,2021-04-29,14,0.4009377627434084,14191.785131999999,14191.785131999999
PL,2021-04-30,14,0.40967037068379686,14702.916508,14702.916508
PL,2021-05-01,14,0.4187027269723068,12012.923384,12012.923384
PL,2021-05-02,14,0.42863432830518117,9715.381675999999,9715.381675999999
PL,2021-05-03,14,0.43856592963805546,12690.718292,12690.718292
PL,2021-05-04,14,0.4484975309709298,10534.818812,10534.818812
PL,2021-05-05,14,0.4587654911435786,15330.96054,15330.96054
PL,2021-05-06,14,0.4700425278355508,15141.224812,15141.224812
PL,2021-05-07,14,0.48131956452752295,9455.528795999999,9455.528795999999
PL,2021-05-08,14,0.4925966012194951,6172.047084,6172.047084
PL,2021-05-09,14,0.5042507002560486,10880.322515999998,10880.322515999998
PL,2021-05-10,14,0.5170359863263458,9528.49562,9528.49562
PL,2021-05-11,14,0.5298212723966432,10791.902352,10791.902352
PL,2021-05-12,14,0.5426065584669406,12369.643971999998,12369.643971999998
PL,2021-05-13,14,0.5558136008608934,15636.58152,15636.58152
PL,2021-05-14,14,0.5702859122258129,13291.271868,13291.271868
PL,2021-05-15,14,0.5847582235907325,15057.19754,15057.19754
PL,2021-05-16,14,0.5992305349556519,15878.972759999999,15878.972759999999
PL,2021-05-17,14,0.6141717009088208,15747.0803,15747.0803
PL,2021-05-18,14,0.6305194306267375,12455.472371999998,12455.472371999998
PL,2021-05-19,14,0.6468671603446543,8765.519196,8765.519196
PL,2021-05-20,15,0.663214890062571,6650.3184439999995,6650.3184439999995
PL,2021-05-21,15,0.6800740492608361,9206.17404,9206.17404
PL,2021-05-22,15,0.6984674969001465,16157.466891999999,16157.466891999999
PL,2021-05-23,15,0.716860944539457,9496.857495999999,9496.857495999999
PL,2021-05-24,16,0.7352543921787675,9879.203991999999,9879.203991999999
PL,2021-05-25,16,0.7541720261313745,15284.985267999999,15284.985267999999
PL,2021-05-26,16,0.774662219023871,10335.870272,10335.870272
PL,2021-05-27,16,0.7951524119163675,15424.699528,15424.699528
PL,2021-05-28,16,0.8156426048088641,14757.111012,14757.111012
PL,2021-05-29,16,0.8365571730744581,16812.5363,16812.5363
PL,2021-05-30,16,0.8587448674593448,16860.828515999998,16860.828515999998
PL,2021-05-31,16,0.8809325618442315,15914.21314,15914.21314
PL,2021-06-01,16,0.9031202562291182,14843.835748,14843.835748
PL,2021-06-02,16,0.9253048126862982,15566.35444,15566.35444
PL,2021-06-03,16,0.9474799553603579,15045.663556,15045.663556
PL,2021-06-04,16,0.9696550980344177,14390.5265,14390.5265
PL,2021-06-05,16,0.9918302407084776,15631.351483999999,15631.351483999999
PL,2021-06-06,16,1.012996851316081,12480.764267999999,12480.764267999999
PL,2021-06-07,16,1.0311378657243149,15717.289811999999,15717.289811999999
PL,2021-06-08,16,1.0492788801325488,13848.023363999999,13848.023363999999
PL,2021-06-09,16,1.067419894540783,13898.372501999998,13898.372501999998
PL,2021-06-10,16,1.0834968720717315,12038.676131999999,12038.676131999999
PL,2021-06-11,16,1.093381738970824,14084.897063999999,14084.897063999999
PL,2021-06-12,16,1.1032666058699165,13667.555412,13667.555412
PL,2021-06-13,16,1.113151472769009,15417.152548,15417.152548
PL,2021-06-14,16,1.121082129113871,15989.64066,15989.64066
PL,2021-06-15,16,1.123150153796041,15819.920284,15819.920284
PL,2021-06-16,16,1.125218178478211,16143.218531999999,16143.218531999999
PL,2021-06-17,16,1.1272862031603808,16097.002263999999,16097.002263999999
PL,2021-06-18,16,1.12828048508147,16035.59902,16035.59902
PL,2021-06-19,16,1.1260535387193165,14474.384651999999,14474.384651999999
PL,2021-06-20,16,1.1238265923571629,9719.0093,9719.0093
PL,2021-06-21,16,1.1215996459950093,15997.251059999999,15997.251059999999
PL,2021-06-22,16,1.1189244576971842,15722.261939999999,15722.261939999999
PL,2021-06-23,16,1.1149045435923448,15774.799067999998,15774.799067999998
PL,2021-06-24,16,1.1108846294875052,15669.458448,15669.458448
PL,2021-06-25,16,1.1068647153826658,14167.338835999999,14167.338835999999
PL,2021-06-26,16,1.1026591301356872,15509.9952,15509.9952
PL,2021-06-27,16,1.0978965314622913,15394.460872,15394.460872
PL,2021-06-28,16,1.0931339327888954,15676.857447999999,15676.857447999999
