Year,DOY,Hour,SW,sitecode,date
2020,189,12,12.208,BM,2020-07-07
2020,189,13,137.22,BM,2020-07-07
2020,189,14,267.95,BM,2020-07-07
2020,189,15,416.08,BM,2020-07-07
2020,189,16,533.8,BM,2020-07-07
2020,189,17,640.12,BM,2020-07-07
2020,189,18,616.34,BM,2020-07-07
2020,189,19,663.68,BM,2020-07-07
2020,189,20,671.84,BM,2020-07-07
2020,189,21,810.06,BM,2020-07-07
2020,189,22,709.17,BM,2020-07-07
2020,189,23,575.84,BM,2020-07-07
2020,190,0,427.97,BM,2020-07-08
2020,190,1,306.46,BM,2020-07-08
2020,190,2,174.69,BM,2020-07-08
2020,190,3,20.44,BM,2020-07-08
2020,190,4,0,BM,2020-07-08
2020,190,5,0,BM,2020-07-08
2020,190,6,0,BM,2020-07-08
2020,190,7,0,BM,2020-07-08
2020,190,8,0,BM,2020-07-08
2020,190,9,0,BM,2020-07-08
2020,190,10,0,BM,2020-07-08
2020,190,11,0,BM,2020-07-08
2020,190,12,8.192,BM,2020-07-08
2020,190,13,104.24,BM,2020-07-08
2020,190,14,204.7,BM,2020-07-08
2020,190,15,339.51,BM,2020-07-08
2020,190,16,436.01,BM,2020-07-08
2020,190,17,523.15,BM,2020-07-08
2020,190,18,601.22,BM,2020-07-08
2020,190,19,647.58,BM,2020-07-08
2020,190,20,655.61,BM,2020-07-08
2020,190,21,584.88,BM,2020-07-08
2020,190,22,512.02,BM,2020-07-08
2020,190,23,415.7,BM,2020-07-08
2020,191,0,330.64,BM,2020-07-09
2020,191,1,236.57,BM,2020-07-09
2020,191,2,134.54,BM,2020-07-09
2020,191,3,23.076,BM,2020-07-09
2020,191,4,0,BM,2020-07-09
2020,191,5,0,BM,2020-07-09
2020,191,6,0,BM,2020-07-09
2020,191,7,0,BM,2020-07-09
2020,191,8,0,BM,2020-07-09
2020,191,9,0,BM,2020-07-09
2020,191,10,0,BM,2020-07-09
2020,191,11,0,BM,2020-07-09
2020,191,12,9.944,BM,2020-07-09
2020,191,13,146.96,BM,2020-07-09
2020,191,14,290.29,BM,2020-07-09
2020,191,15,468.42,BM,2020-07-09
2020,191,16,602.15,BM,2020-07-09
2020,191,17,722.92,BM,2020-07-09
2020,191,18,821.08,BM,2020-07-09
2020,191,19,884.57,BM,2020-07-09
2020,191,20,895.68,BM,2020-07-09
2020,191,21,831.1,BM,2020-07-09
2020,191,22,727.56,BM,2020-07-09
2020,191,23,590.59,BM,2020-07-09
2020,192,0,449.49,BM,2020-07-10
2020,192,1,321.31,BM,2020-07-10
2020,192,2,182.26,BM,2020-07-10
2020,192,3,19.532,BM,2020-07-10
2020,192,4,0,BM,2020-07-10
2020,192,5,0,BM,2020-07-10
2020,192,6,0,BM,2020-07-10
2020,192,7,0,BM,2020-07-10
2020,192,8,0,BM,2020-07-10
2020,192,9,0,BM,2020-07-10
2020,192,10,0,BM,2020-07-10
2020,192,11,0,BM,2020-07-10
2020,192,12,4.24,BM,2020-07-10
2020,192,13,75.664,BM,2020-07-10
2020,192,14,150.41,BM,2020-07-10
2020,192,15,444.85,BM,2020-07-10
2020,192,16,572.46,BM,2020-07-10
2020,192,17,687.71,BM,2020-07-10
2020,192,18,805.12,BM,2020-07-10
2020,192,19,867.57,BM,2020-07-10
2020,192,20,878.59,BM,2020-07-10
2020,192,21,755.04,BM,2020-07-10
2020,192,22,660.93,BM,2020-07-10
2020,192,23,536.4,BM,2020-07-10
2020,193,0,395.06,BM,2020-07-11
2020,193,1,282.12,BM,2020-07-11
2020,193,2,159.58,BM,2020-07-11
2020,193,3,18.492,BM,2020-07-11
2020,193,4,0,BM,2020-07-11
2020,193,5,0,BM,2020-07-11
2020,193,6,0,BM,2020-07-11
2020,193,7,0,BM,2020-07-11
2020,193,8,0,BM,2020-07-11
2020,193,9,0,BM,2020-07-11
2020,193,10,0,BM,2020-07-11
2020,193,11,0,BM,2020-07-11
2020,193,12,6.288,BM,2020-07-11
2020,193,13,143.89,BM,2020-07-11
2020,193,14,287.89,BM,2020-07-11
2020,193,15,465.14,BM,2020-07-11
2020,193,16,599.22,BM,2020-07-11
2020,193,17,720.28,BM,2020-07-11
2020,193,18,823.45,BM,2020-07-11
2020,193,19,887.52,BM,2020-07-11
2020,193,20,898.93,BM,2020-07-11
2020,193,21,831.47,BM,2020-07-11
2020,193,22,727.78,BM,2020-07-11
2020,193,23,590.55,BM,2020-07-11
2020,194,0,441.97,BM,2020-07-12
2020,194,1,315.26,BM,2020-07-12
2020,194,2,177.8,BM,2020-07-12
2020,194,3,17.094,BM,2020-07-12
2020,194,4,0,BM,2020-07-12
2020,194,5,0,BM,2020-07-12
2020,194,6,0,BM,2020-07-12
2020,194,7,0,BM,2020-07-12
2020,194,8,0,BM,2020-07-12
2020,194,9,0,BM,2020-07-12
2020,194,10,0,BM,2020-07-12
2020,194,11,0,BM,2020-07-12
2020,194,12,4.304,BM,2020-07-12
2020,194,13,140.51,BM,2020-07-12
2020,194,14,283.06,BM,2020-07-12
2020,194,15,454.17,BM,2020-07-12
2020,194,16,585.74,BM,2020-07-12
2020,194,17,704.54,BM,2020-07-12
2020,194,18,782.16,BM,2020-07-12
2020,194,19,843.23,BM,2020-07-12
2020,194,20,854.15,BM,2020-07-12
2020,194,21,779.21,BM,2020-07-12
2020,194,22,681.99,BM,2020-07-12
2020,194,23,553.25,BM,2020-07-12
2020,195,0,434.99,BM,2020-07-13
2020,195,1,309.93,BM,2020-07-13
2020,195,2,174.22,BM,2020-07-13
2020,195,3,30.252,BM,2020-07-13
2020,195,4,0,BM,2020-07-13
2020,195,5,0,BM,2020-07-13
2020,195,6,0,BM,2020-07-13
2020,195,7,0,BM,2020-07-13
2020,195,8,0,BM,2020-07-13
2020,195,9,0,BM,2020-07-13
2020,195,10,0,BM,2020-07-13
2020,195,11,0,BM,2020-07-13
2020,195,12,2.352,BM,2020-07-13
2020,195,13,139.87,BM,2020-07-13
2020,195,14,283.81,BM,2020-07-13
2020,195,15,447.72,BM,2020-07-13
2020,195,16,578.09,BM,2020-07-13
2020,195,17,695.79,BM,2020-07-13
2020,195,18,809.26,BM,2020-07-13
2020,195,19,872.67,BM,2020-07-13
2020,195,20,884.1,BM,2020-07-13
2020,195,21,831.33,BM,2020-07-13
2020,195,22,727.52,BM,2020-07-13
2020,195,23,590.04,BM,2020-07-13
2020,196,0,448.1,BM,2020-07-14
2020,196,1,318.85,BM,2020-07-14
2020,196,2,178.6,BM,2020-07-14
2020,196,3,16.968,BM,2020-07-14
2020,196,4,0,BM,2020-07-14
2020,196,5,0,BM,2020-07-14
2020,196,6,0,BM,2020-07-14
2020,196,7,0,BM,2020-07-14
2020,196,8,0,BM,2020-07-14
2020,196,9,0,BM,2020-07-14
2020,196,10,0,BM,2020-07-14
2020,196,11,0,BM,2020-07-14
2020,196,12,0.312,BM,2020-07-14
2020,196,13,138.45,BM,2020-07-14
2020,196,14,283.07,BM,2020-07-14
2020,196,15,462.3,BM,2020-07-14
2020,196,16,597.62,BM,2020-07-14
2020,196,17,719.78,BM,2020-07-14
2020,196,18,819.84,BM,2020-07-14
2020,196,19,884.28,BM,2020-07-14
2020,196,20,895.95,BM,2020-07-14
2020,196,21,833.36,BM,2020-07-14
2020,196,22,729.22,BM,2020-07-14
2020,196,23,591.24,BM,2020-07-14
2020,197,0,444.83,BM,2020-07-15
2020,197,1,316.1,BM,2020-07-15
2020,197,2,176.39,BM,2020-07-15
2020,197,3,15.85,BM,2020-07-15
2020,197,4,0,BM,2020-07-15
2020,197,5,0,BM,2020-07-15
2020,197,6,0,BM,2020-07-15
2020,197,7,0,BM,2020-07-15
2020,197,8,0,BM,2020-07-15
2020,197,9,0,BM,2020-07-15
2020,197,10,0,BM,2020-07-15
2020,197,11,0,BM,2020-07-15
2020,197,12,0,BM,2020-07-15
2020,197,13,135.15,BM,2020-07-15
2020,197,14,278.55,BM,2020-07-15
2020,197,15,456.48,BM,2020-07-15
2020,197,16,590.82,BM,2020-07-15
2020,197,17,712.1,BM,2020-07-15
2020,197,18,811.38,BM,2020-07-15
2020,197,19,875.36,BM,2020-07-15
2020,197,20,887.01,BM,2020-07-15
2020,197,21,823.83,BM,2020-07-15
2020,197,22,720.78,BM,2020-07-15
2020,197,23,584.22,BM,2020-07-15
2020,198,0,441.62,BM,2020-07-16
2020,198,1,313.34,BM,2020-07-16
2020,198,2,174.15,BM,2020-07-16
2020,198,3,14.736,BM,2020-07-16
2020,198,4,0,BM,2020-07-16
2020,198,5,0,BM,2020-07-16
2020,198,6,0,BM,2020-07-16
2020,198,7,0,BM,2020-07-16
2020,198,8,0,BM,2020-07-16
2020,198,9,0,BM,2020-07-16
2020,198,10,0,BM,2020-07-16
2020,198,11,0,BM,2020-07-16
2020,198,12,0,BM,2020-07-16
2020,198,13,131.22,BM,2020-07-16
2020,198,14,272.68,BM,2020-07-16
2020,198,15,450.94,BM,2020-07-16
2020,198,16,584.4,BM,2020-07-16
2020,198,17,704.84,BM,2020-07-16
2020,198,18,804.53,BM,2020-07-16
2020,198,19,868.21,BM,2020-07-16
2020,198,20,879.87,BM,2020-07-16
2020,198,21,817.71,BM,2020-07-16
2020,198,22,715.31,BM,2020-07-16
2020,198,23,579.59,BM,2020-07-16
2020,199,0,434.43,BM,2020-07-17
2020,199,1,307.77,BM,2020-07-17
2020,199,2,170.31,BM,2020-07-17
2020,199,3,13.492,BM,2020-07-17
2020,199,4,0,BM,2020-07-17
2020,199,5,0,BM,2020-07-17
2020,199,6,0,BM,2020-07-17
2020,199,7,0,BM,2020-07-17
2020,199,8,0,BM,2020-07-17
2020,199,9,0,BM,2020-07-17
2020,199,10,0,BM,2020-07-17
2020,199,11,0,BM,2020-07-17
2020,199,12,0,BM,2020-07-17
2020,199,13,128.58,BM,2020-07-17
2020,199,14,269.53,BM,2020-07-17
2020,199,15,425.69,BM,2020-07-17
2020,199,16,552.38,BM,2020-07-17
2020,199,17,666.7,BM,2020-07-17
2020,199,18,779.05,BM,2020-07-17
2020,199,19,840.87,BM,2020-07-17
2020,199,20,852.25,BM,2020-07-17
2020,199,21,646.17,BM,2020-07-17
2020,199,22,565.18,BM,2020-07-17
2020,199,23,457.75,BM,2020-07-17
2020,200,0,347.58,BM,2020-07-18
2020,200,1,245.83,BM,2020-07-18
2020,200,2,135.42,BM,2020-07-18
2020,200,3,11.744,BM,2020-07-18
2020,200,4,0,BM,2020-07-18
2020,200,5,0,BM,2020-07-18
2020,200,6,0,BM,2020-07-18
2020,200,7,0,BM,2020-07-18
2020,200,8,0,BM,2020-07-18
2020,200,9,0,BM,2020-07-18
2020,200,10,0,BM,2020-07-18
2020,200,11,0,BM,2020-07-18
2020,200,12,0,BM,2020-07-18
2020,200,13,127.2,BM,2020-07-18
2020,200,14,269.1,BM,2020-07-18
